# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	gadA//argD//
Ada	citC//alkA//malZ//asnA//
AdiY	gloA//fadI//fadE//tauD//
AgaR	hycD//
AidB	deoA//
AlaS-L-alanine	tam//
AllR-allantoin	uxuA//gcvT//rffM//citF//fumB//ulaG//
AllS-allantoin	fucO//garR//argF//
AlsR	sdhD//tauD//iscS//
AppY	ydcS//ftnA//
AraC	allC//fabH//dmsB//
AraC-arabinose	mpl//torC//dapD//ftnA//hcaC//wecC//purD//entE//
ArgP	aroF//hypB//dhaM//nanE//hcaF//aroL//astB//rffH//
ArgP-arginine	cysM//
ArgR-L-arginine	sgbE//dgcZ//nanK//hemL//hycD//mhpC//betB//gntK//lpxA//puuC//glcE//uxaC//prpD//putA//speG//ynfE//ascB//dkgB//hcaC//carB//purK//narH//astB//
ArsR	pyrD//rsmH//
AscG	paaG//mtlD//
AsnC	katG//argI//
AtoC-Phosphorylated	xylA//rutE//pyrC//
BCCP	hyaA//
BaeR-Phosphorylated	metE//ppsA//
BasR-Phosphorylated	fabD//murG//rffC//
BetI	glpX//metC//accA//
BirA-biotinyl-5-adenylate	metB//ftsI//pgaB//araA//malQ//
BluR	
BolA	nfsA//astD//
BtsR-Phosphorylated	tyrB//
CadC	frdA//rpiB//deoB//
CaiF-L-carnitine	nfsB//kbaY//yedX//sgbH//ynfF//
Cbl	tdcD//nagA//ldtB//fabD//glmU//
CdaR	metK//citE//paaJ//glgX//poxB//aceE//dgkA//ulaE//lhgO//
CecR	aroH//
ChbR	ychF//ugpQ//amn//
ChbR-N-monoacetylchitobiose-6-phosphate	gpmM//lpxA//pgm//
ComR	
CpxR-Phosphorylated	ruvB//cysC//phnH//metH//gdhA//prpB//ulaD//avtA//accA//paaF//fucI//glgX//mngB//murQ//ubiC//napA//paaZ//araB//glpB//yeaE//uidA//
Cra	paaA//pagP//sucB//dacC//lsrF//ftsI//uxaA//caiB//lhgO//nrfD//galK//guaA//pspE//gatD//nanE//dhaK//glcE//leuA//araA//umuC//gcvT//lldD//talA//deoC//dmsC//deoB//entA//srkA//yiaK//putA//hyaA//gor//mtlD//puuD//gutQ//waaY//gatY//dkgB//slt//pgi//ilvC//hcaD//aspC//bioC//eda//alkA//pflB//glpQ//katE//argD//sgbU//mhpE//galM//hycD//pepD//sdaA//tyrB//argB//sucA//
CreB-Phosphorylated	paaE//sdhB//
CsgD	xylB//narH//katE//garL//napA//
CsiR	tdcB//cysK//folE//torC//
CspA	astA//
CueR-Cu	paaB//sdaA//uvrC//dhaK//gloA//
CusR-Pasp	ndh//ydcS//aspA//fucO//
CynR	
CynR-cyanate	fumB//garR//pdeH//
CysB	lysU//trpD//
CysB-O-acetyl-L-serine	cysC//nfsA//sgbH//sodB//ulaD//entD//yfdE//allC//paaF//phnH//fadA//napA//pgpC//gatY//metH//
CytR	dhaL//fes//rbsK//ldtD//hcaD//cysE//glpQ//mnmG//frdC//lpd//
Dan-L-tartrate	rutE//bioF//
DcuR-Phosphorylated	araB//fbaA//speA//ilvE//
DeoR	garR//rffT//torC//katE//nrdD//ygeA//
DhaR	hyaB//
DicA	
DinJ-YafQ	accC//
DnaA-ATP	glcB//garD//hycF//yedX//dgcC//mraY//
DpiA-Pasp	argI//argB//uxaB//wrbA//ndh//
DsdC-D-serine	ilvI//paaB//
EbgR	
EnvR	sbcD//deoB//
EnvY	frdC//yfdE//
EvgA-Phosphorylated	malY//serC//murG//ddlB//nanK//uvrA//
ExuR	deoD//ilvC//pspE//hycD//pncB//ruvA//
ExuR-alpha-D-galacturonate	
FabR	truB//hyaB//melA//
