# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	argF//alsE//
Ada	eda//mhpE//deoB//metK//
AdiY	kbaZ//caiB//cueO//gatY//
AgaR	nrfC//
AidB	tdcD//
AlaS-L-alanine	dhaL//
AllR-allantoin	cysJ//rhaB//aroL//ilvG_1//pdeH//phoA//
AllS-allantoin	lyxK//dhaM//nrfC//
AlsR	lsrF//ampC//pgaC//
AppY	purB//murD//
AraC	pflB//purN//nemA//
AraC-arabinose	aceE//lysU//citD//cueO//waaH//lhgO//allD//ynfF//
ArgP	ogt//hycD//dmsB//lyxK//frc//trpB//poxB//narH//
ArgP-arginine	nirB//
ArgR-L-arginine	paaI//pykF//tyrB//gatD//dacC//nrfC//murI//dmsA//gntK//pgaD//rtcB//aceE//xylB//hcaB//argE//betA//cysI//argE//grxA//tadA//pgaB//fbaB//hemH//
ArsR	alsE//tdh//
AscG	argE//araA//
AsnC	truB//srkA//
AtoC-Phosphorylated	ilvA//betA//cadA//
BCCP	galT//
BaeR-Phosphorylated	fabG//hycF//
BasR-Phosphorylated	gcl//sbcD//mhpC//
BetI	pgaB//hypB//fucA//
BirA-biotinyl-5-adenylate	paaJ//asnA//sdhB//napG//fabG//
BluR	
BolA	paaB//wecE//
BtsR-Phosphorylated	mhpD//
CadC	pheT//appA//xylB//
CaiF-L-carnitine	thrS//nirB//phnL//fabZ//rffH//
Cbl	sdhC//asnB//xylB//yiaK//pgaC//
CdaR	gcvH//entH//pspE//cysJ//puuB//yiaK//umuD//fabI//sufS//
CecR	sdhA//
ChbR	phnI//glxK//fadD//
ChbR-N-monoacetylchitobiose-6-phosphate	gatD//carA//rhaB//
ComR	
CpxR-Phosphorylated	puuE//dgkA//mdh//polA//tyrB//caiA//sucA//malQ//citG//allD//asnA//polB//lpxC//bioA//alsE//mdh//recD//tktB//astE//glmS//pheS//
Cra	alkB//patD//codA//ldtB//gpmA//sodA//kbaZ//sgbE//uxuB//glpX//nrfD//hmp//guaB//dmsB//umpH//ada//gadA//leuD//phnI//guaA//astA//nrfC//fabG//glxR//sucD//sdhD//serA//purL//mhpC//dgcC//tktB//leuA//chbF//hycG//xylB//ulaG//hypF//fucO//uxuB//aspA//gapA//pgpC//glcF//bioD//murI//pyrC//lpxA//lysA//glcE//tdh//gcvT//puuC//aroL//paaF//puuD//fadH//purC//bioB//truB//
CreB-Phosphorylated	allD//phnO//
CsgD	ugpQ//entD//gpmA//purH//allC//
CsiR	carB//hycC//metE//lpxC//
CspA	ppc//
CueR-Cu	ycjG//poxB//deoB//poxB//katG//
CusR-Pasp	astA//atoA//mdh//deoD//
CynR	
CynR-cyanate	astE//folA//glgC//
CysB	ccp//glnA//
CysB-O-acetyl-L-serine	polA//dmsA//sgbU//purH//hycD//napH//paaH//galM//hycF//feaB//ascB//glpA//metL//lpd//ruvB//
CytR	ycjG//mhpD//paaB//fucI//gabD//dkgB//alsE//gcvP//allD//wecC//
Dan-L-tartrate	wrbA//glcB//
DcuR-Phosphorylated	rtcA//mhpB//cysK//metF//
DeoR	fadE//srlD//fes//xylB//argD//pdeL//
DhaR	glgA//
DicA	
DinJ-YafQ	yeaG//
DnaA-ATP	bioA//metH//ubiX//lpxD//purH//allE//
DpiA-Pasp	fabA//gnd//galK//moaE//galK//
DsdC-D-serine	glpD//glcF//
EbgR	
EnvR	pdeL//mpl//
EnvY	guaA//ahpC//
EvgA-Phosphorylated	garR//fucK//rhaB//hcaF//srlD//ulaE//
ExuR	pdeH//napG//tdcG//glgA//nrfA//sbcC//
ExuR-alpha-D-galacturonate	
FabR	tktB//ynfG//umpH//
FadR	murI//pspE//frdA//ygeA//metB//purA//hyaC//tyrB//bglB//murD//paaH//tdcE//ung//fabB//sbcC//serC//napG//argI//pgi//
FadR-acyl-CoA	
FeaR	aceA//metC//
FhlA-formate	putA//atoA//rutC//entB//xylB//pheT//gor//cysC//
FlhDC	dhaM//lpd//araA//trpC//cdd//mhpC//napH//tdh//caiB//lacA//fucK//nanM//nrdE//yedX//
FliZ	ubiC//carA//nrdB//betA//prpE//
FucR-L-fuculose-1-P	lyxK//fumC//murD//accC//nrdA//glyA//
