# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	sbcC//pncB//
Ada	uvrB//nanA//hycF//ddlB//
AdiY	allB//accA//nfsA//fabG//
AgaR	phnG//
AidB	cysG//
AlaS-L-alanine	pfkA//
AllR-allantoin	ygeA//narH//purD//bioF//astB//yfdE//
AllS-allantoin	moeA//trpB//gcvT//
AlsR	wecB//gcvP//hmp//
AppY	aceF//ahpF//
AraC	metH//codA//metC//
AraC-arabinose	atoD//fucU//mazG//nirB//mhpD//hcp//rutA//fau//
ArgP	uxaC//glgC//paaB//phnI//cysG//fadA//kbaZ//dgcZ//
ArgP-arginine	ilvH//
ArgR-L-arginine	pyrD//entE//entC//dgcN//pagP//mraY//rtcB//lldD//tauD//gcvP//ftnA//puuB//phnJ//speA//puuB//pagP//recB//serC//caiD//entF//uxuA//gntK//ampC//
ArsR	paaH//yqjH//
AscG	waaY//nrdB//
AsnC	ubiA//fbaA//
AtoC-Phosphorylated	citG//caiB//atoA//
BCCP	argE//
BaeR-Phosphorylated	nrfC//nirB//
BasR-Phosphorylated	argH//glnA//nadB//
BetI	nrdD//hcp//cysK//
BirA-biotinyl-5-adenylate	entH//pck//tdcE//melA//ulaG//
BluR	
BolA	aroA//katG//
BtsR-Phosphorylated	hyaC//
CadC	polB//caiD//gadA//
CaiF-L-carnitine	lpxC//astD//patD//lldD//dkgB//
Cbl	paaK//frdC//speA//ldtC//alsE//
CdaR	phnH//ccp//codA//uvrB//nrdB//ulaG//tdcE//rffC//ruvB//
CecR	truB//
ChbR	idnK//cysI//entH//
ChbR-N-monoacetylchitobiose-6-phosphate	tauD//trpE//hycF//
ComR	
CpxR-Phosphorylated	oxc//ampC//tdcD//uvrB//ycjG//bioB//ftnA//aroG//recB//hcp//ilvH//ung//lpxA//glpK//idnO//carB//cysD//sucC//rffC//yiaK//trpE//
Cra	paaC//phnL//hcaB//garD//polA//alaA//hycD//allA//tnaA//hmp//trpA//ssuE//lyxK//moaE//prpC//mngB//arsC//idnD//rutA//murI//glpC//napG//glgA//fabB//ldtB//frdB//aroL//murE//entE//moaA//rfe//sgbH//codA//phnM//betB//tynA//sdhC//aroG//torA//phnN//pgaD//murQ//cueO//glxK//gabT//ftnA//nrdD//ulaG//accC//rutA//fucO//dapB//aceA//glgP//gapA//recB//yeaE//fadB//glsA//
CreB-Phosphorylated	ppsA//hycF//
CsgD	yiaK//pfkA//fes//ndh//leuC//
CsiR	pgaC//hycD//folE//luxS//
CspA	gcvP//
CueR-Cu	paaE//hyaA//lysU//ulaD//wecC//
CusR-Pasp	aroH//tehB//araA//alaC//
CynR	
CynR-cyanate	metK//aceB//rffT//
CysB	gadB//moaD//
CysB-O-acetyl-L-serine	galT//atoA//glpQ//metB//dinB//acnA//guaA//betA//napH//ampC//kbaY//entH//fdhF//sgbH//glpC//
CytR	mltF//gltD//lhgO//speB//xapA//wecE//tpiA//glpX//leuD//murG//
Dan-L-tartrate	nrfC//entB//
DcuR-Phosphorylated	ilvC//chbG//bioA//hycG//
DeoR	nfsB//murE//sdhB//frc//gutQ//paaG//
DhaR	galE//
DicA	
DinJ-YafQ	entB//
DnaA-ATP	kbaZ//atoD//gpmA//astB//ubiX//relA//
DpiA-Pasp	alkB//ilvM//paaA//gpmA//ilvC//
DsdC-D-serine	aceE//yfdE//
EbgR	
EnvR	ycjG//aspC//
EnvY	rutC//rbsD//
EvgA-Phosphorylated	rbsK//fabH//fumC//purD//nanE//idnD//
ExuR	paaI//fadI//ynfF//luxS//citC//ubiX//
ExuR-alpha-D-galacturonate	
FabR	fucA//nrdE//allD//
FadR	acnA//metA//murD//asnB//srlD//glcB//wzc//aceA//codA//glgP//cysJ//deoD//hycD//pgaD//alaS//mazG//hycF//garD//astD//
FadR-acyl-CoA	
FeaR	aceA//aceE//
FhlA-formate	hyaB//cdd//glpB//deoA//guaA//purK//tnaA//aspA//
FlhDC	nanM//aroF//caiC//prpC//argD//waaY//sucB//mpl//narI//rutE//mazG//pgk//sucB//cysI//
FliZ	idnO//sodB//aroG//cysD//puuA//
FucR-L-fuculose-1-P	relA//fabG//nagA//gltB//ilvC//lysU//
