# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	leuA//sdhD//
Ada	entH//serA//araD//allE//
AdiY	uvrA//ldtD//rutB//tpiA//
AgaR	napB//
AidB	sdhA//
AlaS-L-alanine	phnN//
AllR-allantoin	gor//frdA//gpmM//gabD//pgi//alaS//
AllS-allantoin	nrfC//tktB//idnD//
AlsR	cynT//phnM//paaE//
AppY	sucA//wzc//
AraC	tdcD//trpA//bioA//
AraC-arabinose	tauD//nanM//hyi//hemL//ilvD//allA//paaB//glxK//
ArgP	nrdD//cynS//citG//deoC//atoA//glpQ//dmsA//mhpF//
ArgP-arginine	grxA//
ArgR-L-arginine	entA//argC//hyaC//atoB//caiD//recD//recD//truB//lsrG//nrdB//lsrG//pnp//relA//fadE//dgcC//cysI//frc//sdhA//wecE//nrdF//melA//moaA//ada//
ArsR	ydcS//paaH//
AscG	kbaY//entA//
AsnC	glpD//glpC//
AtoC-Phosphorylated	phnJ//mhpE//rimK//
BCCP	nrfA//
BaeR-Phosphorylated	fes//fadI//
BasR-Phosphorylated	ubiC//phr//cdd//
BetI	caiC//garD//glcE//
BirA-biotinyl-5-adenylate	nanK//allB//gabD//fruK//pyrC//
BluR	
BolA	dsdA//entB//
BtsR-Phosphorylated	mpl//
CadC	paaC//galT//dhaM//
CaiF-L-carnitine	glpQ//poxB//rhaA//aceB//lsrK//
Cbl	alkA//lysA//rbsK//entB//recF//
CdaR	yeaG//mnmG//pgaB//sdhD//paaY//serC//cysN//nrfA//pgk//
CecR	srlD//
ChbR	idnO//bioD//gabT//
ChbR-N-monoacetylchitobiose-6-phosphate	cueO//glgP//grxA//
ComR	
CpxR-Phosphorylated	malY//hyaC//phnL//lysA//deoA//gadB//wecB//fumB//purD//alkB//puuE//hycD//ppc//fucO//mhpA//dgcZ//ssuD//fdhF//polA//trpB//truB//
Cra	pyrD//ybjG//allC//phr//mpaA//pgk//frc//pepD//rutA//mngB//ppiA//purH//dsdA//prpD//napH//phnO//pheS//folA//murE//glxK//oxc//fucK//chbG//mraY//carA//sucD//rbsD//pck//nrdD//paaE//lpd//codA//dhaM//paaH//astC//talA//fucU//serA//phnH//yqhD//allD//fadA//mraY//paaH//umuC//murC//katE//alkB//ung//wecC//nrdD//argB//ubiX//fadH//prpE//fabH//rffG//zwf//ruvB//
CreB-Phosphorylated	pnp//dhaK//
CsgD	polB//mnmG//purC//cysD//rutA//
CsiR	rutD//xapA//wzb//glpD//
CspA	entB//
CueR-Cu	pfkA//hycG//ppsA//hypB//glgC//
CusR-Pasp	allC//mtlD//cueO//purN//
CynR	
CynR-cyanate	polA//gatD//nanM//
CysB	fucK//yedX//
CysB-O-acetyl-L-serine	purB//citX//nagA//speA//fucO//fadM//fadM//fabZ//putA//glpD//moaD//glpQ//rffH//mdh//waaH//
CytR	purE//thrS//entB//garK//dmsC//glpA//pspE//fadM//entA//napA//
Dan-L-tartrate	phnH//aspA//
DcuR-Phosphorylated	uvrB//pdeH//melA//paaK//
DeoR	alkA//relA//cysI//sucC//purE//fucI//
DhaR	ycjG//
DicA	
DinJ-YafQ	putA//
DnaA-ATP	yeaG//speB//sucC//bacA//deoC//malZ//
DpiA-Pasp	chbF//carA//paaC//ldtD//metK//
DsdC-D-serine	yqjH//nrdD//
EbgR	
EnvR	pgaB//napG//
EnvY	lpxD//gnd//
EvgA-Phosphorylated	malP//lldD//lysC//grxA//nrfC//paaH//
ExuR	ftnA//trpA//atoA//dhaM//glpB//asnB//
ExuR-alpha-D-galacturonate	
FabR	lpxA//tktB//gpmA//
FadR	glcE//sgbU//accD//nrfD//accA//ubiX//argA//prpB//malS//metB//ulaD//ssuD//rfe//aceF//patA//carA//rffH//bioD//dmsC//
FadR-acyl-CoA	
FeaR	cyoE//narI//
FhlA-formate	caiA//ahpF//hycG//entH//frdB//ddlB//puuC//glpK//
FlhDC	oxc//wecB//araB//srlD//sodA//ttdB//ppsA//moaE//kbaZ//fumC//icd//nadA//carB//fumC//
FliZ	ynfH//aceF//purF//pheS//pgpC//
FucR-L-fuculose-1-P	trpA//garK//dacC//fau//lacZ//slt//
Fur-Fe2	mngB//aceB//appA//prpB//napH//moaE//cysG//ygeA//tyrA//ilvM//nrfC//cysH//relA//galT//nrdB//aspC//purF//phnL//mdh//folA//tnaA//lysC//treC//wzb//sdhD//chbF//cysE//yqhD//ruvB//speG//sucA//gpmA//hcaC//paaB//frdC//dhaM//cysM//hcaC//deoB//trpA//glgC//carB//gapA//gntK//tyrB//nirB//yfdE//caiB//dapD//ndh//garL//ulaE//pflB//wecE//metA//guaB//polA//fucI//purM//glcD//ddlB//dhaL//
GadE	pdeH//dmsC//argD//metB//rnpB//ynfH//paaA//moaC//fabG//arsC//
GadE-RcsB	araB//dsdA//wrbA//nrfA//ahpF//
GadW	argE//dadX//lysC//ttdA//
GadX	citF//katE//fau//wecE//gpmM//icd//garR//rutC//wecC//rutB//gabD//lsrK//fadE//dgcC//
GalR	wrbA//caiB//ruvB//metE//metA//prs//
GalR-beta-D-galactose	malY//ftnA//gpmA//sucC//aceB//
GalS	aspC//ddlB//alaA//entC//trpC//rutA//
