# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	srlD//aldA//
Ada	gabT//umuD//sucD//mhpB//
AdiY	gatD//patD//mhpD//glgC//
AgaR	arsC//
AidB	mhpC//
AlaS-L-alanine	hyaA//
AllR-allantoin	frdA//sgbE//adhE//eda//glpD//purK//
AllS-allantoin	ubiC//yiaK//arsC//
AlsR	rffG//entF//grxA//
AppY	atoD//purH//
AraC	gudD//yqhD//tdcE//
AraC-arabinose	appA//uxaC//carB//aceE//caiA//caiC//ada//pgi//
ArgP	fadI//fumC//sbcD//glpB//hycD//paaY//bglB//rffG//
ArgP-arginine	glmS//
ArgR-L-arginine	paaC//talA//oxc//mtlD//ttdB//mhpA//tynA//mtlD//gloA//lyxK//rbsD//atoD//ndh//wzc//fadH//pgaC//argD//pgi//ruvA//astA//rfe//caiB//fabZ//
ArsR	fau//speG//
AscG	pck//rnpB//
AsnC	caiD//dinB//
AtoC-Phosphorylated	ogt//dgcZ//metA//
BCCP	phoA//
BaeR-Phosphorylated	napG//fabH//
BasR-Phosphorylated	napG//mhpB//hcaC//
BetI	ttdA//eno//narG//
BirA-biotinyl-5-adenylate	eno//recF//ppsA//atoA//eda//
BluR	
BolA	purM//ulaD//
BtsR-Phosphorylated	puuE//
CadC	srkA//lsrF//citD//
CaiF-L-carnitine	gcvP//glmU//paaZ//chbF//argB//
Cbl	dadA//lacA//glyA//argA//lpxD//
CdaR	fabB//gadB//lldD//gutQ//umuD//uxaB//wecB//speB//nrfD//
CecR	tdcB//
ChbR	glxR//atoD//sgbE//
ChbR-N-monoacetylchitobiose-6-phosphate	yedX//ybjG//galE//
ComR	
CpxR-Phosphorylated	asnA//malS//deoD//chbG//glcF//sgbH//mpl//narG//ubiA//bglB//gor//argC//sufS//wzc//pdeL//pgpC//moeB//lacA//dhaK//leuC//gloA//
Cra	glgP//glpC//lyxK//atoA//adhE//hcp//ilvH//ttdA//nagA//uxuB//fruK//dapD//metH//entB//glyA//metK//garL//paaY//fes//purK//fumC//treC//argG//moeB//aceE//accC//rutC//entB//rfe//dadX//tnaA//mhpD//lysC//waaZ//lpxD//rffM//ubiC//purB//dkgA//gcvT//glpA//trpC//cysG//amn//phnJ//ubiX//sdhD//alaS//ada//paaA//ugpQ//leuA//entF//purM//uvrA//paaZ//relA//paaC//yeaG//
CreB-Phosphorylated	ftnA//dhaK//
CsgD	chbG//pepD//gnd//gntK//tyrB//
CsiR	tdcG//hcaE//ubiX//entF//
CspA	sucB//
CueR-Cu	dkgB//dkgB//glk//garR//tam//
CusR-Pasp	yeaE//aceF//hycD//prpE//
CynR	
CynR-cyanate	garR//citX//cysD//
CysB	tyrB//idnD//
CysB-O-acetyl-L-serine	alaC//ldtD//moaD//alsE//glcB//fes//purL//fucA//malZ//dgkA//fadD//ampC//nadB//carB//rffT//
CytR	uxuB//pgaB//ubiC//purM//entB//leuA//nfsA//idnO//purF//murE//
Dan-L-tartrate	yiaK//purK//
DcuR-Phosphorylated	purF//fumC//sodB//narH//
DeoR	uidA//allB//leuB//ftsI//galE//purH//
DhaR	ubiA//
DicA	
DinJ-YafQ	idnO//
DnaA-ATP	glpK//lhgO//ung//hcp//ilvH//pck//
DpiA-Pasp	nagA//feaB//ahpF//nfsA//ygeA//
DsdC-D-serine	umuD//ascB//
EbgR	
EnvR	metC//lldD//
EnvY	paaH//mpl//
EvgA-Phosphorylated	asnA//paaE//xylA//hyaC//napA//xylA//
ExuR	argI//cysJ//rffH//frdD//ldtC//gdhA//
ExuR-alpha-D-galacturonate	
FabR	hcaB//ubiA//metK//
FadR	lsrF//polB//lacZ//dhaL//rutD//ynfG//hycD//fbaA//gcvT//metC//rffM//ahpC//alkB//avtA//dmsB//ubiX//atoA//moeA//rffM//
FadR-acyl-CoA	
FeaR	pck//tyrB//
FhlA-formate	alkB//trpE//hcaC//ilvE//nrfA//glmS//lacZ//ttdA//
FlhDC	nrdA//yiaK//entF//tdcG//ppc//nfsA//pyrD//glgP//hycG//hyaB//hycD//lysU//torC//glsA//
FliZ	argF//garR//frdC//astA//gutQ//
FucR-L-fuculose-1-P	poxB//moeB//hyi//nrdD//lysA//zwf//
Fur-Fe2	citE//sucD//entC//ulaF//nanE//pflB//uxaB//melA//idnD//citG//accD//fadB//ldtC//appA//deoB//glgP//rhaB//paaB//glpB//lsrG//atoB//citF//fucK//lacZ//hyaA//ahpF//cysG//deoA//aldA//pdeR//napH//murE//frdB//fadI//pyrC//mhpB//mngB//ilvM//rutA//murE//patD//tauD//mngB//phnN//caiC//udp//glgB//rnpB//aroL//sucB//cysI//sgbU//wecB//glsA//puuC//frdC//dapB//aroF//nrdD//adhE//glgP//dinB//
GadE	frdD//leuB//aceA//glgB//frdA//nadA//wzc//cysD//codA//malQ//
GadE-RcsB	accC//tyrA//ruvA//sgbE//allC//
GadW	nrdB//paaH//cynS//argC//
GadX	mhpE//cueO//dhaL//ribA//paaZ//nadB//codA//alsE//caiC//hcaE//moaE//dhaM//dgcN//nemA//
GalR	recB//rtcA//uxuB//yedX//rsmH//glpK//
GalR-beta-D-galactose	pepD//thrS//uvrB//pfkA//nemA//
GalS	yqhD//nfsA//rimK//fumC//mhpB//rutD//
GalS-beta-D-galactose	melA//torC//murC//yiaK//ppiA//
GatR	ygeA//idnO//ogt//
GcvA	gutQ//allE//mnmG//
GlcC-glycolate	ilvH//uxaA//nirB//
GlpR	lyxK//glcF//phnH//eno//rutB//frdC//mpaA//
GlrR-Pasp56	
GntR	nirB//entF//slt//ccp//accD//gcvH//xylB//cueO//pgpC//
GutM	ybjG//rhaA//cynT//
HU	cysD//galK//phnO//amn//ppc//hcaB//nagB//
HcaR	
HcaR-HCA	ycjG//sdhA//
HdfR	
HigA	purK//
HigB-HigA	fabA//
HipAB	carB//fabA//
HipB	tdcB//nrdB//sgbH//
HprR-Phosphorylated	ogt//purH//gcvH//iscS//
HyfR	pgpC//
HypT-Met-oxidized	glk//nirD//dadX//speG//uxaB//udp//allB//
IclR-pyruvate	nanE//rffT//hcaC//
IdnR-5-ketogluconate	glgC//lpd//allA//ulaF//fadI//
IlvY	
IlvY-S-2-acetolactate	ada//
IscR	pyrC//lacZ//aceE//acnB//argF//murF//
IscR-2Fe-2S	puuB//sbcD//
KdgR	trpB//purN//
KdpE-Phosphorylated	polB//
LacI	ppiA//purD//alaS//
LeuO	galM//gapA//mhpD//lpxC//galE//astE//
LexA	ilvH//rbsD//katE//paaY//mhpC//pck//dhaL//gloA//argB//aceB//gabD//sucB//dkgB//cynT//gor//accA//fadH//oxc//cysE//aspC//hcaD//recB//fabD//
LldR	aceE//asnB//
LldR-S-lactate	mhpC//dmsC//
LrhA	
Lrp	glpD//garD//gabT//serA//nadB//aceF//galE//gutQ//tdh//xapA//glpA//cysH//rtcB//wecC//pdeL//ssuE//ampC//ilvI//cueO//idnK//glcD//nanA//kbaY//yfdE//citX//tehB//uxaB//dhaM//mltF//sdhB//alkA//
Lrp-leucine	paaZ//fabI//speG//idnD//hycE//nadA//paaF//gloA//fes//fadD//polB//hcaD//ubiX//tyrA//lpxC//gatY//nrdB//
LsrR	nanM//paaZ//prs//tdcE//uxuA//
LysR	tam//
MalI	aceF//pyrC//
MalT-maltotriose-ATP	nfsB//serC//rutD//kbaY//pfkA//nfsB//
MarA	puuB//nanE//uxaA//phnL//gnd//gnd//mhpF//phnI//murG//caiD//ftsI//frdC//citD//phnI//narG//eno//ygeA//glpK//speB//narH//psd//ppsA//lhgO//astD//
MarR	
MatA	purC//
MazE	ilvM//
MazE-MazF	purB//
McbR	
MelR	guaA//fumB//
MelR-melibiose	paaA//puuA//
MetJ-adenosylmethionine	leuB//serA//rhaB//paaI//nrdE//uvrA//patD//gatY//nrdB//aceB//
MetR	yiaK//bioF//
MetR-L-homocysteine	malY//ccp//
MhpR-3HPP	purM//rsmH//lyxK//puuE//yeaE//argB//
Mlc	phnI//hypF//metH//pheT//
MlrA	lyxK//
MngR	paaK//yeaG//
MntR-Mn2+	murQ//mdh//
ModE-MoO42-	fabH//hycG//astB//bioC//prpC//ynfH//lacZ//nrdA//talA//murQ//rfe//malP//allE//nrdA//metF//tehB//murQ//
MprA	pgm//sgbU//chbF//
MqsA	phr//glmU//
MraZ	glpC//mpl//gdhA//purH//glgB//entD//fabD//mpaA//gcl//fbaB//
MurR	ppsA//tdcG//napA//
Nac	iscS//argD//kbl//lysU//ubiA//ssuE//dgcC//rbsK//sgbE//hyaB//metB//
NadR	puuE//murD//ssuD//glgX//
NagC	citD//aspA//garL//yeaG//dsdA//lldD//glcB//glxR//umuC//pdeH//sodB//glxR//tyrB//dapD//pgaD//amn//dmsC//rhaB//allB//
NanR	lyxK//dgcN//gcl//gnd//argD//gabD//
NarL-Phosphorylated	cysG//rhaA//ascB//dgkA//leuA//katG//ribA//cadA//nanE//glxK//fabI//fadA//hycB//sodA//ascB//puuC//araD//mhpD//arsC//paaI//nfsA//pgaB//ilvG_1//gudD//glmS//murF//gatD//astE//nagB//garD//umuC//entD//sdaA//moaA//deoC//gadA//tehB//lsrF//hcaC//recF//ulaE//
NarP-Phosphorylated	entE//tnaA//ygeA//alaS//waaY//katG//fadM//nfsA//hemL//phr//cysH//kbl//galK//metA//betA//
NemR	speG//mnmG//
NhaR-Na+	murG//cysE//lyxK//nrdB//lsrK//
NikR-Ni2+	moaD//
NimR	entB//
NorR	katE//
NrdR-Zn2+	poxB//araD//waaZ//atoA//
NsrR	argH//entE//bioD//pheS//paaG//ulaE//puuD//putA//thrS//ada//allE//prpB//tyrB//sgbH//betA//rutA//gpmM//folE//rnpB//dhaK//fumB//alkB//uxaC//ruvB//trpE//arsC//ogt//sucC//ada//trpA//sbcD//waaZ//caiD//nanM//hemL//hycB//aceF//eno//garD//tyrA//
NtrC-Phosphorylated	katG//puuE//napB//sbcD//kbl//ttdB//nrfD//ccp//fbaA//gcl//lpxA//asnB//ubiX//rpiB//yqjH//gatD//dhaM//rimK//glpC//citX//sdhC//
OmpR-Phosphorylated	speA//fabD//narI//ftsI//phnI//rutB//dacC//ruvB//
OxyR	mhpF//purC//rpiB//hmp//sucB//argG//citX//narI//pgpC//pck//trpA//ilvC//argC//tyrA//mraY//lysA//tpiA//
PaaX	glgP//purK//sucB//rnpB//waaH//gltD//ddlB//hcp//trpD//
PdeL	trpE//
PdhR	bioD//nrdF//rffT//lhgO//entD//betA//glsA//yeaE//deoD//torC//nfsA//allC//tnaA//fdhF//grxA//xapA//ilvI//hypB//idnD//atoB//ygeA//sucA//cynS//allD//ndh//
PepA	murI//uvrC//
PgrR	fdhF//metK//
PhoB-Phosphorylated	ynfE//fucU//rhaA//mhpD//katG//metL//puuB//pgaD//tdh//chbF//metC//paaY//katG//rbsK//cysN//metC//phnO//speA//nagB//allE//
PhoP-Phosphorylated	fabD//araD//mazG//ilvH//fadJ//aspA//glmS//puuD//xapA//aceE//ssuE//pdeL//talA//cyoE//lldD//phnH//cdd//acnB//phoA//dkgB//luxS//sgbH//ilvI//pheS//speB//glcD//napH//malY//leuA//arsC//ndh//xylB//
PrpR-2S3S-2-methylcitrate	arsC//alsE//glgA//dinB//
PspF	tdcG//
PurR-hypoxanthine	pncB//ftsI//deoC//purD//malZ//ubiC//dgkA//oxc//slt//caiA//rffH//arsC//accC//ruvB//mdh//speG//dgcZ//dmsA//ynfE//paaJ//pdeL//trpB//relA//citD//rutA//dgcZ//
PutA	waaZ//puuB//
PuuR	purD//frc//metH//dadX//fucK//mtlD//
QseB-Phosphorylated	
RbsR	sgbU//lysC//dapB//lpd//waaH//
RcdA	mhpD//
RclR	
RcnR	hycD//
RcsAB	hemL//purE//leuD//
RcsB-BglJ	nanK//metH//
RcsB-Pasp56	glgP//accA//galT//pagP//
RelB	ynfE//
RelB-RelE	gpmM//
RhaR-alpha-L-rhamnopyranose	
RhaS	fes//
RhaS-alpha-L-rhamnopyranose	phnH//yedX//aspA//paaZ//
Rob	dhaK//rffG//hycF//gpmM//acnA//lsrG//ilvH//gatZ//mhpE//uxuA//ulaD//frdA//purH//prpD//puuC//paaG//phoA//ttdB//accA//
RstA-Phosphorylated	cysN//purA//napA//
RtcR	codA//lsrG//
RutR	alkB//betA//wecB//rutB//argI//deoD//metA//ahpF//folE//gntK//lacZ//
SdiA	
SgrR	ascB//allA//sgbU//
SlyA	iscS//frc//deoD//hypB//uxaC//allC//paaG//mpl//entA//
SoxR	prs//waaZ//astA//acnB//hemH//yqjH//
SoxS	hycD//ada//uxaC//gcvT//lsrG//idnD//ruvB//kbaY//ada//pheT//ilvM//ynfF//narG//trpC//sodB//zwf//dadX//pdeL//hyaC//pdeH//metH//gltB//aceE//nagB//mtlD//fabG//tpiA//cysN//
SrlR	uxaB//pnp//glgC//
StpA	bioB//atoB//phnG//
SutR	aceA//pheT//
TdcA	aroG//ada//ynfH//lysU//ung//
TdcR	thrS//metA//amn//ydcS//galM//
TorR-Phosphorylated	yedX//bioD//glgX//ilvM//
TorR-TorI	glpK//
TreR	hycB//lyxK//
TrpR-tryptophan	glgA//hyi//glpB//betA//pncB//glpB//nadA//gatZ//speG//
TyrR	rhaA//
TyrR-phenylalanine	putA//ccp//
TyrR-tyrosine	psd//paaI//glmU//wecC//hcaE//gor//allA//codA//
UhpA-Phosphorylated	kbaZ//
UidR	pflB//malS//
UlaR	hypF//nanK//paaB//astE//purM//
UvrY-Phosphorylated	glgA//rutD//
