# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	phnM//ynfF//
Ada	kbaZ//phnL//entC//glmU//
AdiY	entC//bioA//narH//gcvT//
AgaR	fdhF//
AidB	rffG//
AlaS-L-alanine	nagB//
AllR-allantoin	gcvP//leuA//rfe//entC//wzb//luxS//
AllS-allantoin	uvrC//thrS//ilvI//
AlsR	paaF//pck//dapB//
AppY	allD//hcaC//
AraC	torA//puuE//gutQ//
AraC-arabinose	sodB//sbcC//hcaE//gnd//uvrB//kbaZ//ilvD//wecC//
ArgP	ruvA//paaZ//uxaB//aroL//hyi//phnH//folA//gcvH//
ArgP-arginine	rhaB//
ArgR-L-arginine	nanK//aspC//ribA//nrdF//srkA//sgbH//pck//mhpB//entD//glgX//nemA//paaG//astE//wzc//moaE//pagP//ssuE//appA//mdh//nrdE//prpD//murF//glpQ//
ArsR	trpC//nanE//
AscG	fbaB//phnI//
AsnC	asnA//accA//
AtoC-Phosphorylated	ugpQ//ydcS//xapA//
BCCP	nrdA//
BaeR-Phosphorylated	rbsD//wzb//
BasR-Phosphorylated	ubiC//puuE//phnP//
BetI	ssuD//ilvH//ssuE//
BirA-biotinyl-5-adenylate	fbaB//asnB//cynS//garL//uxaB//
BluR	
BolA	glcB//gcvH//
BtsR-Phosphorylated	ahpF//
CadC	pspE//mngB//caiA//
CaiF-L-carnitine	argD//citX//talA//recB//tdcB//
Cbl	uxaA//fumB//ilvG_1//metF//rbsD//
CdaR	aroH//tam//cysM//rhaD//pyrD//nanM//wzc//allB//kbaZ//
CecR	pck//
ChbR	guaB//cadA//wecC//
ChbR-N-monoacetylchitobiose-6-phosphate	fucA//ahpC//phnG//
ComR	
