# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	serA//lysU//
Ada	aldA//garR//uxuA//dhaK//
AdiY	speA//moeA//carB//iscS//
AgaR	argB//
AidB	srlD//
AlaS-L-alanine	sodB//
AllR-allantoin	tdh//hcaB//lysA//rsmH//purN//uxuA//
AllS-allantoin	dhaM//nfsB//phnN//
AlsR	umpH//uxuB//sgbU//
AppY	hycC//rffH//
AraC	fadM//alaS//murE//
AraC-arabinose	ubiA//gutQ//fumB//sdhC//paaI//zwf//fucA//pfkA//
ArgP	luxS//phnL//atoB//pgi//fadB//ccp//luxS//ynfF//
ArgP-arginine	accD//
ArgR-L-arginine	katE//phnH//frdB//fbaB//ilvH//rhaB//wecC//cysM//ampC//truB//nemA//allC//argI//fabD//tdh//ahpC//asnA//tynA//phnO//argD//sufS//ldtC//mhpC//
ArsR	nfsB//hycG//
AscG	mhpC//narG//
AsnC	mazG//fbaA//
AtoC-Phosphorylated	caiA//purD//lpd//
BCCP	lldD//
BaeR-Phosphorylated	dmsA//dgcZ//
BasR-Phosphorylated	gpmM//nadB//pck//
BetI	moeA//umpH//atoA//
BirA-biotinyl-5-adenylate	yqhD//sdhB//metH//polB//polA//
BluR	
BolA	ilvD//thrS//
BtsR-Phosphorylated	pnp//
CadC	tdcD//hycB//garD//
CaiF-L-carnitine	fucA//hycF//gloA//ilvG_1//cysC//
Cbl	recB//pflB//ubiA//fucO//yedX//
CdaR	malY//betA//pyrC//ftnA//ynfH//caiB//lyxK//avtA//phnG//
CecR	poxB//
ChbR	hypB//gapA//arsC//
ChbR-N-monoacetylchitobiose-6-phosphate	tyrA//dsdA//gadA//
ComR	
CpxR-Phosphorylated	sgbE//glxR//gapA//ulaE//treC//pheS//nrfA//fbaB//leuD//caiC//gcvT//mraY//gadB//fabZ//aroA//ugpQ//pnp//fucO//yeaG//arsC//cysH//
Cra	gatD//sucC//umpH//nrfD//torC//tyrB//argF//moeB//rimK//rhaA//rpiB//argC//purE//leuC//speG//cdd//mhpD//wzb//fabG//argE//gcvT//tynA//tdcD//caiD//alsE//fau//napB//lsrG//gabT//rfe//srkA//umuC//ulaE//sucD//napB//katG//phnP//rffM//glsA//argF//phnJ//astE//kbaZ//cadA//mhpA//sdhC//nrfA//pagP//ubiX//tdcE//argA//nemA//dgcN//ddlB//hcp//grxA//ung//astE//folE//
CreB-Phosphorylated	dkgB//mdh//
CsgD	fabH//thrS//citD//glgX//araB//
CsiR	purM//ybjG//argA//relA//
CspA	nanE//
CueR-Cu	nadA//aroA//entA//hyaB//rffG//
CusR-Pasp	yedX//ydcS//citF//umuC//
CynR	
CynR-cyanate	paaY//fucA//frdD//
CysB	glmU//purE//
CysB-O-acetyl-L-serine	rtcB//carA//bioD//mhpC//dgcC//glk//accC//paaK//recF//citG//dadX//torA//purN//wecC//murC//
CytR	glgC//murD//glpD//lpxC//phr//icd//paaG//speB//sucC//aroH//
Dan-L-tartrate	fabI//ttdB//
DcuR-Phosphorylated	nemA//fbaB//ampC//cysC//
DeoR	gadA//katG//moaA//murI//allA//frdA//
DhaR	murF//
DicA	
DinJ-YafQ	rffC//
DnaA-ATP	fadD//aroL//metC//aroG//cynT//dadX//
DpiA-Pasp	yfdE//fucU//ttdB//sbcD//cadA//
DsdC-D-serine	zwf//ruvB//
EbgR	
EnvR	nirB//guaB//
EnvY	pyrD//rtcA//
EvgA-Phosphorylated	caiD//ynfF//aspA//astE//astB//wecE//
ExuR	ynfE//fabA//fadA//pgpC//malY//astD//
ExuR-alpha-D-galacturonate	
FabR	allE//moaC//gapA//
FadR	trpE//dacC//hemH//gcvH//ilvE//sgbH//napA//yedX//puuD//bglB//caiC//paaG//ldtC//fadB//puuC//ycjG//rimK//hcaB//prpE//
FadR-acyl-CoA	
FeaR	glmS//cysI//
FhlA-formate	umuC//purL//uxuA//folE//entC//entA//narG//fbaB//
FlhDC	ahpF//bioD//tam//accA//rutC//yeaG//pgpC//dinB//ilvC//purH//hycG//xylB//citF//acnB//
FliZ	hyaA//araA//ugpQ//astD//leuC//
FucR-L-fuculose-1-P	acnB//tyrA//astC//nanE//acnA//rbsK//
Fur-Fe2	dhaK//malZ//alaA//dmsC//hycD//atoD//atoD//garL//ugpQ//narH//lsrF//paaB//dmsA//ilvG_1//accC//sdhC//yqhD//ahpF//trpD//metC//phnM//tdcB//fadI//purK//pgaD//phnN//rimK//rpiB//atoD//purH//pyrC//lysC//nagB//pgaB//hcaF//ybjG//tynA//hypF//fbaB//mpl//caiC//fabH//melA//fucO//yfdE//patD//deoD//pgm//pheT//trpC//ahpF//waaZ//ruvB//rutC//uvrC//ilvM//tdcE//frc//garR//ddlB//accC//malS//
GadE	deoC//fabI//fucK//garR//pepD//cueO//thrS//pgi//oxc//metL//
GadE-RcsB	hycF//paaH//mhpF//dadX//paaG//
GadW	mdh//pepD//sucC//uvrC//
GadX	tauD//glyA//cynT//galM//cynS//kbaZ//argD//pykF//yeaE//gudD//hycF//avtA//gadB//ulaF//
GalR	citC//glpX//mhpA//pgi//paaE//patA//
GalR-beta-D-galactose	astC//murD//dapB//aroF//wzc//
GalS	katG//argG//phr//narI//ybjG//deoA//
GalS-beta-D-galactose	nadB//fadJ//tehB//pspE//bioC//
GatR	gatY//torA//ulaF//
GcvA	nrdD//nrfC//gor//
GlcC-glycolate	gnd//purF//hcaE//
GlpR	lpxA//metB//moeA//wecB//dkgA//rsmH//deoA//
GlrR-Pasp56	
GntR	mdh//lysA//dgcC//serA//fadE//lsrK//glpB//dadX//argG//
GutM	glcD//uvrA//rhaA//
HU	mazG//ppsA//ilvA//atoD//mhpD//tdcD//atoD//
HcaR	
HcaR-HCA	uxaB//astB//
HdfR	
HigA	phnP//
HigB-HigA	ung//
HipAB	hcaD//glmU//
HipB	napB//chbF//yqjH//
HprR-Phosphorylated	frdA//purA//aceF//ulaF//
HyfR	hypB//
HypT-Met-oxidized	ubiA//epd//frc//argE//idnD//gabT//ulaF//
IclR-pyruvate	hycB//purA//rbsD//
IdnR-5-ketogluconate	cysH//fumC//mraY//wzc//fes//
IlvY	
IlvY-S-2-acetolactate	phnG//
IscR	caiA//phnN//metF//kbaZ//rtcA//cysG//
IscR-2Fe-2S	phnG//patA//
KdgR	uidA//alaA//
KdpE-Phosphorylated	cysG//
LacI	paaF//iscS//glcF//
LeuO	aceF//astC//glgA//prpE//entB//cdd//
LexA	sdaA//fbaB//mhpC//fes//argA//umuC//mraY//phnH//pheS//melA//rutB//fau//gcvH//prs//trpB//pagP//nrdE//murG//mnmG//cynS//purE//pnp//ldtB//
LldR	allD//pagP//
LldR-S-lactate	ldtB//mhpA//
LrhA	
Lrp	paaK//glyA//dadX//fadA//galK//waaZ//carA//allC//fabA//aceE//gltB//ldtB//codA//ccp//cysD//nfsB//ubiX//katG//pgm//hcp//sufS//sgbE//atoD//metL//fucK//paaA//glgX//dmsB//uidA//nrdD//moaD//
Lrp-leucine	lsrF//ilvM//argE//eno//pykF//cysJ//alkA//narG//lacZ//torC//hycE//sdaA//trpD//nanK//uxaB//umpH//leuC//
