# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	citX//dinB//
Ada	glgP//galK//ybjG//yfdE//
AdiY	dgkA//acnA//appA//srlD//
AgaR	icd//
AidB	phnH//
AlaS-L-alanine	purA//
AllR-allantoin	wecC//gatD//acnB//ygeA//gabD//fumB//
AllS-allantoin	zwf//uvrB//gadA//
AlsR	fadE//galT//hycE//
AppY	truB//ruvA//
AraC	pgaB//araD//betB//
AraC-arabinose	bioD//kbaZ//glpB//dhaK//fbaA//metL//aceA//mhpC//
ArgP	lhgO//murE//argG//fabA//glmU//nadA//cynT//ruvB//
ArgP-arginine	garD//
ArgR-L-arginine	carA//paaJ//gloA//purL//wecE//mhpA//ruvB//allB//rbsK//cadA//pagP//fucO//pspE//bglB//hypF//ppiA//polB//arsC//cueO//phnO//paaF//phr//ssuD//
ArsR	rnpB//ilvD//
AscG	ilvC//cysG//
AsnC	murC//yeaG//
AtoC-Phosphorylated	dkgB//dmsC//ahpC//
BCCP	dmsB//
BaeR-Phosphorylated	gabT//glyA//
BasR-Phosphorylated	gadB//fabD//caiA//
BetI	dhaK//rutB//caiC//
BirA-biotinyl-5-adenylate	avtA//dhaM//acnA//atoB//melA//
BluR	
BolA	lacZ//murF//
BtsR-Phosphorylated	araD//
CadC	cynS//pgaD//acnB//
CaiF-L-carnitine	citF//hcp//glgB//dkgA//fadJ//
Cbl	nagA//kbl//putA//trpE//phnP//
CdaR	araB//ygeA//metH//deoD//lysA//argC//hyaB//yqjH//nirD//
CecR	tdcE//
ChbR	tehB//gatZ//kbaZ//
ChbR-N-monoacetylchitobiose-6-phosphate	aspA//lhgO//dmsA//
ComR	
CpxR-Phosphorylated	cysM//gcvT//lhgO//glgC//waaH//xapA//ascB//purD//lysA//hycD//mhpA//murE//moeA//truB//allB//ldtD//appA//puuB//moaE//puuB//entA//
Cra	nagA//serA//entB//trpA//trpA//lysU//gloA//wecB//cysJ//sucD//metC//glpX//moaC//dapD//kbaZ//gnd//nfsB//uxaC//pck//atoA//cadA//gudD//entC//ppc//glpX//ilvI//cynS//tam//glgB//glxK//paaG//fadJ//tyrA//frc//dapD//codA//ppiA//gabD//napH//ynfH//murF//betA//ppiA//galK//hycC//galK//edd//malZ//prpD//recF//cysC//pyrC//deoA//ilvA//asnB//astC//citG//purH//aroH//
CreB-Phosphorylated	mraY//tdcD//
CsgD	aroH//uxuA//dgkA//fadM//atoB//
CsiR	murE//glsA//rffG//pepD//
CspA	ynfG//
CueR-Cu	ilvE//moaA//yeaG//ynfE//fumC//
CusR-Pasp	zwf//ilvH//purE//fucI//
CynR	
CynR-cyanate	gnd//lyxK//wrbA//
CysB	ybjG//alsE//
CysB-O-acetyl-L-serine	leuA//ulaD//phnN//phnP//moeB//cysI//fucI//accC//citX//ilvH//hycE//glpX//fabZ//garR//tadA//
CytR	rtcB//rfe//prpD//cysJ//thrS//nadB//entF//aroL//rimK//ynfH//
Dan-L-tartrate	ndh//tehB//
DcuR-Phosphorylated	gloA//paaB//dadA//hyi//
DeoR	ahpF//dgcC//mnmG//rfe//uxaC//uxaB//
DhaR	lyxK//
DicA	
DinJ-YafQ	rimK//
DnaA-ATP	malS//prpB//araA//hycB//torA//glxR//
DpiA-Pasp	ugpQ//rhaD//glk//cysD//ilvG_1//
DsdC-D-serine	hycG//chbF//
EbgR	
EnvR	fucK//pyrD//
EnvY	ahpC//argB//
EvgA-Phosphorylated	aspA//dgkA//sucC//hcaC//adhE//citF//
ExuR	leuA//chbF//paaG//paaC//mhpC//glgC//
ExuR-alpha-D-galacturonate	
FabR	purH//cysK//relA//
FadR	pepD//araA//murI//puuB//pncB//frdA//tyrA//tadA//metL//purL//deoC//paaJ//paaE//ugpQ//ldtD//frdA//pheT//ampC//rhaB//
FadR-acyl-CoA	
FeaR	glgX//aroH//
FhlA-formate	torC//dkgB//argB//oxc//epd//pgm//umpH//purE//
FlhDC	moaC//fau//gdhA//dmsC//zwf//glpC//bioF//pnp//tpiA//lpxC//malZ//ldtB//ung//ppc//
FliZ	tynA//ilvH//phr//malP//nrdB//
FucR-L-fuculose-1-P	fruK//recF//glnA//chbF//ugpQ//ccp//
Fur-Fe2	caiC//galT//prpD//citF//cyoE//mpl//glk//glcF//puuC//tnaA//nanA//ygeA//gcvT//rsmH//gdhA//glxK//pgaD//nanK//ssuE//purB//chbG//ubiA//mhpA//ynfH//idnO//sucC//pagP//alaC//nrdA//purC//murQ//pdeL//cysG//phnI//mdh//hcaC//sucD//fadM//malQ//purH//yedX//paaK//rhaD//pepD//astA//patD//pgaB//glsA//lysA//prpC//ppsA//fumB//rfe//glsA//eno//napG//fucI//katG//patD//grxA//lldD//metB//
GadE	nirB//astE//torC//moaC//paaI//argE//dmsA//pflB//frdC//psd//
GadE-RcsB	ppc//bioB//puuA//aroF//ilvI//
GadW	xapA//rffM//deoA//glgX//
GadX	cynT//napH//hcp//pdeH//sgbU//hycF//sgbU//pgaC//purE//ynfG//purE//alkA//recD//ruvB//
GalR	astB//pspE//araD//appA//yedX//purA//
GalR-beta-D-galactose	moaA//argF//thrS//luxS//idnO//
GalS	epd//phnP//rimK//guaB//alsE//adhE//
GalS-beta-D-galactose	rpiB//nrfC//sgbE//aceB//ychF//
GatR	paaG//trpE//pgm//
GcvA	rhaB//bioD//fabG//
GlcC-glycolate	pgi//fes//aspA//
GlpR	tdcD//pagP//sucB//paaJ//frdB//gabT//gabD//
GlrR-Pasp56	
GntR	leuC//mdh//ilvC//uidA//atoA//hycF//pdeL//napB//cysJ//
GutM	betB//phoA//hyaA//
HU	glcF//purL//uvrB//pdeH//nrfC//speA//moeB//
HcaR	
HcaR-HCA	pgaC//dgcC//
HdfR	
HigA	tdcB//
HigB-HigA	galE//
HipAB	ruvB//katE//
HipB	folE//ynfH//cysM//
HprR-Phosphorylated	phr//gcl//aspA//pagP//
HyfR	umpH//
HypT-Met-oxidized	hycG//glpA//frdD//mpl//dhaM//waaZ//pgk//
IclR-pyruvate	uxaC//cysJ//galT//
IdnR-5-ketogluconate	pgpC//nrdF//galE//ldtB//glmS//
IlvY	
IlvY-S-2-acetolactate	nanA//
IscR	purL//epd//yqhD//aroA//tdcD//lysU//
IscR-2Fe-2S	glpQ//cysE//
KdgR	sdhB//caiC//
KdpE-Phosphorylated	rbsD//
LacI	alkA//mdh//dgcC//
LeuO	guaB//murE//ydcS//xylB//puuA//purL//
LexA	lsrF//paaF//rutC//aceB//entD//fabB//glpK//hycE//tdcB//ulaG//narG//dgcC//gltB//patD//mtlD//rimK//ydcS//yqjH//wecB//tdcG//purF//ppiA//dgcZ//
LldR	idnO//argH//
LldR-S-lactate	ssuE//purM//
LrhA	
Lrp	mraY//nfsB//atoD//entB//entE//hcp//aroL//citE//aceF//entB//tehB//ahpC//fadH//hycE//citX//ruvB//leuD//idnO//uxaA//lpxC//fbaA//rnpB//dgcC//fabI//murE//citX//metH//serC//ilvI//galK//patD//
Lrp-leucine	citG//aceF//gutQ//fes//tdh//luxS//ogt//gatZ//nanE//cynS//caiC//xapA//leuA//ung//aldA//hycB//ubiC//
LsrR	frdA//rffC//argG//murC//metF//
LysR	purE//
MalI	ilvM//sdhD//
MalT-maltotriose-ATP	purE//waaY//sdhA//fdhF//aroL//glcF//
MarA	ulaF//slt//nirD//caiC//allB//pepD//lyxK//glk//gatZ//entB//wrbA//gutQ//pfkA//dhaL//dmsC//murD//nadA//aspA//ilvM//tynA//dgcN//cynT//ugpQ//talA//
MarR	
MatA	rhaA//
MazE	ilvH//
MazE-MazF	murQ//
McbR	
MelR	rffM//glgC//
MelR-melibiose	ruvA//pyrC//
MetJ-adenosylmethionine	pncB//caiA//iscS//frdA//atoA//cysK//wzb//glpQ//cysH//asnB//
MetR	srlD//phr//
MetR-L-homocysteine	nanE//gpmA//
MhpR-3HPP	glpB//fabA//uxuA//mpl//mazG//dacC//
Mlc	hycC//ung//ynfF//relA//
MlrA	betB//
MngR	chbG//narH//
MntR-Mn2+	patA//epd//
ModE-MoO42-	malP//garK//rffT//xylA//ccp//sbcD//ruvB//ldtC//chbG//narH//sdhB//ssuD//murI//mraY//phnH//sodA//frdA//
MprA	gcvH//katE//yeaG//
MqsA	tehB//katG//
MraZ	lsrK//tdcG//argD//yfdE//acnA//galE//phnO//ttdA//ruvA//ubiA//
MurR	trpC//puuA//bioD//
Nac	napG//murF//bioB//patA//yiaK//metL//pepD//carA//araD//sdaA//ydcS//
NadR	glgP//sufS//idnK//ilvD//
NagC	fadE//glpQ//pdeR//gapA//deoD//putA//phnL//recF//rnpB//betB//nrdA//prpB//hcaC//wzc//ybjG//uvrB//fadA//glnA//ilvD//
NanR	fau//speB//nagB//phnL//rnpB//carA//
