# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	gatD//fadH//
Ada	sbcD//caiB//dinB//sucC//
AdiY	allE//idnK//cysM//metB//
AgaR	gatZ//
AidB	dmsB//
AlaS-L-alanine	acnB//
AllR-allantoin	fadM//paaC//waaZ//rfe//phnL//argE//
AllS-allantoin	lacA//purC//leuD//
AlsR	glgP//ssuE//murF//
AppY	hycF//gapA//
AraC	thrS//poxB//purF//
AraC-arabinose	kbl//uvrB//ldtD//glpA//fadE//glgA//bacA//tadA//
ArgP	caiD//malZ//sgbE//glmU//mnmG//fabI//purC//murF//
ArgP-arginine	speB//
ArgR-L-arginine	cadA//frdC//pagP//feaB//nirD//sucA//ftnA//polA//nirB//purN//hcaE//carA//metA//metB//argA//aceF//purA//dapD//lsrK//moaE//allC//napB//fadA//
ArsR	paaA//pdeR//
AscG	cysH//mhpB//
AsnC	dhaK//glpX//
AtoC-Phosphorylated	paaG//dadX//recF//
BCCP	gutQ//
BaeR-Phosphorylated	waaH//ybjG//
BasR-Phosphorylated	ubiA//patD//ynfH//
BetI	cdd//leuC//phr//
BirA-biotinyl-5-adenylate	fabI//relA//lysA//ftnA//icd//
BluR	
BolA	glpK//mltF//
BtsR-Phosphorylated	cysI//
CadC	nagB//eno//ulaE//
CaiF-L-carnitine	mpl//paaH//bioD//ygeA//galM//
Cbl	paaH//nrdE//dapB//lpxD//hycF//
CdaR	kbaZ//tadA//rtcA//cysK//paaC//glpD//purH//bioB//gpmM//
CecR	fumC//
ChbR	gpmA//pgaC//tyrA//
ChbR-N-monoacetylchitobiose-6-phosphate	fabI//puuD//argA//
ComR	
CpxR-Phosphorylated	iscS//allD//sucB//kbaY//entF//wrbA//nemA//ilvM//pheT//talA//fruK//deoD//edd//pyrC//tynA//nrfC//paaA//gntK//deoD//yeaG//aroL//
Cra	nagB//fadM//trpC//gntK//paaE//phoA//tauD//moaA//glgB//kbaY//hypB//ilvM//pdeL//frdB//rffH//hypF//purK//ilvA//citC//gloA//paaK//pdeR//tpiA//bioB//napA//gntK//lpd//sbcC//deoC//yiaK//yeaG//bioC//relA//katE//asnB//dadA//murG//fabB//gatY//pheT//patA//uxuB//sucD//tdh//slt//glgA//cysJ//tdcB//sdhD//cysM//pnp//napG//rhaD//lldD//mpl//bioD//phr//lacZ//leuA//
CreB-Phosphorylated	glgX//frc//
CsgD	phnO//hyaB//alsE//fadD//ulaF//
CsiR	entC//glxK//ychF//ynfG//
CspA	prpD//
CueR-Cu	gabT//hycF//sodA//fucI//paaF//
CusR-Pasp	fadA//yqhD//bioB//galT//
CynR	
CynR-cyanate	dgkA//speA//aceF//
CysB	astD//grxA//
CysB-O-acetyl-L-serine	asnB//aspA//aroL//glsA//purM//alaC//recD//rbsD//srkA//guaB//tdcD//polA//aroG//ascB//metC//
CytR	gatZ//asnB//glmU//truB//ubiA//nadA//amn//narI//speA//prpC//
Dan-L-tartrate	recB//glpD//
DcuR-Phosphorylated	hycG//gpmM//talA//gpmA//
DeoR	aldA//deoD//pnp//aspC//allA//entB//
DhaR	ydcS//
DicA	
DinJ-YafQ	edd//
DnaA-ATP	putA//hemL//glmS//frc//murI//paaB//
DpiA-Pasp	relA//waaH//gpmM//purB//purH//
DsdC-D-serine	paaI//dsdA//
EbgR	
EnvR	lpxD//accD//
EnvY	allB//hcp//
