# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	glgB//gpmA//
Ada	fbaB//glcD//pheS//amn//
AdiY	lpxC//hycF//pagP//atoA//
AgaR	glxK//
AidB	sufS//
AlaS-L-alanine	folA//
AllR-allantoin	ulaF//gcvT//metC//chbF//ydcS//murF//
AllS-allantoin	citD//alkA//tdcG//
AlsR	glpK//ynfF//lacZ//
AppY	lldD//fadD//
AraC	allC//glcE//rutC//
AraC-arabinose	garR//rhaA//nrdD//xylB//metK//aroG//ycjG//fadM//
ArgP	lldD//ruvB//bioC//astC//lhgO//adiA//ldtD//paaJ//
ArgP-arginine	wecB//
ArgR-L-arginine	lsrG//bioB//pgm//ilvE//napH//aroG//argE//gpmA//pgk//dgcC//ynfH//ulaF//nanE//glmU//allA//purB//pheT//polB//sbcC//rhaB//hyi//phr//malQ//
ArsR	hcaC//torA//
AscG	atoD//lysU//
AsnC	murI//fucK//
AtoC-Phosphorylated	aldA//yedX//puuA//
BCCP	fadH//
BaeR-Phosphorylated	sdhB//betB//
BasR-Phosphorylated	rfe//ttdA//ogt//
BetI	gcvP//hycF//ubiC//
BirA-biotinyl-5-adenylate	garR//appA//purA//ilvM//paaA//
BluR	
BolA	gpmA//trpA//
BtsR-Phosphorylated	dmsC//
CadC	sucD//ldtD//phnI//
CaiF-L-carnitine	tam//fucU//paaH//glpX//dhaM//
Cbl	bioC//prpB//aroF//glpK//citG//
CdaR	glmU//metE//dapD//pheT//rffG//uxaC//malY//fabA//avtA//
CecR	malY//
ChbR	sdhB//garD//fau//
ChbR-N-monoacetylchitobiose-6-phosphate	murC//talA//fau//
ComR	
CpxR-Phosphorylated	sdaA//phnP//uvrA//glmS//lysU//malP//murI//tdcG//uidA//fbaA//hcaB//cadA//citC//amn//ascB//relA//gapA//nanA//hycE//glpK//hyi//
Cra	gabT//pgk//nrfC//tdcE//prpB//dapD//sodB//glgP//katE//paaA//acnA//wecB//ttdA//umpH//tdcD//gadB//murD//malS//fucU//galE//paaC//rutB//recD//purD//tdcG//murI//nagB//wzb//cysM//yiaK//waaZ//srkA//fadJ//sdhD//pgaB//paaH//phnG//fabB//sdhD//aldA//hycG//rffC//hcp//ilvI//kbl//prpD//dapB//ruvB//napA//rffG//citG//nirB//sodB//pgaC//argF//ubiA//sucB//pgaC//pgi//
CreB-Phosphorylated	adhE//pepD//
CsgD	cysG//rsmH//ssuE//cysH//tdcD//
CsiR	paaJ//cueO//pfkA//citG//
CspA	ccp//
CueR-Cu	ychF//ynfF//katE//pdeR//kbaZ//
CusR-Pasp	leuD//wecC//narI//wzb//
CynR	
CynR-cyanate	entE//tdh//hemH//
CysB	glsA//deoD//
CysB-O-acetyl-L-serine	astA//ahpC//feaB//gdhA//rhaD//ttdB//tyrB//rhaB//chbG//garK//argG//mhpB//ilvE//sgbH//glpA//
CytR	aspC//phnG//sucD//accA//glxR//gabD//pgi//fucI//napH//tyrB//
Dan-L-tartrate	tktB//paaJ//
DcuR-Phosphorylated	purD//fadB//phnI//recB//
DeoR	entB//hcp//pnp//rsmH//phnJ//recD//
DhaR	malY//
DicA	
DinJ-YafQ	hyi//
DnaA-ATP	fabG//prs//codA//pspE//accC//cynS//
DpiA-Pasp	wrbA//fadI//dapD//lpxC//fadJ//
DsdC-D-serine	ssuD//rffM//
EbgR	
EnvR	pspE//patD//
EnvY	ttdB//sdhA//
EvgA-Phosphorylated	lysU//sodA//kbaZ//deoA//cyoE//ppiA//
ExuR	moeB//betA//hyaC//ilvE//aroH//fucA//
ExuR-alpha-D-galacturonate	
FabR	mhpE//edd//ycjG//
FadR	galM//xylA//gltB//idnO//alkA//lacZ//lpd//frc//glpX//ung//uvrB//frdA//hemH//nrdB//uxaC//oxc//wecE//moaE//citC//
FadR-acyl-CoA	
FeaR	gcvP//ulaG//
FhlA-formate	fucU//bacA//ycjG//glpB//chbF//sucA//gabT//glcF//
FlhDC	serC//tdcE//asnB//allC//rhaD//frc//tyrB//ppc//trpA//lysU//wzc//fbaB//ruvB//deoD//
FliZ	paaZ//cueO//aroL//napA//deoA//
