# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	gltB//cysC//
Ada	aspC//fau//bioD//aspA//
AdiY	caiC//pykF//dhaL//phoA//
AgaR	kbaZ//
AidB	dapD//
AlaS-L-alanine	kbaY//
AllR-allantoin	narI//idnK//speB//folA//glyA//argH//
AllS-allantoin	zwf//glmS//puuB//
AlsR	epd//malZ//paaJ//
AppY	pdeL//bioF//
AraC	nanE//lacZ//gpmA//
AraC-arabinose	uidA//idnO//polA//argB//gadA//wzb//sdaA//hcp//
ArgP	pck//allB//carB//dsdA//glxK//sucB//kbl//murE//
ArgP-arginine	idnO//
ArgR-L-arginine	trpB//rhaB//tyrB//eno//ycjG//tadA//xylB//eda//ygeA//relA//fau//alaA//pgi//glgX//hmp//eda//malY//wecE//sdhA//mnmG//alaA//pflB//umpH//
ArsR	sdhB//frdB//
AscG	ldtC//caiB//
AsnC	dmsA//grxA//
AtoC-Phosphorylated	phnJ//lysA//cysG//
BCCP	talA//
BaeR-Phosphorylated	moaE//glcB//
BasR-Phosphorylated	aldA//lyxK//glpD//
BetI	wecE//glcB//glpA//
BirA-biotinyl-5-adenylate	cysK//mhpE//mltF//glpK//murF//
BluR	
BolA	guaA//caiC//
BtsR-Phosphorylated	metB//
CadC	rimK//dadA//cysG//
CaiF-L-carnitine	lacA//rfe//hmp//metH//yqhD//
Cbl	nanM//ydcS//gcl//nrdD//murQ//
CdaR	narI//entH//idnD//udp//hycC//paaK//uxuA//araB//psd//
CecR	gatD//
ChbR	entC//tyrA//aroA//
ChbR-N-monoacetylchitobiose-6-phosphate	accD//glsA//dadX//
ComR	
CpxR-Phosphorylated	recD//glpK//cysJ//dgkA//mhpC//dmsA//xylA//patD//psd//slt//fadD//kbl//aroL//fadA//astC//pck//cysN//uidA//pagP//adiA//citD//
Cra	ynfE//allA//waaZ//lsrF//glyA//citE//gltD//glsA//lldD//tauD//tam//glmS//metL//prpE//alsE//ftnA//sdhC//uxaA//gor//ung//tpiA//srlD//lysA//frdA//phnJ//serC//fruK//cysK//mhpF//patD//relA//caiB//allE//psd//pgaC//phoA//malY//srlD//gudD//rtcB//asnB//citF//garD//pepD//waaZ//fau//sucD//pgaB//astE//treC//purM//glgP//ccp//kbaZ//glpA//frdB//fau//hycB//serC//
CreB-Phosphorylated	prpC//tpiA//
CsgD	ftsI//phnM//icd//cysH//rtcA//
CsiR	sucA//cysN//nanA//sucB//
CspA	eda//
CueR-Cu	rffM//lhgO//dhaM//cysH//citC//
CusR-Pasp	fabA//pflB//nirB//nrdA//
CynR	
CynR-cyanate	cysI//ftsI//bioC//
CysB	sucA//garR//
CysB-O-acetyl-L-serine	pgk//metH//sgbH//glxR//cynT//paaZ//gor//alaC//fucI//dacC//srlD//prs//uxaC//rffC//ilvC//
CytR	araA//gpmA//entA//idnD//serC//paaE//fbaB//mpaA//glsA//bioD//
Dan-L-tartrate	paaG//aldA//
DcuR-Phosphorylated	rutC//gatY//caiB//aroG//
DeoR	caiA//rimK//argC//tyrB//accC//nrdA//
DhaR	dkgB//
DicA	
DinJ-YafQ	dmsA//
