# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	gdhA//alkB//
Ada	lhgO//nanE//tam//aceF//
AdiY	dadX//sdhC//umuC//xapA//
AgaR	rhaD//
AidB	aceE//
AlaS-L-alanine	sodB//
AllR-allantoin	ttdA//yiaK//galT//acnA//argC//grxA//
AllS-allantoin	mhpF//gadB//lldD//
AlsR	pfkA//hycB//hcaC//
AppY	rffH//leuD//
AraC	dkgB//recB//ldtC//
AraC-arabinose	phnO//yeaE//ubiA//gadA//ulaF//murC//gatZ//cysI//
ArgP	waaH//gutQ//puuE//melA//malP//citE//xylA//ynfF//
ArgP-arginine	paaI//
ArgR-L-arginine	paaE//ynfG//uidA//entA//fdhF//idnO//metF//uxaB//argH//fadM//allA//ddlB//nadB//tnaA//deoD//idnO//fucK//appA//rhaA//pheS//glpC//wecC//tnaA//
ArsR	uxaC//cysJ//
AscG	pheT//iscS//
AsnC	icd//pdeR//
AtoC-Phosphorylated	prpD//ssuD//talA//
BCCP	nfsB//
BaeR-Phosphorylated	recD//cysC//
BasR-Phosphorylated	gadA//fucI//rnpB//
BetI	fabI//katG//napH//
BirA-biotinyl-5-adenylate	phnL//sdaA//glgB//astC//murD//
BluR	
BolA	mhpD//astE//
BtsR-Phosphorylated	argD//
CadC	fau//fadB//napA//
CaiF-L-carnitine	metE//sucA//hcaB//acnB//nanK//
Cbl	dhaK//mtlD//tnaA//galM//idnK//
CdaR	fruK//slt//gor//fadJ//adhE//paaH//mhpB//nrfA//purK//
CecR	hycE//
ChbR	putA//sbcD//fadM//
ChbR-N-monoacetylchitobiose-6-phosphate	cynT//aceA//citD//
ComR	
CpxR-Phosphorylated	tdcE//umuD//wzc//phnN//umuD//araD//pdeL//metK//fbaA//citE//fumC//entF//amn//gcl//allA//glpC//dacC//pgi//nagA//hypF//hycG//
Cra	cysI//purB//galM//edd//astC//nanA//mpaA//fabA//grxA//paaA//gloA//nemA//aroL//gcl//malQ//fucA//nirB//fadD//edd//frdC//hyaA//lhgO//garL//trpC//gabT//ulaD//allE//idnD//feaB//gltD//ftnA//puuC//purK//epd//hycE//eno//adhE//frc//adiA//acnB//hyaC//gutQ//sucA//leuD//trpE//fumC//fabH//pgk//idnK//glsA//kbaY//accC//phnM//rtcA//kbl//fucI//mazG//narI//torA//
CreB-Phosphorylated	ndh//sgbU//
CsgD	pgpC//polB//lsrF//garL//glsA//
CsiR	ycjG//mhpB//sdhD//tehB//
CspA	cysG//
CueR-Cu	cynT//allA//metH//speB//glpK//
CusR-Pasp	glpD//deoA//rutA//prpD//
CynR	
CynR-cyanate	glpQ//betA//ynfH//
CysB	frdD//lpd//
CysB-O-acetyl-L-serine	paaB//ddlB//accC//purD//garD//cysI//bioA//glgX//ynfE//aroF//ubiC//alkA//rhaB//ascB//rutC//
CytR	lhgO//citG//dsdA//acnA//fadH//caiC//betB//napH//sodA//entE//
Dan-L-tartrate	gltB//glyA//
DcuR-Phosphorylated	tyrA//astD//uxaB//yiaK//
DeoR	hyi//fadM//gabT//phnI//betA//glpA//
DhaR	cadA//
DicA	
DinJ-YafQ	rimK//
DnaA-ATP	purA//gabD//prpB//tpiA//deoC//fumB//
