# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	ahpF//hemH//
Ada	bglB//ynfE//astC//murQ//
AdiY	fabZ//guaB//murD//argI//
AgaR	pgaB//
AidB	aspA//
AlaS-L-alanine	paaG//
AllR-allantoin	moaE//paaB//adiA//rutC//napH//nrdB//
AllS-allantoin	sodA//allC//polB//
AlsR	dgcC//bioC//malQ//
AppY	waaH//entF//
AraC	kbaY//gloA//wrbA//
AraC-arabinose	carA//citX//zwf//eno//ccp//metA//purK//rffG//
ArgP	pgaB//alaC//pnp//sdhA//waaZ//tam//cysN//uxuA//
ArgP-arginine	wzc//
ArgR-L-arginine	fabI//grxA//ulaG//aroH//deoB//idnO//katE//entB//ldtC//mhpE//murG//ndh//fadM//metA//dadX//metE//gapA//metF//fucI//citC//glk//dgcN//frdD//
ArsR	nrdD//bacA//
AscG	rffC//hycE//
AsnC	fadB//ccp//
AtoC-Phosphorylated	nrdB//astA//guaB//
BCCP	purL//
BaeR-Phosphorylated	puuA//hyi//
BasR-Phosphorylated	bioC//lpd//ldtD//
BetI	ssuD//relA//prpE//
BirA-biotinyl-5-adenylate	dinB//dgcZ//yqjH//lysU//polA//
BluR	
BolA	puuC//mhpB//
BtsR-Phosphorylated	nirB//
CadC	gutQ//dgcN//rpiB//
CaiF-L-carnitine	fabB//mhpB//frdA//recD//glcB//
Cbl	wecC//rbsD//deoD//eda//speB//
CdaR	rnpB//folA//uvrB//deoB//sdhC//atoB//leuD//aspC//moaA//
CecR	nrdE//
ChbR	gltB//hycB//rffT//
ChbR-N-monoacetylchitobiose-6-phosphate	mhpC//uxaB//paaZ//
ComR	
CpxR-Phosphorylated	bioC//pfkA//purA//cysE//hycE//malZ//yiaK//truB//tam//argA//tam//psd//aroF//katG//cysJ//gloA//trpE//polB//paaG//uxuB//nrdA//
Cra	moeB//ada//paaI//hcaE//mhpB//leuA//glcF//adiA//speA//wecB//ung//prpB//paaI//guaB//sucB//hypF//lacZ//fucK//rffG//lysC//argA//sucD//fbaA//kbaY//recB//metL//wecE//metE//lyxK//nrfD//kbaZ//argC//ugpQ//accC//gloA//asnB//aroG//mpl//patD//adiA//paaJ//appA//phnN//malS//fucK//tdcB//yfdE//poxB//umuC//pagP//garD//metA//deoC//sdhA//gatD//fbaA//hycC//glcB//galE//
CreB-Phosphorylated	trpC//aspC//
CsgD	pgaB//cysM//ruvB//sbcD//pyrC//
CsiR	moeB//gcl//entD//metB//
CspA	argB//
CueR-Cu	fabG//murE//paaH//ftsI//puuB//
CusR-Pasp	grxA//galM//phnJ//argF//
CynR	
CynR-cyanate	ilvC//tyrB//cysM//
CysB	gltB//rutE//
CysB-O-acetyl-L-serine	dhaM//aspC//paaC//purM//pgm//ynfG//cyoE//gutQ//pgi//moaE//nrfC//moaD//narH//phnH//waaH//
CytR	dadA//gabT//ndh//mazG//dgkA//gor//allE//purL//entD//recB//
Dan-L-tartrate	purF//rimK//
DcuR-Phosphorylated	pgaB//pdeR//lldD//ahpC//
DeoR	glpC//rutB//glpC//xylB//pykF//idnK//
DhaR	fau//
DicA	
DinJ-YafQ	argI//
DnaA-ATP	rutC//alaA//rutE//nagA//uxuB//bioB//
DpiA-Pasp	poxB//gpmM//fabI//fumB//glpC//
DsdC-D-serine	cysI//hycG//
EbgR	
