# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	fabH//dapD//
Ada	bioC//hyaC//gabD//gcvP//
AdiY	ynfE//glpB//alaC//truB//
AgaR	citC//
AidB	hyaB//
AlaS-L-alanine	napG//
AllR-allantoin	umpH//astB//aceE//patA//tyrB//acnA//
AllS-allantoin	purK//ilvM//moaC//
AlsR	moeB//rnpB//oxc//
AppY	hycC//kbaZ//
AraC	waaY//gdhA//pheT//
AraC-arabinose	tdcD//speB//atoB//citF//fadM//rffC//aroA//citE//
ArgP	alaC//purE//idnD//aceF//citX//ftnA//bioF//accD//
ArgP-arginine	pgi//
ArgR-L-arginine	pflB//mhpE//fabH//ilvA//cynS//hcaB//ndh//rpiB//purB//ulaG//murI//murI//prpC//bioB//aroF//moaC//mngB//pgpC//pdeR//hypF//nrdB//idnK//nadB//
ArsR	glgX//glyA//
AscG	tadA//cysN//
AsnC	rhaB//puuD//
AtoC-Phosphorylated	mtlD//murF//ung//
BCCP	adiA//
BaeR-Phosphorylated	purB//treC//
BasR-Phosphorylated	allC//cynT//rnpB//
BetI	narG//prpB//idnD//
BirA-biotinyl-5-adenylate	pepD//ugpQ//lysA//accC//tehB//
BluR	
BolA	wecE//alsE//
BtsR-Phosphorylated	gor//
CadC	murG//astB//ung//
CaiF-L-carnitine	ung//moaA//argF//fes//nrdE//
Cbl	trpB//rutC//xylB//wzb//murE//
CdaR	uvrA//fadM//fumB//deoB//hycB//tam//cynS//ubiX//ychF//
CecR	malP//
ChbR	glgP//dmsB//narI//
ChbR-N-monoacetylchitobiose-6-phosphate	ccp//metB//sodB//
ComR	
CpxR-Phosphorylated	lpxD//gabD//lacZ//lhgO//accD//fau//nirB//fucU//trpB//ttdA//frdD//hyaB//paaJ//nagA//fadA//fbaB//dapB//carA//glmU//rtcB//ydcS//
Cra	nrfC//lsrF//recD//xylB//ilvA//fadA//galK//wecE//dadA//pdeR//chbG//thrS//malQ//dapB//garD//gabD//entD//pgaD//glsA//kbaZ//arsC//narH//pyrD//aceA//asnA//rffH//moaE//glnA//patA//ftnA//dsdA//argH//murQ//rfe//bioB//ynfF//rffC//alaS//caiC//ilvM//fadH//glyA//astE//pck//cysN//allE//pdeR//purB//dgkA//murF//glpD//glyA//ppsA//deoC//fabG//ribA//glmS//metF//ldtD//
CreB-Phosphorylated	mpl//lpxA//
CsgD	thrS//frdA//argF//epd//metA//
CsiR	sgbE//accC//sdaA//galM//
CspA	hcaB//
CueR-Cu	cysG//frdD//malS//paaI//katE//
CusR-Pasp	ynfG//ahpC//cyoE//fabA//
CynR	
