# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	ada//rutD//
Ada	murQ//alsE//poxB//dhaL//
AdiY	purK//serA//dmsA//aldA//
AgaR	mnmG//
AidB	metB//
AlaS-L-alanine	ogt//
AllR-allantoin	glyA//glpX//katG//metB//frdA//umpH//
AllS-allantoin	codA//rbsD//puuC//
AlsR	argF//glxK//glyA//
AppY	fucA//tdcE//
AraC	purC//phnJ//alaS//
AraC-arabinose	sucA//lacA//gatY//puuD//purM//phr//uxuB//torA//
ArgP	paaC//dkgB//ilvM//argE//nrfC//lhgO//iscS//trpB//
ArgP-arginine	pgpC//
ArgR-L-arginine	gcl//moaD//recF//mhpD//lacZ//ilvE//citX//garK//guaA//frdD//metC//tehB//aceE//yfdE//gatD//paaF//cysM//deoD//tktB//sdaA//ynfH//dmsA//pgi//
ArsR	puuC//glmS//
AscG	fabI//bglB//
AsnC	wecB//glpK//
AtoC-Phosphorylated	idnK//citE//mnmG//
BCCP	dmsA//
BaeR-Phosphorylated	citE//paaH//
BasR-Phosphorylated	hycC//phnI//lsrK//
BetI	ccp//aceB//ycjG//
BirA-biotinyl-5-adenylate	murF//nadB//phnG//argC//fadA//
BluR	
BolA	aceA//recB//
BtsR-Phosphorylated	pagP//
CadC	fadH//rfe//purE//
CaiF-L-carnitine	grxA//aspC//atoA//hycB//murI//
Cbl	yqhD//acnA//nirB//ulaD//allE//
CdaR	cysJ//phoA//glpC//cysC//citE//hcaF//sdhB//allB//phnO//
CecR	mhpF//
ChbR	aspC//dadX//gatZ//
ChbR-N-monoacetylchitobiose-6-phosphate	eno//glpK//dmsA//
ComR	
CpxR-Phosphorylated	yqjH//fabD//feaB//fucO//allC//treC//ilvM//sucA//alsE//ldtB//dadX//deoD//relA//yeaE//pheT//cysJ//luxS//moaD//rsmH//lysC//sucB//
Cra	cadA//pfkA//purE//ldtC//waaZ//eno//ttdA//gudD//frdA//glmS//gatY//lsrK//mltF//umuC//uvrC//entE//nagB//argH//prpE//kbl//ahpC//trpE//lpxD//hyaC//ccp//argE//asnB//sodB//deoA//hycE//trpA//pgpC//deoC//hycD//cysJ//tdcE//araA//ynfG//lpxA//ssuD//pdeL//alaA//xapA//cysJ//gadB//moaD//phnL//dapB//paaK//ubiX//mngB//purA//nanK//paaC//glmU//nrdA//rutE//hycD//nrdA//
CreB-Phosphorylated	fucA//lpd//
CsgD	rffT//glcB//hyaA//tehB//ccp//
CsiR	frdA//cysM//fbaA//entE//
CspA	betB//
CueR-Cu	nirD//ilvG_1//gpmA//fabD//dadA//
CusR-Pasp	atoA//relA//purD//luxS//
CynR	
CynR-cyanate	adiA//glxK//nrfC//
CysB	uvrB//dkgB//
CysB-O-acetyl-L-serine	moeB//moaC//deoD//aldA//glgA//mhpF//tdcB//astD//ribA//moaC//dapD//allA//rbsK//trpA//caiB//
CytR	rffT//gor//glyA//ada//kbl//entC//fabI//rutA//nirB//alaA//
Dan-L-tartrate	sufS//fabZ//
DcuR-Phosphorylated	phnP//atoB//lacA//moaD//
DeoR	dmsC//entF//gatD//pgm//leuA//ahpC//
DhaR	narH//
DicA	
DinJ-YafQ	gcvP//
DnaA-ATP	hemL//ada//chbG//pgaC//slt//paaH//
DpiA-Pasp	rutC//moaE//umuC//gatZ//fabD//
DsdC-D-serine	sbcD//ilvH//
EbgR	
EnvR	patD//nrdB//
EnvY	argA//ogt//
EvgA-Phosphorylated	udp//astA//dinB//garD//accA//tdcG//
ExuR	ndh//srkA//glpA//purM//purF//astD//
ExuR-alpha-D-galacturonate	
FabR	talA//garD//edd//
FadR	ugpQ//allC//sgbE//carB//hyaC//moaD//pykF//aspC//glpB//fadH//gpmA//bioB//sucA//hcaB//dgcC//gabT//purD//allD//speG//
FadR-acyl-CoA	
FeaR	entA//gadA//
FhlA-formate	fadI//fabG//pncB//paaY//ppiA//nrfA//pheT//aroF//
FlhDC	yedX//accA//prs//rhaA//entF//torA//gadB//xylA//glmS//torA//hcaD//metK//ssuE//leuA//
FliZ	leuD//phnI//hcaC//bioC//pheT//
FucR-L-fuculose-1-P	purE//trpE//glpB//wecC//guaB//codA//
Fur-Fe2	sgbE//narG//wrbA//fabH//paaH//cynS//caiD//sucC//sdhB//allD//paaF//serA//pgaB//aroL//atoB//polB//murD//fadB//fbaA//astE//sdhC//aroL//ilvA//edd//glcD//tdcG//hycB//entA//dadX//carA//nrdD//citE//pgi//mazG//hcaE//fadD//rffM//dhaK//metC//mhpE//gcl//uvrC//gnd//phnG//puuD//hycC//gutQ//pagP//asnB//trpE//cysG//malY//puuD//gcvP//phnN//fabG//adhE//idnO//trpD//relA//aceE//cysJ//
GadE	paaZ//rutB//accA//fadJ//fbaA//torC//folE//betB//pgi//rpiB//
GadE-RcsB	pheS//truB//rpiB//glcE//gcvT//
GadW	sgbU//rbsK//fucI//hcp//
GadX	citX//sucD//nadA//recF//metH//sbcC//torC//cysN//tyrB//malZ//sucB//rutD//lsrF//entB//
GalR	pepD//gcvT//cysD//leuD//kbaZ//phnH//
GalR-beta-D-galactose	nanM//gpmM//moeB//folA//araD//
GalS	argE//atoD//pck//phnM//murQ//lhgO//
GalS-beta-D-galactose	ilvA//fabI//guaA//fucO//ttdB//
GatR	cysC//ubiX//ilvM//
GcvA	tdcG//fucA//tnaA//
GlcC-glycolate	gudD//glcB//murC//
GlpR	sucD//sdhD//rbsK//rffC//cysN//dapB//pspE//
GlrR-Pasp56	
GntR	ynfF//ssuD//metB//rtcA//mhpB//aroA//glpC//pflB//dhaL//
GutM	paaE//bioF//fadD//
HU	fabG//purK//ydcS//mtlD//argB//icd//paaA//
HcaR	
HcaR-HCA	idnO//metB//
HdfR	
HigA	mhpD//
HigB-HigA	gadB//
HipAB	nrdF//pgi//
HipB	uxuB//glxR//dgcZ//
HprR-Phosphorylated	deoA//araA//appA//purB//
HyfR	betA//
HypT-Met-oxidized	aroF//hcaF//idnD//polB//serC//hyaB//dmsB//
IclR-pyruvate	rhaB//wecC//fabB//
IdnR-5-ketogluconate	nirB//ydcS//aceF//argA//nagB//
IlvY	
IlvY-S-2-acetolactate	kbaY//
IscR	purM//aroL//dmsB//sucD//ilvI//argG//
IscR-2Fe-2S	garL//fau//
KdgR	ascB//gltB//
KdpE-Phosphorylated	betA//
LacI	glpX//sgbH//srkA//
LeuO	pgaB//gabT//speB//gatY//uxaA//glgX//
LexA	rsmH//phnI//cueO//pgm//ccp//entB//aroL//hycE//glpQ//citE//alkA//araA//adhE//nrdA//phnH//uvrA//nadB//cynT//ilvI//ubiC//purK//dapB//udp//
LldR	argC//hypB//
LldR-S-lactate	frdD//srlD//
LrhA	
Lrp	rhaB//nrdB//fau//metC//paaF//edd//ftnA//allE//xapA//waaH//uidA//fadD//nrfA//rbsK//purD//metE//rffG//waaH//metE//bioD//prpE//melA//kbaY//ynfF//prs//araA//nrdA//dmsB//nanE//mngB//cysK//
Lrp-leucine	moeA//rhaA//sucA//eda//guaA//moaE//truB//atoB//frc//cysI//patD//hyaC//rpiB//rhaD//fabH//argI//malP//
LsrR	glpK//hycG//glsA//fadB//fadA//
LysR	aceE//
MalI	aceB//paaC//
MalT-maltotriose-ATP	allD//prs//narI//malP//umpH//tdcG//
MarA	argD//hmp//wecE//aroH//nanE//cysE//eno//phnP//glgX//moaA//sbcC//rhaA//galE//srlD//metK//cysD//phnI//napG//zwf//trpB//purA//aroG//ahpF//moaC//
MarR	
MatA	fucK//
MazE	rffM//
MazE-MazF	fabZ//
McbR	
MelR	tynA//puuB//
MelR-melibiose	napA//mdh//
MetJ-adenosylmethionine	mhpD//poxB//allC//alaA//puuC//aroL//tadA//entC//hemL//dgcN//
MetR	entE//cyoE//
MetR-L-homocysteine	sbcD//rnpB//
MhpR-3HPP	gadB//rbsK//cysD//cysD//pheT//mltF//
