# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	bioC//rbsD//
Ada	chbF//cysE//accC//dgcC//
AdiY	deoB//glgA//glcE//trpD//
AgaR	wrbA//
AidB	recB//
AlaS-L-alanine	ppiA//
AllR-allantoin	pflB//sgbH//araB//glgX//folA//tyrA//
AllS-allantoin	deoB//glcF//entB//
AlsR	lldD//dmsB//moaC//
AppY	paaB//aroG//
AraC	fadE//fabI//gatY//
AraC-arabinose	hcaB//ubiC//nrdE//entE//dgcC//sucC//mhpD//trpD//
ArgP	murG//xylB//pgi//nirB//eno//malP//epd//cyoE//
ArgP-arginine	amn//
ArgR-L-arginine	melA//avtA//hcaB//uxaA//tehB//gatD//putA//glxR//tdcB//glmU//gcvH//glcB//ubiX//atoB//glxK//purH//mngB//cadA//rffM//dmsA//cysD//trpE//ilvC//
ArsR	bioC//argG//
AscG	lpxD//trpD//
AsnC	hemH//argC//
AtoC-Phosphorylated	dinB//allA//narI//
BCCP	paaJ//
BaeR-Phosphorylated	ttdB//wzc//
BasR-Phosphorylated	mpl//purK//cysD//
BetI	sbcD//aroA//eno//
BirA-biotinyl-5-adenylate	phnH//dapB//cysK//alaC//napB//
BluR	
BolA	accD//trpC//
BtsR-Phosphorylated	ynfH//
CadC	amn//treC//dmsC//
CaiF-L-carnitine	betB//mpaA//srlD//sodB//patD//
Cbl	ampC//metF//relA//speB//ahpF//
CdaR	galM//sdaA//sdhB//mhpA//rnpB//argG//rtcA//kbaY//tnaA//
CecR	ynfH//
ChbR	recD//betB//ybjG//
ChbR-N-monoacetylchitobiose-6-phosphate	adiA//nrdA//fucA//
ComR	
CpxR-Phosphorylated	yiaK//uvrA//rhaB//paaY//dapB//nrdA//trpC//napG//argI//deoB//psd//wzc//yqhD//astA//cysG//wrbA//rhaB//guaB//recB//ldtC//dapD//
Cra	fucU//trpC//ilvC//nrfA//paaA//rffG//carA//eda//gatD//araD//ruvB//dadA//glgB//sufS//dinB//avtA//nrdB//glxK//pgaB//speB//bioB//caiC//acnB//napH//asnA//bioB//betA//dmsC//paaG//hcp//leuD//wecB//leuC//puuB//uvrA//phnP//glmU//tdh//nrdE//entB//grxA//nfsB//pflB//puuB//frdB//ruvA//moaE//speG//phnI//nagB//citE//lldD//ftnA//garR//trpB//nanE//fumB//caiD//prpD//
CreB-Phosphorylated	cueO//hcaE//
CsgD	metB//hmp//rffC//cynT//rbsD//
CsiR	fabB//glyA//nrdB//gutQ//
CspA	gnd//
CueR-Cu	mngB//dmsA//ycjG//nagA//fumC//
CusR-Pasp	ssuE//sdhC//gnd//ampC//
CynR	
CynR-cyanate	paaK//dhaM//sodA//
CysB	glcB//rffT//
CysB-O-acetyl-L-serine	argC//rnpB//citE//hypF//lysU//lldD//gadB//tyrB//ilvG_1//gcl//gltB//yeaG//wzb//uxaA//alkB//
CytR	fruK//phnH//murE//fadB//fucA//nadB//alaA//deoC//amn//hyi//
Dan-L-tartrate	galE//glcB//
DcuR-Phosphorylated	sgbU//gudD//sucB//prpB//
DeoR	napA//ppiA//puuA//glgB//fadE//treC//
DhaR	fruK//
DicA	
DinJ-YafQ	rutE//
DnaA-ATP	ppc//torC//fabZ//uxuB//dacC//glpX//
DpiA-Pasp	murD//trpE//argD//phnL//gabT//
DsdC-D-serine	accD//prpB//
EbgR	
EnvR	cysE//fabB//
EnvY	gabT//cysH//
EvgA-Phosphorylated	uxuA//sbcC//ttdA//allC//alkB//yeaE//
ExuR	puuC//kbaZ//garK//lacZ//yeaE//ydcS//
ExuR-alpha-D-galacturonate	
FabR	ynfF//atoD//ddlB//
FadR	cysM//fadI//rnpB//recB//moaC//glmS//eno//icd//alaS//wrbA//lldD//ftsI//dapD//sodB//pgpC//ung//gadB//dapD//dgcN//
FadR-acyl-CoA	
FeaR	fabA//pgpC//
FhlA-formate	gcl//epd//fbaB//feaB//hycG//adiA//rutA//icd//
FlhDC	asnA//ccp//argA//garK//phnL//udp//entE//recB//fadJ//lyxK//fadE//folE//paaI//cysH//
FliZ	cysN//glmU//frdB//glmU//gadA//
FucR-L-fuculose-1-P	fbaA//entH//ilvH//glmS//hcp//metC//
Fur-Fe2	dmsB//pheT//ilvD//argI//malS//moaC//aceF//speB//kbaZ//dgcC//dapD//uxuA//nanA//nfsB//guaA//ttdA//trpD//glpX//fumB//mpl//fadH//xylB//tpiA//rbsK//phnI//ilvD//pfkA//pflB//ssuE//sodB//mhpA//ugpQ//deoB//glmU//astA//kbaZ//glpQ//puuC//nrdD//narG//murQ//glxK//wzb//yqhD//garK//fabA//ribA//asnB//caiA//rhaD//phnJ//cysK//napB//gatZ//paaK//hcaC//betB//folA//pflB//fabG//glcD//glcF//
GadE	murD//polA//carA//tyrB//ssuD//gabD//fadH//ssuD//nrfA//glgB//
GadE-RcsB	aroH//gloA//prpB//sucD//galT//
GadW	mhpA//guaB//tdcB//tdcB//
GadX	ynfE//asnA//fes//purA//gadB//glmS//ldtB//lhgO//pgpC//ccp//galE//ycjG//gatY//pgpC//
GalR	ppiA//recB//ugpQ//nrdA//pck//rbsD//
GalR-beta-D-galactose	nirB//nanE//gudD//rutC//ogt//
GalS	dacC//malY//hycF//deoA//wrbA//bioF//
GalS-beta-D-galactose	putA//glcF//garL//trpD//asnB//
GatR	cysK//fadB//rutD//
GcvA	glk//deoB//ychF//
GlcC-glycolate	grxA//sdhD//hcaD//
