# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	aroF//paaB//
Ada	umpH//asnB//murD//prpC//
AdiY	hycB//epd//phnI//dadX//
AgaR	entE//
AidB	ynfH//
AlaS-L-alanine	gpmA//
AllR-allantoin	ydcS//tdcE//eno//amn//metB//mhpC//
AllS-allantoin	caiA//argI//hemH//
AlsR	puuE//rutD//ftnA//
AppY	rpiB//phnM//
AraC	rhaA//oxc//ilvG_1//
AraC-arabinose	glgB//tktB//argA//malQ//paaZ//uxuA//purH//fadA//
ArgP	dsdA//pgaC//polB//leuC//rpiB//kbaZ//ttdA//ilvM//
ArgP-arginine	mpaA//
ArgR-L-arginine	pykF//dgcC//narI//hycG//tnaA//yedX//glcD//pdeR//ada//xapA//tyrB//bioF//uvrA//citX//lldD//avtA//frdA//rfe//folE//aroA//wecB//prpE//pgk//
ArsR	ilvD//speA//
AscG	mdh//metA//
AsnC	frdB//caiA//
AtoC-Phosphorylated	fabB//rhaD//paaG//
BCCP	pgaC//
BaeR-Phosphorylated	moeB//glk//
BasR-Phosphorylated	gnd//lyxK//atoD//
BetI	hyaC//cysG//tdcG//
BirA-biotinyl-5-adenylate	caiD//hcaB//fumB//glcD//sodA//
BluR	
BolA	aroL//moaA//
BtsR-Phosphorylated	garK//
CadC	ubiA//ppsA//paaE//
CaiF-L-carnitine	sucB//wzb//cdd//epd//dapD//
Cbl	dgcN//fumC//wzb//ldtC//mhpB//
CdaR	gntK//hyaB//aceE//paaH//accA//adhE//ulaG//moeA//moaC//
CecR	gudD//
ChbR	citC//rtcA//pgaB//
ChbR-N-monoacetylchitobiose-6-phosphate	pdeR//hcaC//hyaA//
ComR	
CpxR-Phosphorylated	astD//ulaG//ydcS//ruvA//bacA//fucU//dhaK//nfsB//sdaA//uxuB//ung//adiA//galT//purM//dadX//paaI//betB//lpxA//garD//bioF//pgpC//
Cra	mltF//ubiX//patA//prpC//caiB//cysG//alaA//purL//astD//rutA//ndh//dgcZ//ychF//uidA//frdA//pheS//gltD//ulaE//entD//argA//moaA//dkgA//hmp//purH//gapA//fadE//mraY//rffH//garR//ogt//feaB//treC//phnP//puuD//umuC//ahpC//leuD//atoB//lpxD//asnB//lpxC//alsE//allD//betB//adiA//entD//aceE//hypB//feaB//dgcC//tyrB//rtcA//acnB//purM//speA//gcvP//ilvA//uxaB//frdB//
CreB-Phosphorylated	talA//tdcE//
CsgD	gcvH//puuB//cysC//alaA//pgaC//
CsiR	aceF//tynA//paaC//ilvI//
CspA	nfsA//
CueR-Cu	chbF//glpK//ilvM//alsE//kbl//
CusR-Pasp	nanA//entD//hycD//uvrC//
CynR	
CynR-cyanate	aroL//lacA//lpd//
CysB	entA//nadB//
CysB-O-acetyl-L-serine	dsdA//rutA//speB//hmp//yeaE//metB//glpQ//mpaA//wecC//paaY//entF//argI//fau//cueO//pagP//
CytR	tauD//citE//alaC//purN//dapB//ynfE//yqhD//codA//mnmG//frdD//
Dan-L-tartrate	allE//caiB//
DcuR-Phosphorylated	hemL//kbaY//atoA//sgbH//
DeoR	cysG//sgbH//xylB//nrdF//purE//nrdE//
DhaR	ybjG//
DicA	
DinJ-YafQ	trpC//
DnaA-ATP	zwf//relA//fadH//pgaD//aroF//gpmA//
DpiA-Pasp	paaF//paaC//alkA//yqhD//icd//
DsdC-D-serine	melA//hyaC//
EbgR	
EnvR	ung//speA//
EnvY	nanA//galK//
EvgA-Phosphorylated	mpaA//glcD//tdcE//sbcD//glcF//dhaL//
ExuR	dadX//metL//aroG//speB//carB//puuD//
ExuR-alpha-D-galacturonate	
FabR	cysJ//glxK//lysA//
FadR	nanM//epd//glnA//pgm//ugpQ//phr//betB//fucU//ubiC//napG//garL//nemA//glmU//mhpE//purK//caiD//hycF//serA//lhgO//
FadR-acyl-CoA	
FeaR	tyrA//dapB//
FhlA-formate	prpD//moeB//gnd//cynT//caiA//ydcS//idnO//citD//
FlhDC	glpQ//ubiX//asnB//dhaL//rbsK//accA//gutQ//glk//wecE//fucU//mngB//argA//ttdB//hmp//
FliZ	lpxA//pgk//rutB//mraY//glcE//
FucR-L-fuculose-1-P	paaG//puuC//purM//purM//sbcD//mhpA//
Fur-Fe2	hyaA//fadA//trpE//purC//glgX//malP//narI//ttdB//guaB//polA//rffH//mnmG//napB//wrbA//pgpC//metH//sdhB//hcaD//lsrG//aroF//ygeA//prpD//speB//tdh//nrfC//ascB//nrdF//argF//murI//ynfE//phnO//garD//ldtC//ssuD//gltB//pgaC//kbaZ//ftnA//rhaA//cynS//alaC//gatZ//pyrC//tdcE//mpl//tehB//ilvA//recB//polB//rutC//deoA//glyA//ynfH//pgm//uxaA//sdaA//gcvH//rbsK//cysI//pgi//garK//aroH//
GadE	phnP//nfsA//aceE//fucI//purN//ynfE//patA//ynfH//recF//rimK//
GadE-RcsB	nanK//argG//psd//dsdA//gcvH//
GadW	glgB//yfdE//cysG//leuC//
GadX	phnJ//puuA//hypF//metF//fumC//mngB//nadB//poxB//nrfC//accD//prpC//avtA//mhpA//cysC//
GalR	alkB//ttdB//torC//hypF//phnP//uxaA//
GalR-beta-D-galactose	yfdE//fadB//sdaA//pdeH//fucK//
GalS	gdhA//mhpC//rimK//glcF//eno//glpC//
