# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	cdd//waaY//
Ada	fabG//murE//prpE//ilvD//
AdiY	lsrK//accC//glgB//pgpC//
AgaR	fadE//
AidB	gcvT//
AlaS-L-alanine	puuD//
AllR-allantoin	phnH//gpmM//puuB//sgbU//napG//aceE//
AllS-allantoin	murC//murF//ndh//
AlsR	gutQ//glpK//murG//
AppY	aceF//ung//
AraC	rbsK//fau//ydcS//
AraC-arabinose	dsdA//folA//uvrC//ampC//uxaA//umuC//pgk//dinB//
ArgP	tauD//avtA//tdcG//nanK//torA//hyaA//avtA//betB//
ArgP-arginine	ilvG_1//
ArgR-L-arginine	glxR//astD//hcp//leuA//hyaC//idnK//fabA//aroH//hyaC//leuA//xapA//ldtC//hcaB//napG//phnO//udp//glgB//atoA//ubiX//fucO//phnL//fbaA//garK//
ArsR	astC//arsC//
AscG	frdA//leuB//
AsnC	nemA//serC//
AtoC-Phosphorylated	puuC//purE//cysN//
BCCP	fruK//
BaeR-Phosphorylated	napB//moaE//
BasR-Phosphorylated	trpC//dinB//metA//
BetI	mtlD//slt//atoD//
BirA-biotinyl-5-adenylate	pck//hcaB//glsA//glpX//glnA//
BluR	
BolA	frdC//thrS//
BtsR-Phosphorylated	ccp//
CadC	bioB//glcE//yqhD//
CaiF-L-carnitine	avtA//guaB//lacA//sodB//pdeH//
Cbl	glxK//pncB//dgcN//treC//tyrA//
CdaR	wecC//trpD//purB//gutQ//aldA//accA//fucI//argB//mpaA//
CecR	kbaY//
ChbR	pflB//deoA//mpl//
ChbR-N-monoacetylchitobiose-6-phosphate	purB//glnA//entC//
ComR	
CpxR-Phosphorylated	galE//polB//gatD//recD//pflB//fabG//aceF//astD//dgcZ//dmsA//argD//nrdF//leuD//rimK//glxR//tdcB//purF//moaC//ahpC//rhaA//cysK//
Cra	argA//hcaF//fabZ//dmsA//entA//caiA//aroL//astA//tam//cysI//folE//sgbU//entA//frdC//gloA//aceB//entH//ccp//pspE//prpE//paaE//ruvA//bioD//glgX//kbl//pgi//murQ//melA//nrdB//srkA//galT//ygeA//phnN//bioC//rutE//paaF//paaB//fabA//uxaB//ahpF//recD//thrS//fucA//ygeA//araD//gatZ//bioA//ubiA//moaD//sdaA//glpA//paaF//nrfD//ilvG_1//wzb//dgcZ//fes//rhaB//ccp//
CreB-Phosphorylated	malP//cueO//
CsgD	ldtC//idnO//wecB//citD//gpmM//
CsiR	hycG//ulaE//hcaF//ubiC//
CspA	hycG//
CueR-Cu	bioD//nrdB//murQ//tyrB//alaA//
CusR-Pasp	adhE//adiA//chbG//nadB//
CynR	
CynR-cyanate	gcvT//betA//aroF//
CysB	nagA//purD//
CysB-O-acetyl-L-serine	cysK//garR//rbsK//feaB//trpD//mpaA//puuA//yqjH//tdh//fadB//purE//rtcB//rffT//pncB//xylA//
CytR	purL//allD//pagP//purM//moaE//rffT//ynfF//purB//ascB//rffM//
Dan-L-tartrate	mhpC//lhgO//
DcuR-Phosphorylated	nanK//purD//tdh//rpiB//
DeoR	purF//purB//phnG//ccp//ampC//mhpC//
DhaR	garD//
DicA	
DinJ-YafQ	frdC//
DnaA-ATP	glpB//mpl//hycC//rhaA//eno//phnM//
DpiA-Pasp	alsE//sucB//metE//cynT//glpD//
DsdC-D-serine	ubiC//fabZ//
EbgR	
EnvR	hycF//purF//
EnvY	nrfA//grxA//
EvgA-Phosphorylated	purM//gpmA//phnG//napA//dsdA//astD//
ExuR	glpX//phoA//tktB//paaZ//wecB//citG//
ExuR-alpha-D-galacturonate	
FabR	dinB//asnB//cadA//
FadR	pagP//gpmM//poxB//entE//dgcC//gatZ//ppsA//argE//dinB//nrfA//rpiB//fadE//entF//folA//ynfG//frdC//folA//phnP//argI//
FadR-acyl-CoA	
FeaR	moaE//glcE//
FhlA-formate	codA//pdeH//glpD//ubiX//ccp//dmsC//hycG//moaA//
FlhDC	napB//pfkA//murG//mpaA//lsrF//mpaA//nagB//ttdA//argD//pgaC//entH//nanM//acnA//alaC//
FliZ	gdhA//polB//ppc//glpK//glpD//
FucR-L-fuculose-1-P	pheT//rutB//icd//slt//purF//lldD//
Fur-Fe2	accD//mraY//paaI//astB//mngB//caiD//purC//rfe//phnN//rtcB//lysC//amn//pfkA//glxK//ahpC//cysK//ldtB//gcvH//ugpQ//speG//ynfF//bioC//rffG//aroA//ynfE//dhaL//garK//paaG//tyrA//aroH//hyaA//pgpC//tadA//cysG//gudD//idnO//mtlD//purB//hcaB//ccp//wecE//glk//garK//chbG//hycG//pheS//yeaG//entB//tyrB//argB//dgcZ//hemL//fabB//mhpC//pncB//ynfF//aroA//fadE//hcaB//entE//fau//wecB//
GadE	nfsB//hcaB//purA//tktB//rbsD//ada//murE//idnD//yeaE//mhpF//
GadE-RcsB	fes//rutB//caiB//uxaB//aspC//
GadW	dkgB//carB//uxaB//uvrA//
GadX	uxaC//garK//sdaA//pgm//ulaE//uxaB//rnpB//ampC//pnp//chbG//nrfA//napA//alaC//pyrD//
GalR	fumB//hycG//pdeH//malY//metH//frdC//
GalR-beta-D-galactose	fabD//frc//purD//codA//lsrK//
GalS	cysN//moeB//paaK//ogt//metF//alsE//
GalS-beta-D-galactose	entF//acnA//fruK//fbaA//ulaD//
GatR	srkA//glk//sodB//
GcvA	nfsA//chbG//glnA//
GlcC-glycolate	uvrC//acnA//chbF//
GlpR	eda//hycB//argA//recF//wzb//mhpA//eno//
GlrR-Pasp56	
GntR	metL//kbl//ddlB//hycE//gdhA//fadB//dkgA//glk//fbaA//
GutM	ulaE//deoD//nadB//
HU	lldD//argI//amn//sucA//mltF//fau//allB//
HcaR	
HcaR-HCA	ulaG//speB//
HdfR	
HigA	fabZ//
HigB-HigA	argB//
HipAB	entF//yedX//
HipB	leuC//uxaC//polA//
HprR-Phosphorylated	umpH//allB//moaA//gudD//
HyfR	nanE//
HypT-Met-oxidized	ilvG_1//murG//murC//murG//murD//entE//polB//
IclR-pyruvate	speA//pykF//glk//
IdnR-5-ketogluconate	aceE//gnd//moaA//gcvT//sdhD//
IlvY	
IlvY-S-2-acetolactate	gcvH//
IscR	aceE//fabB//hyi//codA//ilvM//dadA//
IscR-2Fe-2S	asnA//gutQ//
KdgR	katE//dkgB//
KdpE-Phosphorylated	glgP//
LacI	uxaC//moaD//rbsK//
LeuO	hycC//uxaA//rnpB//glgP//chbG//purD//
LexA	rsmH//pgk//rbsK//fadD//rhaD//pdeL//dadX//glpC//wecC//lysU//aroG//paaY//nagB//sucC//kbaZ//frdD//cysG//argD//udp//glgX//paaI//araD//treC//
LldR	fadI//ascB//
LldR-S-lactate	wecC//umuC//
LrhA	
Lrp	iscS//astB//entC//icd//argG//entH//lsrF//deoC//hycC//murD//fadI//dapD//alaA//rffM//fadH//moaE//napG//sucD//dinB//galM//nrdD//cysH//nrdD//bioC//mraY//eno//alaS//wecB//garR//pfkA//phnG//
Lrp-leucine	phnJ//fucU//mnmG//glxK//glnA//fucU//trpB//fadH//glmS//gatD//dmsA//sdaA//bioC//purH//nanK//sodA//gcvP//
LsrR	metH//ubiC//hycF//tdh//phnM//
LysR	metH//
MalI	moeB//waaY//
MalT-maltotriose-ATP	sucB//recF//uxuA//fau//glcF//mpaA//
MarA	metK//garL//purA//moeA//rbsD//pgi//hycF//ssuD//ascB//dsdA//rsmH//trpA//hmp//wecB//hcaF//citF//idnO//glcF//cysN//ulaG//polB//paaG//wecE//purA//
MarR	
MatA	ilvG_1//
MazE	relA//
MazE-MazF	rffT//
McbR	
MelR	nagA//ldtD//
MelR-melibiose	cysJ//mdh//
MetJ-adenosylmethionine	lldD//gpmA//idnK//tauD//purM//leuA//rutC//pgaD//srkA//recB//
MetR	fadA//napG//
MetR-L-homocysteine	cynT//tktB//
MhpR-3HPP	puuE//glpD//ilvM//sucA//trpC//yqjH//
Mlc	truB//aroH//cadA//ung//
MlrA	mazG//
MngR	rsmH//torC//
MntR-Mn2+	appA//dgcC//
ModE-MoO42-	ynfE//sdhC//sucA//hmp//ahpF//mpaA//ruvA//tdcB//ldtB//nanA//puuB//gor//dkgB//paaZ//srlD//gadB//pdeL//
MprA	glcE//wrbA//cdd//
MqsA	pagP//pflB//
