# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	phnO//gatZ//
Ada	paaZ//narG//citE//alaC//
AdiY	ldtB//lpd//cynS//ychF//
AgaR	srlD//
AidB	uvrA//
AlaS-L-alanine	pflB//
AllR-allantoin	purL//moaD//ssuD//sucC//rffT//umuC//
AllS-allantoin	yeaG//aroG//phnJ//
AlsR	purL//frdB//recB//
AppY	caiA//nirB//
AraC	trpA//allA//frdD//
AraC-arabinose	ndh//fau//idnO//malZ//hcaB//ilvA//deoC//glpB//
ArgP	nirB//glxK//gloA//astA//ddlB//frdC//yiaK//ynfF//
ArgP-arginine	aroF//
ArgR-L-arginine	fadI//pck//uxaB//paaI//dsdA//lpd//ahpF//glmU//dmsA//ubiX//gpmM//lsrG//hcp//nemA//srkA//dapB//ddlB//lsrK//slt//waaZ//gatY//uvrC//fabZ//
ArsR	atoA//ychF//
AscG	trpB//purE//
AsnC	ilvH//fabA//
AtoC-Phosphorylated	carB//metC//dacC//
BCCP	murC//
BaeR-Phosphorylated	yiaK//fadI//
BasR-Phosphorylated	wecB//argD//aceF//
BetI	argA//sbcD//glgX//
BirA-biotinyl-5-adenylate	patA//argH//gutQ//frdD//gor//
BluR	
BolA	ulaF//allC//
BtsR-Phosphorylated	glxK//
CadC	metH//wecC//pspE//
CaiF-L-carnitine	tadA//tyrA//nanK//mhpF//nanM//
Cbl	ugpQ//argB//bioA//puuE//ppsA//
CdaR	fadB//metA//nrdF//mhpD//ubiX//argI//nadB//tktB//nrfC//
CecR	mtlD//
ChbR	galE//pagP//tauD//
ChbR-N-monoacetylchitobiose-6-phosphate	pepD//tehB//acnA//
ComR	
CpxR-Phosphorylated	gatZ//mazG//fbaA//ddlB//nanK//frdB//alsE//trpE//deoB//ldtD//chbF//rffH//astC//arsC//glmS//hycC//cysD//accA//ogt//phnP//fadJ//
Cra	polB//uxaB//mhpE//lpxA//malY//ugpQ//idnK//ilvD//hycB//murC//ilvH//tyrA//cysK//mhpA//sbcC//ilvH//gapA//phr//rsmH//prs//gabD//serA//trpA//ung//rsmH//hyaA//pflB//phnG//tyrA//nrdE//nanA//rnpB//purA//atoB//hcaC//hmp//hcp//lsrF//fadE//uxuA//narH//avtA//hyi//bglB//rfe//glsA//pflB//pspE//prpB//gntK//entE//alaA//pck//ung//metL//nanA//hemL//yqjH//dadX//
CreB-Phosphorylated	sucA//uxuB//
CsgD	citD//entC//glcB//ldtB//gcl//
CsiR	fadJ//cynT//lacA//torC//
CspA	aroF//
CueR-Cu	argG//uidA//murC//leuD//polA//
CusR-Pasp	gcl//patD//galM//hyaB//
CynR	
CynR-cyanate	umuC//mnmG//caiB//
CysB	paaI//glcE//
CysB-O-acetyl-L-serine	ruvA//xylA//bioB//gapA//mhpA//citE//carB//tnaA//rhaA//grxA//dmsC//rbsD//nemA//rhaB//puuD//
CytR	truB//fadM//dapB//nrdB//carA//glmS//paaZ//sgbH//glsA//cysE//
Dan-L-tartrate	frdC//torA//
DcuR-Phosphorylated	puuB//ycjG//mdh//glpQ//
DeoR	glgP//glcF//ahpC//astA//gcvH//speA//
DhaR	citF//
DicA	
DinJ-YafQ	ruvA//
DnaA-ATP	rutB//uidA//puuE//napA//ampC//rutB//
DpiA-Pasp	gcvP//atoD//tpiA//gatD//fabA//
DsdC-D-serine	phnP//rutD//
EbgR	
EnvR	hycF//gabD//
EnvY	uidA//metE//
EvgA-Phosphorylated	galM//wecB//entC//metC//katG//fucI//
ExuR	murC//phnL//gutQ//metH//murQ//pdeR//
ExuR-alpha-D-galacturonate	
FabR	purB//hycF//ssuE//
FadR	ilvM//argC//dapD//ahpF//ftnA//garR//lacA//murC//rutC//gpmA//pgaB//aceE//fadD//phnM//alkA//sdhC//aceE//ybjG//katE//
FadR-acyl-CoA	
FeaR	guaA//rtcB//
FhlA-formate	fadJ//pgaD//idnK//rtcA//hycB//ilvI//atoD//gntK//
FlhDC	tdcD//ilvE//mhpB//cynT//argB//nrfC//fdhF//asnA//tpiA//fabA//uxaA//allA//sucD//metK//
FliZ	ddlB//hcp//kbl//mhpB//nanA//
FucR-L-fuculose-1-P	sdhC//ynfG//grxA//purE//napH//mhpF//
Fur-Fe2	entB//ynfE//garR//napG//argB//feaB//srkA//metB//frdB//fbaA//kbaY//alaA//hycC//entD//gnd//acnA//astE//leuA//araD//cyoE//hypF//aroH//trpD//pheS//nanM//relA//rtcB//alkB//moeB//hcaD//dapB//wecC//hmp//mtlD//ruvA//uvrA//cysD//fumC//acnB//sgbH//lsrK//hemL//argB//metL//mpaA//betB//napA//tynA//ynfH//malY//paaG//aroG//leuD//kbl//glnA//psd//uxaC//allD//argI//ppsA//mdh//phnG//
GadE	prpD//purL//psd//gudD//rsmH//bioC//moaA//napH//cysC//argA//
GadE-RcsB	alaA//ndh//glxR//gloA//ung//
GadW	phnP//acnB//serC//lpd//
GadX	trpB//ynfG//yqhD//glcB//trpB//udp//metH//fabZ//rutD//paaZ//rhaB//prpD//lsrF//trpC//
GalR	fadB//phnH//citG//napA//astA//uxaB//
GalR-beta-D-galactose	entB//glpB//arsC//fabZ//oxc//
GalS	ppsA//cdd//uxaA//mtlD//hyaC//wecE//
GalS-beta-D-galactose	hmp//glgX//argF//nemA//cysG//
GatR	ahpF//hcaE//sgbU//
GcvA	gcvT//gapA//rffC//
GlcC-glycolate	allE//dgcC//cysG//
GlpR	rutA//rffT//speA//rimK//hycG//ttdA//accD//
GlrR-Pasp56	
GntR	hycD//malY//rimK//lysC//paaE//uidA//cysK//phnO//glnA//
GutM	eda//atoB//dkgA//
HU	mpaA//cysK//ung//purM//sufS//purL//aroH//
HcaR	
HcaR-HCA	pgaD//folA//
HdfR	
HigA	lpxC//
HigB-HigA	glsA//
HipAB	ilvI//tdcD//
HipB	entE//ydcS//hyaA//
HprR-Phosphorylated	rutD//paaF//malQ//cysN//
HyfR	dsdA//
HypT-Met-oxidized	phnP//rtcA//pncB//entA//gdhA//paaI//glgP//
IclR-pyruvate	wecC//srkA//appA//
IdnR-5-ketogluconate	ugpQ//torA//dacC//fabH//srkA//
IlvY	
IlvY-S-2-acetolactate	uxuA//
IscR	entB//hcaD//galT//metF//katG//frdC//
IscR-2Fe-2S	pgaD//alaC//
KdgR	mpl//ulaE//
KdpE-Phosphorylated	lpd//
LacI	citC//glpX//argF//
LeuO	nrfA//glk//eda//paaJ//araD//bioB//
LexA	paaB//malY//purK//xylA//alaS//kbaZ//tynA//idnO//gatZ//purN//ubiC//entF//glgB//nfsB//purM//eno//purC//galT//nrfD//kbaY//puuE//phr//lysC//
LldR	nirB//hcaB//
LldR-S-lactate	xapA//rffH//
LrhA	
Lrp	udp//ilvE//glpB//gatD//hyaB//cysI//ftsI//galT//pyrC//gloA//uxuA//prpC//ftsI//sucD//ung//accD//relA//xapA//trpD//hypF//astC//recF//fbaA//phnJ//nadB//treC//gatD//citD//fucU//leuA//ruvA//
Lrp-leucine	srlD//hcaF//fadD//dhaK//trpD//narH//asnB//argE//hcaC//paaH//purM//acnA//bioC//sbcD//betB//moaD//entB//
LsrR	ldtB//leuA//cysM//nanM//tdcG//
LysR	carA//
MalI	cueO//metH//
MalT-maltotriose-ATP	pfkA//tdcE//alaS//hycG//leuD//argI//
MarA	gatZ//gnd//lhgO//ynfH//citG//nadA//ppc//glpQ//folA//araB//fabG//puuC//gpmA//cadA//frdA//garR//aceA//dgkA//speB//lyxK//rimK//chbF//aceF//allE//
MarR	
MatA	tehB//
MazE	fadB//
MazE-MazF	nanK//
McbR	
MelR	malP//murF//
MelR-melibiose	rtcB//fucA//
MetJ-adenosylmethionine	gcvP//rffT//pyrC//glpD//ttdB//dkgB//recB//tynA//nirD//idnO//
MetR	sucB//puuA//
MetR-L-homocysteine	rutD//purE//
MhpR-3HPP	glgC//uxaB//cysI//tdh//leuB//tauD//
Mlc	malZ//aroG//malQ//citC//
MlrA	bglB//
MngR	accC//accC//
MntR-Mn2+	purC//pgk//
ModE-MoO42-	narH//yeaG//pgk//uvrB//argH//ynfH//dmsC//mnmG//bioD//srlD//cueO//deoD//pnp//cysJ//citC//napA//citC//
MprA	uidA//pdeL//aldA//
MqsA	nanA//guaA//
MraZ	aceE//hyaA//caiB//aroH//yeaE//rtcB//truB//nirD//adiA//puuB//
MurR	alaA//ilvE//fabB//
Nac	mtlD//ftnA//hemH//patD//garL//ybjG//glgA//gudD//ilvD//argB//sucD//
NadR	rfe//glsA//ulaF//glgX//
NagC	galM//feaB//fabD//nrfA//acnA//ynfF//lpxC//cysI//sucB//cysG//rhaA//allB//guaA//ulaE//napG//rbsK//kbaZ//hcaB//idnD//
NanR	hmp//luxS//xylA//uvrA//glgA//cynT//
NarL-Phosphorylated	phnL//puuE//dacC//mazG//edd//folE//paaJ//uxaC//napB//allD//gor//nirB//wzc//frdA//ulaF//bioF//thrS//uxaA//glxK//gcvT//glcD//xylB//sucD//sodB//ttdB//puuA//glpD//pgk//fadD//fucU//cynS//aceF//ruvB//atoD//gloA//trpD//frdB//murC//aceF//sucB//hypB//
NarP-Phosphorylated	accC//truB//luxS//glgP//mhpD//paaA//entH//ychF//argI//astC//rutE//citF//nrfA//aldA//rffC//
NemR	uidA//bacA//
NhaR-Na+	uidA//umuD//ynfG//hyaA//rutB//
NikR-Ni2+	garK//
NimR	ogt//
NorR	aldA//
NrdR-Zn2+	rffT//purE//acnA//dgkA//
NsrR	fruK//entB//citD//fadA//cysC//metL//pheS//aroA//rffT//ahpF//dhaM//sdaA//sdhC//argI//dhaK//aspA//astC//pheS//accC//chbG//katG//cysC//srkA//xapA//yiaK//fumB//tadA//dadA//malP//yeaE//kbl//pnp//trpD//fadH//tdh//purC//araD//nrfC//pagP//sdhA//
NtrC-Phosphorylated	yeaE//ada//aroH//alkA//ldtC//frc//purM//allC//mngB//gatZ//ynfH//phnO//paaF//rimK//iscS//ahpF//citD//hycD//ilvM//ilvD//sucC//
OmpR-Phosphorylated	napH//gabD//ilvA//pgi//dapD//edd//ppiA//rffH//
OxyR	bioA//ugpQ//moeA//uxaC//purM//cynS//glnA//frdB//paaI//icd//ppc//guaA//idnO//deoB//nfsA//idnK//zwf//
PaaX	aroH//sgbU//sgbH//ilvG_1//leuB//fadD//glcD//ruvB//napG//
PdeL	phnN//
PdhR	nrdB//astD//ribA//ssuE//yeaE//tdcD//araD//fbaA//malQ//paaY//fucO//mhpB//putA//fadH//pagP//citG//cueO//mnmG//nagA//carB//chbF//uxuB//mngB//fucK//fbaB//
PepA	glpK//trpC//
PgrR	astC//gadB//
PhoB-Phosphorylated	rbsK//alkA//nagA//glk//dhaK//gcvT//fucA//metH//mngB//eda//glyA//lysC//nemA//betA//icd//fadD//pheT//pheT//zwf//cysE//
