# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	folA//gpmM//
Ada	dadA//malS//dkgB//glgP//
AdiY	moeB//pfkA//moaD//tdcG//
AgaR	speA//
AidB	dhaM//
AlaS-L-alanine	pyrC//
AllR-allantoin	glgA//citE//dmsB//glxR//argB//tehB//
AllS-allantoin	malQ//dadA//polA//
AlsR	wzb//truB//hmp//
AppY	paaY//astA//
AraC	napB//mazG//ilvI//
AraC-arabinose	fadA//cysC//hycE//xapA//bioA//alkB//pncB//sbcC//
ArgP	nrdD//purN//idnD//ulaG//hcaB//gabD//uxaC//tktB//
ArgP-arginine	paaY//
ArgR-L-arginine	puuD//idnO//caiC//fadH//uvrA//recD//argB//murG//tdh//rffG//nrdA//purL//sgbU//rutE//phnI//umuC//idnK//dkgA//waaZ//gabT//betA//paaA//nagA//
ArsR	edd//xylB//
AscG	ddlB//umuC//
AsnC	hcaF//wzb//
AtoC-Phosphorylated	phnM//nanA//yiaK//
BCCP	talA//
BaeR-Phosphorylated	tdcD//tdcG//
BasR-Phosphorylated	moeA//frdC//sucA//
BetI	hyi//wrbA//fabI//
BirA-biotinyl-5-adenylate	yqjH//moaC//cysG//nrdD//ppiA//
BluR	
BolA	lsrK//murQ//
BtsR-Phosphorylated	purH//
CadC	lsrF//sbcC//ulaE//
CaiF-L-carnitine	ttdB//gcvT//nrdA//rffH//uxaB//
Cbl	dkgB//serC//cysH//sucC//malP//
CdaR	ddlB//ccp//fadB//citC//paaI//dgcN//ldtC//gatY//gcvH//
CecR	dgkA//
ChbR	malS//gpmM//astE//
ChbR-N-monoacetylchitobiose-6-phosphate	wzb//mhpE//fabI//
ComR	
CpxR-Phosphorylated	glsA//gadB//glpK//fadA//ynfG//glcE//lysA//malZ//fabD//murI//glmU//paaE//srlD//citD//umuC//nagB//nrfC//hypB//fucU//tdcE//glpB//
