# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	uidA//yeaE//
Ada	argH//frdB//phnP//polB//
AdiY	trpB//pck//citF//pfkA//
AgaR	pgpC//
AidB	sbcC//
AlaS-L-alanine	purK//
AllR-allantoin	mraY//cysG//bioD//hemH//fabI//gudD//
AllS-allantoin	metL//fadD//fadD//
AlsR	ahpC//guaB//fadE//
AppY	melA//adiA//
AraC	rffH//sdhD//lpxD//
AraC-arabinose	bioB//ppc//phnO//aspA//wecC//pncB//hcaB//nrdA//
ArgP	hycE//frdC//ygeA//cadA//phnJ//sucD//avtA//tyrA//
ArgP-arginine	frdD//
ArgR-L-arginine	hcaE//bglB//paaF//malP//prs//puuC//kbaZ//sdhC//fucU//waaZ//garD//ahpF//gcvP//pgm//lpxC//glpA//dapD//gltB//glpA//puuC//galK//nanE//gatD//
ArsR	araD//hypF//
AscG	murG//hypF//
AsnC	aspC//entC//
AtoC-Phosphorylated	trpB//ldtC//recD//
BCCP	mngB//
BaeR-Phosphorylated	aspA//tdh//
BasR-Phosphorylated	aspC//gabD//metF//
BetI	pyrC//nirD//fdhF//
BirA-biotinyl-5-adenylate	wrbA//rtcA//glyA//guaA//dhaK//
BluR	
BolA	aroH//malY//
BtsR-Phosphorylated	glmU//
CadC	prpC//pepD//katE//
CaiF-L-carnitine	fadA//moaC//eno//betB//ogt//
Cbl	astC//glgP//dsdA//dsdA//acnA//
CdaR	betB//lsrG//pagP//hyaA//aroA//ahpC//lpxC//lhgO//mltF//
CecR	rutC//
ChbR	lysA//hcaB//pgk//
ChbR-N-monoacetylchitobiose-6-phosphate	glcB//amn//udp//
ComR	
CpxR-Phosphorylated	nanM//nanM//tnaA//fabB//pspE//purA//citE//trpE//sufS//ychF//paaC//luxS//torA//leuB//argG//ilvH//leuC//paaY//ilvA//uvrA//moaC//
Cra	argB//idnK//lsrG//leuB//araB//ahpC//ulaF//rpiB//phnL//lacA//rnpB//astA//nagB//puuB//luxS//hcaB//nrfC//argE//ubiC//tdcB//fadI//paaY//alsE//fbaB//nanK//glnA//frdB//entF//mhpA//paaI//nrdE//paaJ//narI//glcD//ftsI//uxaA//phnP//trpE//mhpA//ppsA//psd//pgpC//purE//glsA//rutC//ynfH//wrbA//narG//dgcZ//pdeL//dgcZ//xapA//feaB//leuA//lysA//pykF//pheS//acnB//nfsB//
CreB-Phosphorylated	betB//galT//
CsgD	murC//rsmH//wzb//accC//dkgA//
CsiR	gor//guaB//galK//frdA//
CspA	tdh//
CueR-Cu	mngB//idnD//psd//narH//phnO//
CusR-Pasp	ynfF//glgB//icd//sufS//
CynR	
CynR-cyanate	murI//fumC//fdhF//
CysB	nfsB//dhaM//
CysB-O-acetyl-L-serine	hyaB//phnN//ulaF//pgaD//uxuB//glmU//pyrC//uxuA//lpd//polB//gapA//ulaD//pgaD//moeA//metL//
CytR	lpxD//speB//malS//murG//pyrD//wzc//fucI//yedX//entC//tdcG//
Dan-L-tartrate	fau//hyaA//
DcuR-Phosphorylated	cysC//argA//lsrG//aceF//
DeoR	pnp//narH//phnJ//dadX//gutQ//phnG//
DhaR	argD//
DicA	
DinJ-YafQ	gloA//
DnaA-ATP	nfsA//polB//murG//rffG//rutE//rutE//
DpiA-Pasp	bacA//nagB//appA//uvrB//hemH//
DsdC-D-serine	uvrA//paaB//
EbgR	
EnvR	purK//purB//
EnvY	truB//mpl//
EvgA-Phosphorylated	cysE//argF//uxuB//uvrB//alaA//aroA//
ExuR	nanE//yfdE//purC//rffG//nrfD//puuD//
ExuR-alpha-D-galacturonate	
FabR	hyaC//mdh//fucO//
FadR	waaZ//glxR//lpxC//alaA//katE//ugpQ//rtcB//puuB//thrS//wzb//puuA//bioB//patD//aceB//dhaK//glgX//malZ//citE//napG//
FadR-acyl-CoA	
FeaR	ftsI//fadB//
FhlA-formate	pncB//bacA//citE//aceB//purD//hcaE//lpd//lacA//
FlhDC	adiA//gutQ//deoD//phnP//fadE//cysC//aceB//lysA//fadJ//rutD//araA//sucA//mltF//astA//
FliZ	ppc//rutA//rutB//wzb//pgi//
FucR-L-fuculose-1-P	pgaB//fadD//sdhC//caiB//xylA//dkgB//
Fur-Fe2	pgk//srkA//rffM//gloA//sodA//nanM//uxuB//ulaD//talA//uxaA//ilvE//lsrF//allA//moeA//allE//cysD//torA//dgkA//fabI//araD//bioA//nfsA//mpaA//trpD//sgbH//fbaB//ynfH//cysJ//gadA//trpC//carB//asnA//ubiC//pgaC//phnI//ilvG_1//deoD//ribA//pdeR//zwf//rtcA//phnL//bioB//sdaA//fucI//lsrG//bioF//ppc//recF//astA//purM//torC//folA//asnA//glgP//bioD//mhpC//lacA//waaZ//dhaM//pyrD//zwf//
GadE	pgm//tdh//purE//entC//nrdF//purA//tam//trpC//frdC//rffC//
