# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	cysE//rffC//
Ada	polA//nanM//purF//purE//
AdiY	glnA//adiA//tnaA//wecB//
AgaR	napG//
AidB	mpl//
AlaS-L-alanine	aroA//
AllR-allantoin	pdeL//hemH//umuD//ruvA//gutQ//wzb//
AllS-allantoin	glmU//rffH//tyrA//
AlsR	ilvM//glpB//mhpC//
AppY	hycD//ulaE//
AraC	purM//lysU//glgA//
AraC-arabinose	ulaG//ynfF//purD//srkA//allD//hycF//hcaC//hyaC//
ArgP	cysI//purM//metL//cysG//metA//wecC//purA//metE//
ArgP-arginine	fabG//
ArgR-L-arginine	moaD//appA//citX//fabB//rutB//katG//purN//argG//sgbH//hcaB//iscS//gntK//murQ//zwf//patD//polB//dhaM//pheS//ilvH//garL//ogt//garD//gltD//
ArsR	moaD//allD//
AscG	garK//ulaE//
AsnC	gutQ//phnO//
AtoC-Phosphorylated	paaJ//astE//narH//
BCCP	fabI//
BaeR-Phosphorylated	phnH//malS//
BasR-Phosphorylated	fadI//ldtC//yedX//
BetI	ahpF//hcaB//ribA//
BirA-biotinyl-5-adenylate	tktB//galE//ilvH//pgk//hemH//
BluR	
BolA	serA//purC//
BtsR-Phosphorylated	aceA//
CadC	tdcB//mtlD//accC//
CaiF-L-carnitine	alkB//entB//garR//sgbH//fadD//
Cbl	metK//sufS//gcl//asnB//paaK//
CdaR	dmsB//bioB//nrdE//nrdD//fucA//mngB//dgcZ//mdh//moaD//
CecR	aceE//
ChbR	ruvA//aceA//puuA//
ChbR-N-monoacetylchitobiose-6-phosphate	nagB//glnA//metK//
ComR	
CpxR-Phosphorylated	glpA//paaH//garL//phnL//uxaB//yedX//rnpB//accC//gabD//pagP//dadA//glsA//nrdF//ddlB//pdeH//ldtD//thrS//entA//ttdA//aceF//sdhC//
Cra	glyA//sodA//katE//murD//dhaK//sgbH//entE//hycF//hyaA//allC//napB//murG//frdB//caiD//pncB//rffT//ppsA//malQ//galE//pfkA//allE//asnA//mtlD//galT//nrdB//prpB//gapA//ascB//yedX//rhaA//hypF//dkgB//folE//icd//alaA//eda//codA//fdhF//rsmH//lyxK//ynfG//dadA//ldtC//tnaA//srkA//sgbE//dgcZ//fabD//phnO//entD//oxc//purF//gcvP//fumB//dadA//purE//trpB//narI//serC//
CreB-Phosphorylated	prpD//polA//
CsgD	lhgO//yfdE//phnL//sodA//paaZ//
CsiR	pgaC//mhpB//yqjH//citC//
CspA	purN//
CueR-Cu	glnA//metK//tyrA//sucB//uxuA//
CusR-Pasp	pgi//mhpC//uvrC//lpxA//
CynR	
CynR-cyanate	atoB//metL//pnp//
CysB	hypF//galK//
CysB-O-acetyl-L-serine	fes//argE//mdh//pdeH//puuB//uidA//fadE//umuD//dhaK//mhpD//garL//aspC//astC//atoB//umuD//
CytR	nanE//entB//deoB//fucA//recB//murD//ung//ulaF//sbcC//caiD//
Dan-L-tartrate	metF//rtcA//
DcuR-Phosphorylated	xylA//cysC//napG//tdh//
DeoR	aroH//murG//ung//prpC//rutB//yfdE//
DhaR	appA//
DicA	
DinJ-YafQ	grxA//
DnaA-ATP	sucA//astE//moeB//cysK//fucU//puuA//
DpiA-Pasp	hypF//hycG//wzc//guaA//gpmM//
DsdC-D-serine	fabD//malQ//
EbgR	
EnvR	dsdA//murI//
EnvY	rutA//nadB//
EvgA-Phosphorylated	ttdB//glpK//metA//tdcD//mraY//dsdA//
ExuR	lacA//murE//glpA//astD//glpQ//malY//
ExuR-alpha-D-galacturonate	
FabR	araB//nrfA//trpC//
FadR	rutE//serA//lysA//treC//torA//adiA//fabG//fabD//allE//mnmG//aroA//ilvD//bioB//rffC//rutC//dgkA//purH//asnB//fucO//
FadR-acyl-CoA	
FeaR	sgbE//purE//
FhlA-formate	uvrA//dgkA//ubiA//alaS//fadI//rutE//mpaA//torC//
FlhDC	glgC//glgC//murE//ung//speB//prpD//garD//cynS//lpxA//cyoE//yfdE//dmsB//torA//ynfE//
FliZ	caiB//napA//gcl//ilvE//bacA//
FucR-L-fuculose-1-P	gapA//fumB//hemL//pck//adhE//mdh//
Fur-Fe2	hcaE//rffG//metA//glpX//malQ//garK//sufS//paaY//codA//citC//gcvP//malY//purF//entA//ychF//mltF//ahpC//hyaC//trpD//pfkA//idnK//fbaA//alaA//aceB//feaB//dinB//ybjG//ynfE//sucA//dadX//fadA//lacZ//hcaF//pykF//caiB//paaC//cysH//nanA//fabB//pgm//pyrC//frdB//fabD//allC//hcp//gor//purC//xapA//leuC//pheT//hcaC//sodA//patA//malP//mpl//ynfG//alaC//lpxA//sdhA//phnO//metA//galE//
GadE	guaB//gdhA//ldtD//murC//metF//ilvE//allD//glyA//avtA//paaJ//
GadE-RcsB	rhaA//rutD//pheT//edd//pykF//
GadW	glgP//allD//frdD//sucA//
GadX	paaF//cyoE//gpmM//pgpC//yqhD//ruvB//rbsD//sdhC//dmsA//metE//astB//sufS//nrdB//rpiB//
GalR	tdcB//lysC//pnp//mpl//entE//fbaB//
GalR-beta-D-galactose	caiB//uvrC//talA//xylB//iscS//
GalS	rffG//citX//oxc//malP//uxaC//garD//
GalS-beta-D-galactose	fucO//phnP//malQ//aroF//mnmG//
GatR	rutD//fabI//metF//
GcvA	xylA//argD//paaC//
GlcC-glycolate	glpD//carA//nrdB//
GlpR	gadA//ampC//arsC//rimK//ascB//acnA//phnG//
GlrR-Pasp56	
GntR	speG//murD//lsrK//cysK//purF//murC//frdA//frdC//deoB//
GutM	metF//phnG//trpC//
HU	paaB//fadH//uxaB//alaS//ssuD//uvrA//puuA//
HcaR	
HcaR-HCA	oxc//citX//
HdfR	
HigA	pgaD//
HigB-HigA	betB//
HipAB	fadD//treC//
HipB	gapA//gor//umuD//
HprR-Phosphorylated	codA//gntK//pheT//gcvH//
HyfR	fumB//
HypT-Met-oxidized	astD//aspA//deoA//rbsK//leuD//cysM//hycD//
IclR-pyruvate	uvrB//rffH//ynfE//
IdnR-5-ketogluconate	rutB//pspE//trpC//umuC//ldtC//
IlvY	
IlvY-S-2-acetolactate	yeaE//
IscR	nanE//araB//mdh//fabD//ynfG//sucB//
IscR-2Fe-2S	luxS//gnd//
KdgR	yiaK//hcaC//
KdpE-Phosphorylated	rhaB//
LacI	dadA//lysU//hmp//
LeuO	murQ//dacC//gpmA//polA//fau//wecB//
LexA	ribA//argA//hcp//pgaD//ssuE//gatD//waaH//dkgA//dhaL//citC//puuB//luxS//nanE//fbaB//glpD//garK//fadE//phnP//sgbE//dhaM//srlD//narI//kbl//
LldR	metK//hycF//
LldR-S-lactate	fadJ//pyrD//
LrhA	
Lrp	lpxD//nanK//allC//uidA//ruvA//dgcC//bioF//paaF//waaY//glgB//hycG//moaE//paaK//thrS//atoB//ychF//lacA//tnaA//kbl//tadA//accD//pgaC//melA//malZ//fabZ//hcaD//allD//dhaL//sodA//pgaB//hycC//
Lrp-leucine	fabZ//codA//aroL//sgbH//murG//lpxD//cysH//yfdE//ahpC//tyrA//avtA//metL//ruvB//paaK//idnO//sdhC//lsrF//
LsrR	ilvH//ttdB//fbaB//ulaF//nrdB//
LysR	cysE//
MalI	phnI//sdhB//
MalT-maltotriose-ATP	metF//glcF//feaB//gutQ//sucB//fadJ//
MarA	metB//rutB//dhaK//metK//ttdB//idnO//dhaM//gabT//srlD//puuA//puuA//uvrC//lsrG//ampC//argH//fadJ//alaS//accD//leuD//cynT//wzc//moaD//pgaD//atoA//
MarR	
MatA	atoB//
MazE	entH//
MazE-MazF	glxK//
McbR	
MelR	glpB//pdeR//
MelR-melibiose	frc//galT//
MetJ-adenosylmethionine	ilvA//carB//purL//aspA//gcvP//metK//murI//serC//trpD//fabG//
MetR	mngB//pgaD//
MetR-L-homocysteine	allB//moeB//
MhpR-3HPP	eno//phnP//entH//sucA//pheS//aceF//
Mlc	poxB//fbaB//pspE//glyA//
MlrA	nfsA//
MngR	betB//glxR//
MntR-Mn2+	thrS//gcvP//
ModE-MoO42-	cyoE//lyxK//glgB//lpxA//atoA//citE//allD//rtcA//phnG//allE//rfe//lpd//umpH//citC//fadD//kbaY//hcp//
MprA	entC//hycD//glpB//
MqsA	ubiX//ahpC//
MraZ	rnpB//argA//asnB//grxA//feaB//sodA//hcp//tyrA//yqhD//pnp//
MurR	tdh//srlD//ilvC//
Nac	yeaG//pyrC//phnP//allB//entH//appA//pepD//hycE//rffT//lysU//astE//
NadR	fes//fau//kbl//sgbH//
NagC	yfdE//araD//sucB//gntK//allA//trpD//lacA//gabT//pgi//allE//ppsA//arsC//narI//puuB//dadA//ygeA//srlD//sdhC//wzb//
NanR	nrfD//umuC//mngB//glpA//hypF//alkB//
NarL-Phosphorylated	mnmG//metL//glpX//ubiC//tyrA//yeaG//pgpC//cysG//epd//argE//fbaA//mtlD//fabG//ynfH//lpd//torC//hypB//phnJ//glpC//ldtC//rutB//lldD//citC//entA//bglB//nrdB//lldD//frdA//fabZ//ribA//metE//bioC//hyaA//aceA//waaH//lacZ//ynfH//talA//rhaD//aldA//alkB//
NarP-Phosphorylated	phnG//nagB//metB//putA//idnD//dmsB//dgcN//tauD//phnP//sucD//citG//purC//frc//accC//ilvA//
NemR	tdcB//gatY//
NhaR-Na+	yeaE//moaC//moaE//uxaC//ulaE//
NikR-Ni2+	trpE//
NimR	murC//
NorR	mraY//
NrdR-Zn2+	dgcC//phnH//umpH//phnI//
NsrR	mltF//pgpC//deoC//tdcD//gcl//ilvH//argC//nagB//appA//psd//ldtC//deoD//bglB//metF//argD//lldD//wzc//cysN//idnK//tdh//rtcB//sdhC//gcvT//gutQ//fadI//tdcD//yfdE//hcaE//accD//paaB//lpxA//rnpB//dhaK//frc//mngB//gudD//glcB//sucA//bioD//gloA//
NtrC-Phosphorylated	gadA//dadA//wecE//glgA//nanM//phnG//ldtB//ldtB//fucU//waaY//gltB//ruvB//deoD//fes//folA//purN//thrS//idnD//tnaA//metH//leuC//
OmpR-Phosphorylated	fabI//ldtC//lldD//aceE//malP//mhpD//rnpB//narH//
OxyR	ybjG//leuB//recD//rtcA//ilvI//sdhC//tdcD//folE//phnO//gutQ//glxK//aldA//glgB//rffT//glmS//ygeA//tauD//
PaaX	sucD//glsA//ycjG//caiC//uxaB//nirD//guaB//glpA//phnH//
PdeL	tam//
PdhR	atoD//recD//sucC//lysA//phnI//cyoE//sdhB//fadE//metC//citC//fucA//dadX//paaA//wrbA//codA//ttdA//rnpB//fucO//ilvG_1//nanA//torA//uxaA//uxaA//fumC//uxaC//
PepA	aspA//dapD//
PgrR	gutQ//pnp//
PhoB-Phosphorylated	prpD//hyaA//ydcS//sdhB//zwf//cysE//rhaA//moeA//allB//thrS//pgm//leuD//rpiB//wzc//ahpC//rpiB//glk//tadA//katG//pyrC//
PhoP-Phosphorylated	yedX//fbaA//pdeR//dmsC//uidA//nfsA//cdd//folE//glpC//pgk//glxK//ldtB//pgm//fumB//phnN//eda//ubiC//fumB//malS//dapB//bioA//mltF//ilvC//galE//gor//melA//melA//malZ//bglB//hypB//amn//fabZ//
PrpR-2S3S-2-methylcitrate	rhaA//frc//ubiC//phnM//
PspF	hycG//
PurR-hypoxanthine	yedX//araA//ilvA//pdeH//dacC//murE//gcvT//fadD//trpB//fabB//napG//deoB//fabG//glcB//dgcC//ftsI//glcF//pck//cynT//rutB//sgbE//ahpF//paaG//hemH//glxK//metK//
PutA	nagB//tdh//
PuuR	sdaA//tehB//mnmG//araA//nrdE//adhE//
QseB-Phosphorylated	
RbsR	nanE//moaC//hyaC//allC//fucU//
RcdA	nrdB//
RclR	
RcnR	dmsB//
RcsAB	puuD//lacA//aldA//
RcsB-BglJ	entC//dgcC//
RcsB-Pasp56	glgA//ulaE//entH//tehB//
RelB	nrfA//
RelB-RelE	nanM//
RhaR-alpha-L-rhamnopyranose	
RhaS	rutB//
RhaS-alpha-L-rhamnopyranose	guaA//metH//galK//fucO//
Rob	trpD//caiB//lsrF//glcE//frdD//ftsI//tdcB//glmU//rutC//aroL//purH//glpD//luxS//argC//narG//glcF//malP//betB//nrfA//
RstA-Phosphorylated	paaA//nirB//glpK//
RtcR	patD//pspE//
RutR	cysJ//metK//fabH//paaK//rnpB//uxaA//frdB//tdcD//paaA//recF//rtcA//
SdiA	
SgrR	ydcS//ahpF//prpC//
SlyA	pdeH//sdaA//phnH//murC//pheS//betB//ulaG//lpxA//fucA//
SoxR	prpC//dgcC//hcaE//glmU//sucD//lsrF//
SoxS	psd//gabT//kbaY//napB//adhE//caiA//pgm//lsrG//rutA//fucO//uxaB//glpC//rnpB//glcD//hmp//nrfD//ilvE//ilvM//pykF//yiaK//phnN//ddlB//aspA//aroG//sucC//bioA//uvrB//recB//
SrlR	ppiA//paaI//moaE//
StpA	sdaA//pdeL//moaA//
SutR	galE//fadD//
TdcA	argF//glgA//fumB//lhgO//zwf//
TdcR	rffH//nrdF//astA//asnA//ilvD//
TorR-Phosphorylated	epd//speB//lpxD//waaY//
TorR-TorI	adiA//
TreR	trpA//allA//
TrpR-tryptophan	prpB//glcE//putA//pdeH//ppsA//murG//cysD//dacC//sdhA//
TyrR	uvrC//
TyrR-phenylalanine	pgi//garD//
TyrR-tyrosine	gudD//cynT//kbl//astC//rffM//hcp//lysU//glcD//
UhpA-Phosphorylated	malS//
UidR	ogt//rutC//
UlaR	rbsD//rutA//paaI//dmsB//atoA//
UvrY-Phosphorylated	cdd//sucC//
UxuR	cysI//ftnA//aspC//glcE//rbsK//
XapR-xanthosine	phnI//nagA//
XylR-xylose	phoA//gloA//rutE//
YdeO	leuC//napG//accD//
YefM	accA//
YefM-YoeB	rutA//
YeiL	
YhaJ	
YiaJ	phnP//glpK//glmU//malY//nrfC//tyrB//
YjjQ	gcvP//hycC//
YpdB-Phosphorylated	
YqhC	lysU//astB//
YqjI	cysE//
ZntR-Zn2	uxuB//
ZntR-Zn2+	lpxC//
ZraR-Phosphorylated	
Zur-Zn2	pheT//
Zur-Zn2+	paaY//
