# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	ddlB//aroA//
Ada	glk//nfsB//lpxA//rhaB//
AdiY	oxc//nirD//sgbE//carB//
AgaR	purL//
AidB	yiaK//
AlaS-L-alanine	nanE//
AllR-allantoin	pheT//trpC//cdd//ugpQ//lysU//rfe//
AllS-allantoin	fabH//allB//paaF//
AlsR	glpK//nrdE//ilvG_1//
AppY	hycE//nfsB//
AraC	phoA//mraY//nrfA//
AraC-arabinose	glgP//sucC//icd//folA//rutA//fadH//pykF//dkgB//
ArgP	bacA//astB//dmsC//pdeR//ung//ychF//nadA//umuC//
ArgP-arginine	yeaG//
ArgR-L-arginine	paaC//cysI//ilvE//hcaB//lyxK//alaC//dmsB//araA//nrfA//sdhB//rtcA//cysJ//tdcE//hyaC//paaY//melA//citD//gabD//tadA//lysU//nrdE//moaC//truB//
ArsR	aroL//fadE//
AscG	metK//gabD//
AsnC	gcvP//fabZ//
AtoC-Phosphorylated	pflB//cysK//fucK//
BCCP	prpE//
BaeR-Phosphorylated	lysC//trpA//
BasR-Phosphorylated	rnpB//ynfG//umuD//
BetI	ubiA//ogt//hycC//
BirA-biotinyl-5-adenylate	entB//speG//malP//argF//gltB//
BluR	
BolA	recD//hyaC//
BtsR-Phosphorylated	puuB//
CadC	umpH//dacC//umuD//
CaiF-L-carnitine	hycB//ada//sufS//argE//betA//
Cbl	bioF//pepD//fabD//pykF//waaY//
CdaR	hypF//garK//gabT//citC//glcD//alaA//murF//udp//ubiX//
CecR	torA//
ChbR	ulaG//hcaD//yqjH//
ChbR-N-monoacetylchitobiose-6-phosphate	mtlD//uvrB//argD//
ComR	
CpxR-Phosphorylated	lysU//mtlD//aroA//ldtD//ppsA//malY//aroA//rtcB//yqjH//ilvE//purB//kbl//sbcD//sucB//tehB//malY//phnJ//pdeH//garD//hcaD//glpC//
Cra	dapB//pheT//malQ//sdhA//paaI//waaH//entB//dapB//pheT//epd//pepD//tdcE//glsA//sgbH//nfsA//paaA//argE//dkgA//dhaL//astB//malZ//tam//betA//wzb//ahpF//dgkA//gatD//nanE//srlD//lpxC//amn//carB//fadD//malZ//thrS//yiaK//lysC//accA//frc//fruK//purA//pgaD//glcB//hemL//wecE//fadH//idnO//recB//argE//pdeL//pyrC//folA//aceE//iscS//aceE//nrfD//fdhF//metK//paaA//
CreB-Phosphorylated	pgaB//patA//
CsgD	fucI//murF//fadJ//mpl//argE//
CsiR	adhE//hycC//paaG//ilvM//
CspA	leuB//
CueR-Cu	tdcE//purM//accC//hyaB//hycG//
CusR-Pasp	aspA//ttdB//alsE//sgbE//
CynR	
CynR-cyanate	bioA//feaB//patA//
CysB	mhpC//citF//
CysB-O-acetyl-L-serine	sdhD//appA//rutB//purL//ldtC//cysD//gadA//cueO//dinB//murE//citE//glgA//dhaK//fes//cysM//
CytR	citG//dhaL//aroA//fes//citG//gloA//dgcC//uidA//argD//cysH//
Dan-L-tartrate	deoA//prpD//
DcuR-Phosphorylated	hyaA//glpA//avtA//gntK//
DeoR	puuA//ruvB//hemL//eno//argA//lpxA//
DhaR	mhpE//
DicA	
DinJ-YafQ	sdhC//
