# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	guaB//malP//
Ada	hcaC//nrfD//leuC//yeaE//
AdiY	pyrC//hycE//nfsA//guaB//
AgaR	hcaE//
AidB	deoC//
AlaS-L-alanine	alaC//
AllR-allantoin	ilvD//ilvG_1//ascB//pgaC//murC//adhE//
AllS-allantoin	pck//hcaC//fadM//
AlsR	glpQ//fau//murC//
AppY	ulaF//slt//
AraC	rffT//paaZ//udp//
AraC-arabinose	ssuE//ada//nagB//ftnA//tyrA//argG//wecC//yiaK//
ArgP	paaJ//glgX//nrdB//srlD//fucK//ruvA//gdhA//dapB//
ArgP-arginine	sucD//
ArgR-L-arginine	nirD//rhaB//sdhA//sucA//phnM//aspC//phnM//caiD//wrbA//murQ//mpl//moeB//hcaF//hcp//cysJ//hemL//deoA//gpmM//uvrB//aroA//chbG//adhE//rtcB//
ArsR	allA//nrfD//
AscG	sufS//puuA//
AsnC	pgm//leuB//
AtoC-Phosphorylated	phnG//asnB//accC//
BCCP	fumC//
BaeR-Phosphorylated	tauD//narI//
BasR-Phosphorylated	slt//phnL//paaH//
BetI	napB//murQ//dsdA//
BirA-biotinyl-5-adenylate	allA//purD//glcB//bioF//argH//
BluR	
BolA	phnM//ilvC//
BtsR-Phosphorylated	fdhF//
CadC	fabA//entB//argI//
CaiF-L-carnitine	sodA//pykF//fruK//mpaA//aroL//
Cbl	recB//epd//nfsB//phnO//wecB//
CdaR	yeaE//ubiC//gcvH//phoA//pagP//gabD//hycF//pheS//phnI//
CecR	ssuE//
ChbR	prpB//carA//moaD//
ChbR-N-monoacetylchitobiose-6-phosphate	ldtD//argG//glpA//
ComR	
CpxR-Phosphorylated	tdcD//metH//talA//aroH//argH//nfsA//glgB//accA//ilvE//cysJ//hyi//cadA//ndh//deoD//glpB//metB//pnp//aroH//mhpA//amn//tynA//
Cra	aceE//ynfE//purE//garL//fabD//aspA//nanM//rhaD//murI//glpX//yiaK//nfsB//grxA//cysK//paaE//glcB//rbsD//gpmA//leuA//rhaB//bioA//puuC//fumC//dgcN//nrfA//sucA//moaE//patD//tehB//ttdA//ulaD//allA//rhaB//folA//lsrG//aceB//recB//alaC//gor//rimK//araB//hcaD//araA//dinB//gcvT//ynfG//sdhB//cdd//allD//eda//citD//yqhD//gpmA//puuB//ubiA//gudD//yfdE//dgcN//alaA//
CreB-Phosphorylated	lysU//uvrC//
CsgD	phnI//accD//gabT//rimK//paaH//
CsiR	paaY//metH//trpA//aroH//
CspA	araD//
CueR-Cu	epd//purN//leuA//entB//idnO//
CusR-Pasp	speG//dhaL//sdhA//puuE//
CynR	
CynR-cyanate	moaE//sdaA//aspA//
CysB	pgm//alkA//
CysB-O-acetyl-L-serine	idnK//bioB//rbsD//icd//gabD//araD//gutQ//fruK//eno//pdeR//lacA//glpA//gatZ//rutC//rffG//
CytR	gadB//fabZ//tktB//bioF//ftsI//trpE//caiB//uvrA//lhgO//dkgB//
Dan-L-tartrate	gcvH//purH//
DcuR-Phosphorylated	phnN//mraY//aroA//wecB//
