# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	argC//gntK//
Ada	glpA//ogt//hycC//phoA//
AdiY	rbsD//zwf//astE//fadA//
AgaR	lysC//
AidB	gapA//
AlaS-L-alanine	mhpB//
AllR-allantoin	leuD//mnmG//sdhC//nrdD//gcvP//pgaB//
AllS-allantoin	ygeA//paaJ//uxuA//
AlsR	nfsB//argG//nrdB//
AppY	folE//hycF//
AraC	wzc//mtlD//treC//
AraC-arabinose	moaC//fabB//ogt//fdhF//xylA//puuD//adiA//folA//
ArgP	hyaB//moeA//grxA//nrdA//ilvH//garD//asnA//rffH//
ArgP-arginine	rpiB//
ArgR-L-arginine	mhpB//pagP//pflB//glcD//murD//speG//epd//gatZ//gltB//napB//malS//mtlD//ndh//astA//hycB//gadB//pykF//phnN//entC//waaZ//gcvH//mhpD//entA//
ArsR	paaF//ldtD//
AscG	codA//hcaC//
AsnC	murG//galT//
AtoC-Phosphorylated	garR//fes//xylB//
BCCP	amn//
BaeR-Phosphorylated	alaS//gor//
BasR-Phosphorylated	tdh//tdcD//nadB//
BetI	amn//frc//cynS//
BirA-biotinyl-5-adenylate	pykF//slt//lyxK//wzb//glpB//
BluR	
BolA	luxS//trpC//
BtsR-Phosphorylated	gcvP//
CadC	gcl//idnK//sufS//
CaiF-L-carnitine	murQ//citF//nanK//argC//lpd//
Cbl	ppc//wzb//cysJ//ynfH//fabI//
CdaR	sgbE//hemL//uvrA//cysK//hycF//pagP//ynfF//citF//rhaD//
CecR	carA//
ChbR	chbG//dacC//polB//
ChbR-N-monoacetylchitobiose-6-phosphate	sdaA//nagA//sodA//
ComR	
CpxR-Phosphorylated	betB//gpmM//dapD//nrdF//rtcB//gutQ//gadA//ruvA//ubiX//citC//betB//sdhB//fruK//lacZ//puuC//accC//hycE//pgk//fadB//nirD//paaA//
Cra	ilvM//narH//psd//glpX//carB//ruvB//entD//ttdB//rffH//trpA//cysG//tyrA//paaY//paaJ//gatZ//caiD//lysC//fadJ//hmp//caiD//acnA//aspC//gapA//accD//lysU//dapB//betB//pfkA//mtlD//umuD//udp//aldA//sucD//cysE//gabT//dkgA//metF//cysI//umuC//ulaF//glpB//phnI//avtA//phr//hycB//glpC//xylB//glcB//argI//uxaB//mhpA//gcl//aldA//ulaE//tdcD//purD//ydcS//speB//pgpC//
CreB-Phosphorylated	aroG//waaH//
CsgD	bacA//ynfE//epd//ruvA//aroL//
CsiR	sodA//aceB//trpC//adiA//
CspA	pgi//
CueR-Cu	purK//nanK//rtcB//sodB//sgbE//
CusR-Pasp	astC//napG//frdB//paaE//
CynR	
CynR-cyanate	accA//wzc//hmp//
CysB	rnpB//pheS//
CysB-O-acetyl-L-serine	rtcB//zwf//dkgB//nanM//purK//tdcG//nemA//deoD//metC//dacC//edd//moaD//hycE//citD//sucC//
CytR	alaS//ttdA//trpB//chbG//asnB//argC//chbG//ynfH//mhpE//eno//
Dan-L-tartrate	rffH//ydcS//
DcuR-Phosphorylated	tdcE//fucA//hypF//nagB//
DeoR	nrfD//rimK//phnH//hycG//kbaZ//katE//
DhaR	wecB//
DicA	
DinJ-YafQ	frdC//
DnaA-ATP	napH//hycD//sucD//leuD//rtcA//rffM//
DpiA-Pasp	phr//pgaC//paaK//rsmH//citF//
DsdC-D-serine	pgpC//hyaB//
EbgR	
EnvR	rffM//glgC//
EnvY	fabH//lysU//
EvgA-Phosphorylated	tdh//talA//fabZ//rhaA//murD//aceE//
ExuR	sdhB//gatZ//icd//recD//gapA//ynfF//
ExuR-alpha-D-galacturonate	
FabR	leuB//umuD//ftnA//
FadR	glgP//ftnA//xylB//dmsB//hyaA//phnM//ilvH//iscS//purL//cysE//mhpA//moaD//leuA//nanM//cysE//glcD//relA//recD//dadX//
FadR-acyl-CoA	
FeaR	paaY//rsmH//
FhlA-formate	phnI//tnaA//araA//mdh//purN//pepD//rffM//hycD//
FlhDC	phnJ//metF//amn//metL//caiC//eno//mhpE//fadE//accA//paaA//argC//fadE//gltD//hmp//
FliZ	napA//glk//aroL//sgbE//yiaK//
FucR-L-fuculose-1-P	fadH//ppiA//lpxD//ubiC//icd//ubiX//
Fur-Fe2	nrfD//aroG//metF//garL//phnG//sgbH//metB//glpK//icd//malQ//srlD//purM//deoC//dhaL//ttdB//rbsD//citG//sgbE//dacC//betB//phnL//nanA//puuA//glpB//galT//ttdA//argB//araB//hemH//fau//hycD//pykF//talA//hyi//glcF//mdh//adiA//yqjH//ulaE//gloA//guaA//adiA//moaD//wecE//aspC//allC//rffC//waaH//fbaB//sucD//alsE//wecC//fucA//iscS//entC//hyaB//paaZ//guaA//glpA//metL//trpA//alaC//
GadE	ada//aroL//narI//cysE//frdB//ldtB//atoD//ulaE//amn//garK//
GadE-RcsB	rutE//ubiA//aroG//glcB//ulaF//
GadW	ubiA//carB//sdhB//ada//
GadX	napG//rhaD//moaE//patA//rtcB//deoB//napA//tehB//paaY//nrfA//fabG//cysG//torC//narI//
GalR	sdhD//gnd//fabA//allD//garD//fucO//
GalR-beta-D-galactose	asnB//rtcA//sbcC//speB//fabZ//
GalS	ahpF//paaY//tauD//ilvD//pnp//pgk//
GalS-beta-D-galactose	pagP//dgcC//hycG//aceA//ssuE//
GatR	rffT//caiD//rnpB//
GcvA	phnH//argD//ynfE//
GlcC-glycolate	gcvH//gadB//aroF//
GlpR	rtcB//sdhB//sucD//ydcS//ttdA//folE//fadH//
GlrR-Pasp56	
GntR	mdh//ulaE//sucC//hycC//rimK//dapB//fruK//hypB//frdC//
GutM	sdhD//glpX//glcE//
HU	murD//hmp//fadB//fabB//leuD//moaC//dkgB//
HcaR	
HcaR-HCA	metE//gltD//
HdfR	
HigA	paaB//
HigB-HigA	uidA//
HipAB	uvrA//glcB//
HipB	idnD//putA//ppiA//
HprR-Phosphorylated	nirD//lhgO//ldtB//citE//
HyfR	mhpC//
HypT-Met-oxidized	tauD//ulaF//kbl//icd//leuB//sgbE//umpH//
IclR-pyruvate	nfsA//sdhC//eda//
IdnR-5-ketogluconate	hcaE//paaK//udp//rutA//fadE//
IlvY	
IlvY-S-2-acetolactate	purL//
IscR	ilvM//ydcS//ppsA//pck//murD//oxc//
IscR-2Fe-2S	gatZ//gcvH//
KdgR	oxc//hycD//
KdpE-Phosphorylated	hemL//
LacI	pfkA//ulaF//uxuB//
LeuO	dsdA//bioD//metL//asnA//gor//pyrC//
LexA	sucC//sodA//cueO//murG//ndh//sbcD//paaZ//idnK//lacZ//iscS//yfdE//sdhB//puuC//alkB//pncB//aroF//glpQ//ubiA//ynfF//deoB//lpxC//wecC//allA//
LldR	rutA//malY//
LldR-S-lactate	ilvA//frc//
LrhA	
Lrp	paaE//kbaY//murI//moaE//ilvE//lacZ//rffC//purK//hypF//nadB//alkB//nfsB//umuD//xylA//sgbE//prpE//psd//glgB//paaZ//srlD//grxA//chbG//pgaC//leuD//argI//galT//citE//fabH//allA//cueO//glxK//
Lrp-leucine	glcE//nemA//paaB//glpX//ulaE//paaA//glnA//yfdE//puuC//yeaG//pgaB//fabZ//ftnA//rpiB//fadD//mltF//sucC//
LsrR	paaI//codA//mraY//citX//nanK//
