# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	aspA//amn//
Ada	argH//garL//moeA//argI//
AdiY	rhaB//trpB//galE//gudD//
AgaR	ftsI//
AidB	ahpF//
AlaS-L-alanine	nadA//
AllR-allantoin	alaA//sdhB//recD//rffM//fucA//nagA//
AllS-allantoin	yfdE//entA//cyoE//
AlsR	sucD//gltD//frdB//
AppY	iscS//cynS//
AraC	dhaL//yeaG//rffG//
AraC-arabinose	speB//pyrC//waaH//ilvA//paaE//katE//glgX//pdeH//
ArgP	recB//prs//ubiX//hycB//rutE//folA//appA//argH//
ArgP-arginine	narH//
ArgR-L-arginine	dgkA//gntK//caiA//aceE//argB//fabD//purH//rutE//gnd//wrbA//glgA//yqhD//metF//phnH//uvrC//lyxK//tktB//araA//bioC//tauD//carA//dapB//lpxC//
ArsR	glmU//fumB//
AscG	bioA//uvrB//
AsnC	hyaC//ascB//
AtoC-Phosphorylated	leuB//gpmA//cysE//
BCCP	metK//
BaeR-Phosphorylated	glgC//pdeL//
BasR-Phosphorylated	mazG//sodA//ftnA//
BetI	dkgA//pdeL//purA//
BirA-biotinyl-5-adenylate	argG//fadE//fdhF//murQ//ygeA//
BluR	
BolA	caiC//chbF//
BtsR-Phosphorylated	speG//
CadC	allB//uvrC//ahpC//
CaiF-L-carnitine	ahpF//xapA//uxaB//glxK//mpl//
Cbl	uvrC//caiA//hycD//pdeR//glcD//
CdaR	glcF//sufS//phnL//gltD//pgpC//frdB//lyxK//atoB//phnG//
CecR	prs//
ChbR	wecC//folA//ulaD//
ChbR-N-monoacetylchitobiose-6-phosphate	uvrC//metC//pdeR//
ComR	
CpxR-Phosphorylated	tynA//carA//glpX//patA//caiB//mtlD//ssuE//kbaZ//caiA//gudD//ynfE//argG//dkgA//glpX//recD//betA//fadA//srkA//nagA//lsrK//hypB//
Cra	deoD//fadB//yiaK//moaA//folA//galK//nadA//rutB//trpA//fes//paaB//rbsK//paaE//trpA//gudD//paaB//rutC//cadA//recF//lacA//mraY//dgkA//bioB//nrfA//metE//tdcE//mpaA//purA//lsrF//allB//frdC//pdeH//wzc//wecE//argA//wecE//rutB//purB//paaG//melA//cysG//entC//ftsI//deoA//ftsI//pykF//tnaA//dhaL//gcl//umuD//patD//rutE//mpaA//nadB//glgP//gudD//glgC//frdB//uxuB//
CreB-Phosphorylated	paaK//dmsC//
CsgD	purM//slt//napA//sgbU//luxS//
CsiR	dkgA//pheT//hycE//katG//
CspA	rbsK//
CueR-Cu	bacA//rffT//caiC//mpl//mhpB//
CusR-Pasp	cueO//alaS//ynfE//icd//
CynR	
CynR-cyanate	fadD//malZ//deoD//
CysB	phnJ//murE//
CysB-O-acetyl-L-serine	gadA//dkgB//prpC//glpD//kbaZ//polB//gatD//sucA//fadD//phnM//rffT//ppc//speB//rsmH//leuD//
CytR	nfsA//ilvC//betB//leuB//mhpD//leuD//argG//sdhB//psd//codA//
Dan-L-tartrate	dkgA//rtcA//
