# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	dmsA//gloA//
Ada	ccp//fabD//entH//iscS//
AdiY	cueO//cysC//dmsB//mdh//
AgaR	zwf//
AidB	fucA//
AlaS-L-alanine	pncB//
AllR-allantoin	moeA//napH//fabG//atoA//mdh//pyrD//
AllS-allantoin	udp//speG//moeB//
AlsR	ulaG//kbl//citX//
AppY	nadB//entH//
AraC	fadA//aldA//citX//
AraC-arabinose	ruvB//polA//gcvP//phnP//speA//cysI//dhaL//recF//
ArgP	fadJ//allD//paaC//folA//metE//mpaA//chbF//mhpF//
ArgP-arginine	purM//
ArgR-L-arginine	dhaM//nrdF//mhpB//caiA//gcvP//paaZ//sgbU//arsC//sodB//hcaE//hcaB//ppiA//ung//accD//ppiA//uvrB//betA//acnA//narH//dkgB//recB//rutA//frdC//
ArsR	narI//astA//
AscG	nanK//lysU//
AsnC	moaE//malP//
AtoC-Phosphorylated	ttdA//slt//ndh//
BCCP	accC//
BaeR-Phosphorylated	gltD//fadI//
BasR-Phosphorylated	rimK//prpC//gudD//
BetI	eda//aceF//garL//
BirA-biotinyl-5-adenylate	hyaA//murQ//rffT//prpB//fabI//
BluR	
BolA	rutA//nfsB//
BtsR-Phosphorylated	rbsD//
CadC	paaG//ulaF//malQ//
CaiF-L-carnitine	ilvC//mazG//phoA//gntK//tyrA//
Cbl	cadA//torC//mraY//rffC//malP//
CdaR	wrbA//malS//lsrG//hycE//wecC//gdhA//tynA//garR//prpB//
CecR	glgB//
ChbR	tadA//dadX//sgbH//
ChbR-N-monoacetylchitobiose-6-phosphate	allA//ascB//malZ//
ComR	
CpxR-Phosphorylated	allE//lysU//aroG//ilvM//polB//mhpF//cdd//rtcB//pgaB//accD//chbG//lsrF//nrdA//codA//acnB//ilvA//gatD//araD//gltD//ddlB//lhgO//
Cra	mngB//polB//ilvG_1//tdcB//dapB//fau//mtlD//glpQ//purE//aceE//deoC//ldtB//ldtD//gnd//pepD//ada//napH//ubiC//ilvM//uxaB//tynA//entA//rutA//narI//gcvT//hycE//cadA//fadI//tauD//nirB//fabB//nanE//rbsK//treC//trpA//fadA//lhgO//gatD//rhaB//gabT//pyrD//argD//dhaK//luxS//glcF//mpl//malS//citC//ahpF//moeA//hcaD//paaB//tpiA//hemH//polA//lhgO//lpd//tynA//recD//
CreB-Phosphorylated	argG//dhaM//
CsgD	nirB//pncB//sucC//polA//pagP//
CsiR	lsrF//yedX//dsdA//aldA//
CspA	waaH//
CueR-Cu	wrbA//dhaL//ugpQ//cynT//hyaB//
CusR-Pasp	patA//ppiA//dmsA//betA//
CynR	
CynR-cyanate	hyaB//recF//prpE//
CysB	pgk//glcE//
CysB-O-acetyl-L-serine	thrS//moeA//ilvE//pykF//torC//dhaM//rfe//frdD//rbsD//atoB//paaH//ychF//argA//dgcC//gltD//
CytR	ftsI//lldD//lacZ//araA//dgcZ//folE//moaC//yiaK//paaE//phnH//
Dan-L-tartrate	rimK//rnpB//
DcuR-Phosphorylated	citD//argB//gcvP//sucB//
DeoR	fau//ynfG//prpC//gltB//nfsB//phnL//
DhaR	nanA//
DicA	
DinJ-YafQ	frdB//
DnaA-ATP	sdhD//fabH//aceB//hcp//nrdE//hcaD//
DpiA-Pasp	hyaA//hcaE//rffM//phnO//carB//
DsdC-D-serine	narH//sucA//
EbgR	
EnvR	ftsI//glcD//
EnvY	ascB//prpE//
EvgA-Phosphorylated	gadA//cysN//yqhD//atoA//patD//ulaE//
ExuR	ugpQ//cysJ//frdC//umuC//hycD//carB//
ExuR-alpha-D-galacturonate	
FabR	nagB//pncB//ulaE//
FadR	leuD//srkA//slt//phoA//uidA//tadA//araD//ndh//tadA//nagA//umuD//sodA//rffM//purM//rsmH//paaH//glgX//pykF//xylA//
FadR-acyl-CoA	
FeaR	waaZ//wrbA//
FhlA-formate	argD//narH//phnL//nanA//epd//pfkA//sucD//fes//
FlhDC	pgi//fadB//rffH//ulaD//lacA//fumC//nadA//ppc//pheT//folA//ruvA//malZ//pgaD//sdhA//
FliZ	cynT//gudD//nagB//ppsA//ulaE//
FucR-L-fuculose-1-P	pncB//trpD//hycE//nrfC//carB//hemL//
Fur-Fe2	cadA//ilvC//aroL//phnP//sdhA//cysG//dmsC//glxK//adhE//ulaE//phnO//hyi//slt//rbsD//ulaF//cysK//purB//glpX//torC//gabD//bioD//bacA//nirB//napA//sodB//torA//puuA//dadA//appA//torA//patD//mltF//wecE//dsdA//cynS//adiA//glgB//moaA//paaE//purK//ilvG_1//moaC//accC//paaA//cysH//uxaA//galK//alaA//uxaC//murQ//ubiC//waaY//rsmH//putA//citF//ubiX//dhaL//gcvH//glcD//astC//napA//glxR//
GadE	aldA//cdd//pgaB//hcaB//rpiB//eno//sdhC//ulaF//fabD//folE//
GadE-RcsB	aroH//ruvA//mpl//nrdF//aspA//
GadW	pheS//fadB//paaJ//aldA//
GadX	phnO//rutE//pgk//paaF//bioD//sgbE//araD//argI//araA//cysC//prpB//citC//phnO//dgcC//
GalR	mhpA//yqjH//pdeH//wzc//glmS//nrdA//
GalR-beta-D-galactose	pgaB//luxS//purC//citF//mhpC//
GalS	puuA//deoA//tauD//cysG//phnI//yedX//
GalS-beta-D-galactose	argB//mngB//glxR//psd//napG//
GatR	fadJ//pncB//nrdF//
GcvA	allC//entF//pfkA//
GlcC-glycolate	aceA//umuD//thrS//
GlpR	argC//fruK//ilvA//icd//prpE//argA//ubiC//
GlrR-Pasp56	
GntR	dmsA//deoB//nadA//glpK//wecC//ynfH//ulaE//paaY//mdh//
GutM	waaZ//ampC//ulaE//
HU	alaC//ubiA//udp//entE//kbaY//pncB//patD//
HcaR	
HcaR-HCA	truB//ldtB//
HdfR	
HigA	sdhB//
HigB-HigA	speA//
HipAB	arsC//ndh//
HipB	gatY//phnL//uxuA//
HprR-Phosphorylated	bioA//entB//ldtD//ubiA//
HyfR	idnK//
HypT-Met-oxidized	uxaB//purE//edd//mhpC//deoB//dgcC//idnK//
IclR-pyruvate	caiC//purH//paaA//
IdnR-5-ketogluconate	fadD//hcaC//tyrA//glpQ//nfsB//
IlvY	
IlvY-S-2-acetolactate	nrdD//
IscR	fumC//ldtC//tauD//caiD//yfdE//polB//
IscR-2Fe-2S	ilvE//ubiX//
KdgR	lpxD//lacA//
KdpE-Phosphorylated	sufS//
LacI	rfe//ddlB//allB//
LeuO	sucC//yfdE//metA//ftsI//tadA//narH//
LexA	sgbH//garR//glyA//mraY//napA//alkA//rhaA//glgC//glgX//sucC//argC//puuD//hypB//puuE//uxaB//dhaM//moeA//garL//purM//ilvA//fumC//deoB//ulaE//
LldR	sucB//lpd//
LldR-S-lactate	rutC//rtcB//
LrhA	
Lrp	waaY//cadA//ribA//glk//sgbU//nagB//aceF//prs//lysC//glcF//cadA//umpH//paaH//entE//aspA//pykF//hyi//srlD//metL//glmS//fabA//nrdB//nemA//cynT//cysI//fes//purN//uxuB//metL//nrdD//glpK//
Lrp-leucine	nrdF//uidA//dapB//glcB//nanE//araD//sgbH//ung//kbaZ//napG//glcD//phnP//sdhA//bioB//moeA//idnO//gatY//
LsrR	ychF//mpl//dinB//ahpC//dgcZ//
LysR	lsrG//
MalI	adhE//tehB//
MalT-maltotriose-ATP	malS//garD//pdeH//ubiA//glpD//mpaA//
