# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	paaG//umpH//
Ada	alsE//dadX//leuA//dapB//
AdiY	fabH//nrfD//argF//aspC//
AgaR	galE//
AidB	fumC//
AlaS-L-alanine	nirB//
AllR-allantoin	guaA//bioF//dapB//glpD//murI//psd//
AllS-allantoin	asnA//murG//aroH//
AlsR	murI//wzb//mhpB//
AppY	sdhA//nrdE//
AraC	ahpC//srkA//allE//
AraC-arabinose	garL//gcl//sdhC//paaG//malY//allC//entH//caiB//
ArgP	astE//pck//paaJ//narH//galK//sodB//ynfH//metL//
ArgP-arginine	carB//
ArgR-L-arginine	lsrG//phnO//moaA//fadJ//nfsB//astE//frdB//ruvB//paaA//bacA//avtA//metA//malS//napA//dhaM//hycF//wrbA//polA//nagA//argB//gabD//fadB//gloA//
ArsR	kbaZ//katE//
AscG	pdeL//argH//
AsnC	lsrK//ung//
AtoC-Phosphorylated	gcvT//ung//hcaB//
BCCP	prpB//
BaeR-Phosphorylated	pgi//hcaF//
BasR-Phosphorylated	cysM//pgaB//tdcE//
BetI	wrbA//prpB//frdB//
BirA-biotinyl-5-adenylate	tdcG//glxR//leuD//argH//ybjG//
BluR	
BolA	ulaD//codA//
BtsR-Phosphorylated	uvrB//
CadC	purK//pykF//trpE//
CaiF-L-carnitine	entF//dadA//murC//nirB//sgbE//
Cbl	betA//ychF//accA//argD//ilvI//
CdaR	pck//ulaG//mhpD//entD//metL//frdA//pnp//lysC//ppiA//
CecR	mtlD//
ChbR	gltD//fadB//rutE//
ChbR-N-monoacetylchitobiose-6-phosphate	puuB//malQ//cysI//
ComR	
CpxR-Phosphorylated	lpd//ccp//malY//nanE//sgbU//patA//fadI//allB//phnH//mraY//galT//glgA//entC//pncB//cysI//bglB//chbF//deoC//nanA//pagP//umuD//
Cra	hycF//fabG//lhgO//araD//serA//mhpA//waaH//ilvC//glpB//arsC//pgi//purA//patD//serA//wzc//nadB//ynfH//pncB//hycE//pdeL//sbcD//icd//astD//amn//gatY//lysA//paaH//metE//kbaZ//ugpQ//fadM//aldA//nanA//adiA//purF//ldtC//lsrF//glyA//nrfA//uxaC//pheS//mdh//ulaD//ugpQ//katG//argC//glpB//entC//trpB//rutA//allD//patA//paaE//dapD//paaI//lysU//fabB//nrdD//accC//
