# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	mtlD//mhpD//
Ada	garR//alaA//lpxD//cueO//
AdiY	torC//poxB//tehB//lacZ//
AgaR	sgbH//
AidB	tehB//
AlaS-L-alanine	rimK//
AllR-allantoin	gabT//rtcA//hemL//thrS//fdhF//mngB//
AllS-allantoin	glgB//rhaA//mraY//
AlsR	caiA//frdA//phnJ//
AppY	aroG//recB//
AraC	carA//purM//garR//
AraC-arabinose	trpB//pgaB//nagB//rbsK//ahpC//nrfC//mnmG//allE//
ArgP	rbsK//glcF//xylB//asnB//nanA//ldtC//allD//fdhF//
ArgP-arginine	rhaA//
ArgR-L-arginine	pflB//fabH//sbcD//puuB//ydcS//citD//nrdD//ulaG//avtA//hypB//purK//rnpB//narH//ybjG//lysA//pgm//hmp//glpQ//kbl//sucA//tyrA//umuC//hycE//
ArsR	argF//aroF//
AscG	gadB//fucO//
AsnC	moaD//nanM//
AtoC-Phosphorylated	tdcG//fadE//aldA//
BCCP	metE//
BaeR-Phosphorylated	citF//purK//
BasR-Phosphorylated	nadA//aspC//ahpC//
BetI	araB//ugpQ//cueO//
BirA-biotinyl-5-adenylate	sucC//alkA//uvrA//ulaD//glcD//
BluR	
BolA	glpD//sdhA//
BtsR-Phosphorylated	asnA//
CadC	pncB//prpE//cadA//
CaiF-L-carnitine	waaY//araD//mhpB//cysI//deoB//
Cbl	mnmG//paaF//talA//ssuD//fabA//
CdaR	frdD//serA//yeaE//purL//rutD//gloA//glpA//tauD//fabB//
CecR	fdhF//
ChbR	pagP//galM//murE//
ChbR-N-monoacetylchitobiose-6-phosphate	pykF//bacA//aroG//
ComR	
CpxR-Phosphorylated	sdhB//fadI//frdB//hyaA//garK//mtlD//eda//kbl//purD//argH//citX//uxaA//astE//amn//galE//folE//tyrB//tdcE//bglB//moaD//gadB//
Cra	udp//wecB//ilvC//fadH//dgcZ//gadA//nanM//ascB//gapA//fabI//atoB//talA//hcaE//cysD//poxB//allC//accC//yeaE//eno//dadA//dacC//hmp//ssuE//gutQ//glk//mhpF//citF//metH//nanK//speB//sdhC//ppsA//speB//serC//rhaA//serA//purE//purC//paaJ//fabA//atoB//malP//gltD//deoA//garR//entE//cysM//wzc//fadD//dadX//pheS//uxuB//tdcG//leuB//grxA//uvrA//polB//paaC//accC//
CreB-Phosphorylated	yqjH//glmS//
CsgD	rutA//purD//ybjG//pheT//gadB//
CsiR	dapD//ilvG_1//wecE//avtA//
CspA	ynfE//
CueR-Cu	ynfF//mnmG//uidA//fabZ//purN//
CusR-Pasp	dadX//ppc//arsC//appA//
CynR	
CynR-cyanate	rtcB//paaH//ldtB//
CysB	fadI//betA//
CysB-O-acetyl-L-serine	puuD//paaZ//entB//metC//ychF//pheT//glk//dhaL//bacA//rtcA//aspC//purC//dhaK//ampC//treC//
CytR	lpxD//napB//ubiX//ydcS//leuB//lldD//thrS//gatZ//moaC//fbaB//
Dan-L-tartrate	aspC//pdeR//
DcuR-Phosphorylated	puuD//ugpQ//fabB//metF//
