# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	mltF//narG//
Ada	lysA//uxuB//katG//allA//
AdiY	cysC//edd//frdB//mhpA//
AgaR	phnN//
AidB	purD//
AlaS-L-alanine	ldtC//
AllR-allantoin	dkgB//mhpF//edd//nrfA//pgaB//rffG//
AllS-allantoin	folA//garK//gor//
AlsR	metC//lpd//rutC//
AppY	citX//ybjG//
AraC	ulaD//prs//yeaG//
AraC-arabinose	cyoE//fabZ//phnG//sbcD//tktB//waaZ//fabZ//icd//
ArgP	codA//nanM//dapD//mpaA//dmsA//lpd//glgA//idnK//
ArgP-arginine	nrfC//
ArgR-L-arginine	pgaC//ynfG//fau//lpxA//entH//frc//nrdB//aspC//mazG//iscS//caiA//gdhA//glpA//nrdD//dapB//napA//malS//ydcS//hypB//epd//nfsB//icd//murC//
ArsR	gatD//speG//
AscG	frdD//ygeA//
AsnC	recF//nrdF//
AtoC-Phosphorylated	ldtB//napH//tpiA//
BCCP	bioB//
BaeR-Phosphorylated	glgA//fadI//
BasR-Phosphorylated	tdcB//dgcZ//glgA//
BetI	paaH//fbaA//eno//
BirA-biotinyl-5-adenylate	wecC//srlD//dsdA//uvrA//metA//
BluR	
BolA	cyoE//purF//
BtsR-Phosphorylated	ssuD//
CadC	ppiA//hyaA//cysK//
CaiF-L-carnitine	sgbE//ldtC//dgcC//paaG//adiA//
Cbl	cadA//gapA//glgA//fabG//ilvA//
CdaR	atoB//fabD//araD//nrdD//ppsA//lsrG//rhaA//garD//nadB//
CecR	nrdA//
ChbR	fdhF//udp//melA//
ChbR-N-monoacetylchitobiose-6-phosphate	alkB//fadD//phnN//
ComR	
CpxR-Phosphorylated	wecC//sgbE//alkA//aceE//metH//gadB//cysG//tyrB//patD//deoD//gadA//pagP//fabA//purM//paaY//mhpF//wecE//ilvG_1//tktB//frdD//dmsB//
Cra	wrbA//fadH//hcaE//phnI//wecE//uvrA//carB//hcaF//rffG//fumB//phnO//nrdA//relA//cysH//polA//tktB//gadA//pgaB//malS//nrdD//leuD//phnO//galM//argC//ttdA//katG//trpE//ulaD//chbF//entF//glcB//prpB//ubiX//alsE//ynfG//ubiC//citE//allE//pfkA//dapB//eda//prpE//dapB//rffG//moaE//ilvC//fabI//dmsA//rtcA//epd//paaH//gnd//cynT//dgcN//argB//pdeL//paaC//ppsA//dadX//
CreB-Phosphorylated	allC//prpC//
CsgD	ilvD//gdhA//idnK//yiaK//lsrF//
CsiR	mhpC//nadA//pfkA//mnmG//
CspA	glnA//
CueR-Cu	frdB//glpK//sgbU//nagA//codA//
CusR-Pasp	pgk//mhpB//gor//dgcZ//
CynR	
CynR-cyanate	ruvA//waaZ//yqjH//
CysB	paaB//dgkA//
CysB-O-acetyl-L-serine	uxaC//astD//ldtC//aspA//ogt//eda//argI//idnO//gcvH//fadI//hycD//ilvE//gdhA//uvrC//sodA//
CytR	sucD//lpxC//gabD//entC//carB//citF//hycB//icd//recD//alkB//
Dan-L-tartrate	torA//caiB//
DcuR-Phosphorylated	narG//deoA//gcvT//allE//
DeoR	purA//araD//gudD//glsA//cysC//ynfH//
DhaR	ilvC//
DicA	
DinJ-YafQ	puuA//
DnaA-ATP	serA//pfkA//cynT//moaE//serC//mraY//
DpiA-Pasp	pdeH//hycF//glcD//amn//glgX//
DsdC-D-serine	paaK//phnP//
EbgR	
EnvR	leuB//trpE//
EnvY	acnA//alsE//
EvgA-Phosphorylated	kbaY//arsC//bioC//purL//rutE//malQ//
ExuR	atoA//gdhA//nrdB//hypF//dadA//thrS//
ExuR-alpha-D-galacturonate	
FabR	fabB//pepD//sucA//
FadR	pgaC//tnaA//aldA//trpB//ycjG//fabD//ssuE//leuD//ssuE//bioB//ldtD//prs//codA//mnmG//citX//pyrD//pepD//polA//paaB//
FadR-acyl-CoA	
FeaR	ssuE//ilvG_1//
FhlA-formate	aroL//frdC//fumC//rsmH//phnP//napB//xylB//luxS//
FlhDC	glk//relA//garK//bglB//hypF//puuE//epd//pyrD//hyaA//tdcE//grxA//atoA//argH//dapB//
FliZ	caiC//yeaE//fumC//lldD//dhaK//
