# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	purL//rffG//
Ada	acnB//purK//aroL//recF//
AdiY	ada//fadA//tyrB//entC//
AgaR	srkA//
AidB	nrdD//
AlaS-L-alanine	araD//
AllR-allantoin	glpD//ulaF//moaD//ynfF//ydcS//fadI//
AllS-allantoin	eno//lhgO//polA//
AlsR	rhaA//galM//dgkA//
AppY	tehB//hcp//
AraC	metK//aroH//paaZ//
AraC-arabinose	astE//sodB//citC//umuD//feaB//glcB//rhaA//gutQ//
ArgP	folE//ndh//puuC//fadJ//iscS//pepD//glmU//rbsK//
ArgP-arginine	dmsC//
ArgR-L-arginine	glyA//appA//gatZ//tynA//argB//dgcN//accD//ftsI//torC//cysD//leuC//recB//glpB//purK//ada//sucC//paaY//tpiA//aldA//glcE//metC//aroL//pgk//
ArsR	appA//wecB//
AscG	glxR//prpB//
AsnC	aroF//recF//
AtoC-Phosphorylated	astB//pgi//phnN//
BCCP	gatY//
BaeR-Phosphorylated	zwf//pykF//
BasR-Phosphorylated	pnp//uxuB//paaB//
BetI	gor//nrfC//puuA//
BirA-biotinyl-5-adenylate	ulaG//glcD//dadA//phoA//malQ//
BluR	
BolA	gcvP//sucD//
BtsR-Phosphorylated	bioD//
CadC	pdeH//recD//carB//
CaiF-L-carnitine	uvrB//slt//ydcS//fadJ//dhaK//
Cbl	ogt//murQ//zwf//ynfF//bioC//
CdaR	hcaE//gapA//mhpF//lldD//malS//metA//yiaK//avtA//betB//
CecR	udp//
ChbR	paaJ//fes//gabD//
ChbR-N-monoacetylchitobiose-6-phosphate	xylB//trpB//ulaG//
ComR	
CpxR-Phosphorylated	srkA//pgpC//kbl//idnD//rbsD//hyaB//lyxK//pnp//bglB//entC//deoD//citE//narI//cysJ//ruvB//tauD//gntK//pfkA//rutB//glyA//waaH//
Cra	trpB//mnmG//pfkA//dhaK//trpB//xylB//murI//nagB//mazG//glpA//sodA//lsrK//uvrA//fadB//ybjG//tynA//wzc//gpmA//cadA//argB//waaH//entA//sgbU//prpC//malY//feaB//wecB//purM//garD//mhpE//glxK//purN//waaH//ssuD//citE//tpiA//ulaF//nadA//dadA//gatZ//purE//dinB//tdcD//argF//metA//napB//tehB//sgbU//araD//fes//metL//pheS//umpH//recD//ilvH//lpd//rhaA//astD//bioB//
CreB-Phosphorylated	dgcN//paaC//
CsgD	entF//purN//aroL//nrdD//uvrC//
CsiR	bioC//atoD//metF//mdh//
CspA	uidA//
CueR-Cu	nrfC//prpE//lsrG//psd//thrS//
CusR-Pasp	uvrC//ogt//codA//ubiA//
CynR	
CynR-cyanate	glgB//iscS//astC//
CysB	hyaC//betB//
CysB-O-acetyl-L-serine	glgB//rutE//dadA//cysH//phnL//paaG//ldtB//aldA//glpB//prpD//gudD//fabZ//acnA//phnI//phnI//
CytR	mhpA//ybjG//glgC//purD//rnpB//sucB//garK//phnL//nrdE//rhaD//
Dan-L-tartrate	bioB//pheS//
DcuR-Phosphorylated	kbaZ//dkgA//kbaY//citG//
DeoR	ruvB//relA//moeB//accC//citX//umuC//
DhaR	glpX//
DicA	
DinJ-YafQ	ygeA//
DnaA-ATP	gcvH//sufS//cysJ//murC//purB//pgi//
DpiA-Pasp	nrdB//phr//fadA//paaJ//accD//
DsdC-D-serine	phnP//ldtC//
EbgR	
EnvR	ddlB//purB//
EnvY	puuD//trpD//
EvgA-Phosphorylated	fabZ//lpxD//cueO//mngB//pdeH//bioD//
ExuR	phnJ//sucB//aroG//lysU//udp//malY//
ExuR-alpha-D-galacturonate	
FabR	tdh//gudD//aceB//
FadR	gor//nadA//puuB//pagP//uxuB//pdeH//ddlB//moaA//lhgO//talA//paaC//betB//rpiB//prpC//ttdB//aceF//glgC//leuA//gnd//
FadR-acyl-CoA	
FeaR	idnK//fucA//
FhlA-formate	glgP//cyoE//lacZ//uxaB//glk//eda//araA//rhaD//
FlhDC	ilvG_1//phoA//gltB//rimK//uidA//lpd//ogt//paaI//fdhF//uxaB//mpl//araA//purM//ilvM//
FliZ	fruK//malY//pgaB//paaY//speG//
FucR-L-fuculose-1-P	glpX//metB//tpiA//ilvC//napA//luxS//
Fur-Fe2	wzb//carB//atoB//cynT//yedX//nadA//citE//rffH//mraY//ynfE//dsdA//sucD//glpB//idnO//napH//hcaD//tdh//ynfG//waaY//fumB//lpxD//glcE//sdaA//aceF//acnA//hycC//mhpF//folA//ruvA//garD//gadB//eno//fadA//carA//malP//aceF//paaJ//iscS//fruK//ilvG_1//deoD//rimK//ychF//tktB//ppsA//recB//alaA//aceF//sgbH//mpaA//betB//dgkA//lpd//phr//uxuA//dmsB//citX//nemA//nrfA//purH//ilvD//metB//
GadE	pgm//sgbH//patA//narH//ttdB//fucA//nrdE//ndh//glyA//purA//
GadE-RcsB	uidA//mltF//cysG//nadA//ilvI//
GadW	paaG//rffG//moaC//cysN//
GadX	ugpQ//astD//pheS//frdB//prpB//ydcS//argE//trpA//tdcE//recD//ilvH//ubiA//phoA//dkgB//
GalR	tktB//araB//araB//srlD//pgaC//dmsB//
GalR-beta-D-galactose	purB//napA//cdd//napB//fadH//
GalS	tynA//tnaA//carA//polB//tam//aspC//
GalS-beta-D-galactose	glgC//murQ//hycC//rsmH//rfe//
GatR	leuD//pdeH//gcvH//
GcvA	narG//dadX//nadB//
GlcC-glycolate	dapD//ilvI//rfe//
GlpR	astD//glcD//ynfH//garR//accC//ppc//nagB//
GlrR-Pasp56	
GntR	wzc//deoB//hycD//sdhA//sodA//glpA//lacZ//garL//ccp//
GutM	idnO//zwf//gutQ//
HU	glcE//sgbH//yfdE//gutQ//grxA//trpE//metF//
HcaR	
HcaR-HCA	dapB//sodB//
HdfR	
HigA	murI//
HigB-HigA	gltB//
HipAB	wecC//rffM//
HipB	hypB//rtcB//glpK//
HprR-Phosphorylated	dmsA//alaA//gor//murE//
HyfR	glpX//
HypT-Met-oxidized	nrdE//purN//sgbU//tam//gltD//pepD//cysE//
IclR-pyruvate	gatY//purE//carA//
IdnR-5-ketogluconate	nemA//ttdB//rutE//dmsB//aspA//
IlvY	
IlvY-S-2-acetolactate	moaE//
IscR	srkA//grxA//fumC//glpD//gltD//murC//
IscR-2Fe-2S	malZ//fadI//
KdgR	cynT//astA//
KdpE-Phosphorylated	allB//
LacI	luxS//poxB//aroA//
LeuO	fabA//cysE//malP//malS//astE//purM//
LexA	pgi//cysC//idnK//paaB//prs//trpC//relA//gor//sdhA//waaH//cysM//deoA//phr//rhaA//pepD//eno//hmp//lysC//pgaC//nirB//cynS//dkgB//pflB//
LldR	phnO//hyaC//
LldR-S-lactate	pgpC//hcaD//
LrhA	
Lrp	glcE//aceE//paaH//astB//narH//grxA//rnpB//argD//idnK//garR//ttdA//pgm//appA//cueO//pncB//gapA//paaK//fadE//ndh//sufS//napA//prpC//hemL//nagA//glgA//hycD//uxuB//argH//fadH//yqjH//dapD//
Lrp-leucine	malZ//fucA//phnP//nrfC//trpE//astB//glgB//hcaF//gatY//lysA//mhpD//fucU//mhpB//nrdF//moaE//hcaE//rtcB//
LsrR	ccp//alaC//luxS//cynS//ppsA//
LysR	sufS//
MalI	sbcD//idnD//
MalT-maltotriose-ATP	ttdA//eno//aceB//glcE//sgbE//galM//
MarA	phr//xylA//rffC//nanK//gcl//entA//rutC//fau//ubiA//fadD//feaB//deoA//ung//rbsD//asnA//paaC//oxc//nrdB//paaY//alsE//lsrG//rhaA//caiA//kbaZ//
MarR	
MatA	lysC//
MazE	katG//
MazE-MazF	recF//
McbR	
MelR	gnd//carA//
MelR-melibiose	cysD//ttdA//
MetJ-adenosylmethionine	phr//malS//purK//ahpC//ssuD//metC//gpmA//rfe//alsE//glsA//
MetR	xylB//glgA//
MetR-L-homocysteine	galK//fadA//
MhpR-3HPP	sgbU//pgaB//aspA//dmsB//cysC//sgbE//
Mlc	talA//srkA//gatD//citG//
MlrA	rutE//
MngR	ubiX//phnM//
MntR-Mn2+	phnJ//nfsB//
ModE-MoO42-	prpC//metB//glcB//cysG//ddlB//metA//allD//talA//argA//rpiB//hycF//ssuD//purN//xylB//argI//gapA//guaA//
MprA	uxaC//glpK//yeaE//
MqsA	codA//recD//
MraZ	rimK//pheT//paaF//pflB//leuD//rbsD//relA//phnO//recF//kbaZ//
MurR	ycjG//pykF//speA//
Nac	ynfG//aroG//uvrA//fadE//phnN//rbsK//nirB//fdhF//caiD//nadA//nadA//
NadR	frc//ilvM//dmsC//tdcE//
NagC	murQ//wzc//purB//nfsB//glpC//lpxA//moeA//mhpD//garD//glgA//alaA//slt//glpK//nadA//fucO//guaB//sucA//talA//fabD//
NanR	metA//metL//hypB//napG//paaJ//uvrC//
NarL-Phosphorylated	fabA//citD//aceA//murG//wecE//nanM//aroA//tehB//ssuD//tpiA//fucU//glpQ//metA//garK//yedX//mltF//ynfF//epd//eda//folA//frdD//fucI//trpE//fumC//idnD//gapA//cueO//ppiA//serC//prs//pdeH//waaY//hypB//malP//atoB//gatZ//yedX//betB//hmp//cysK//iscS//
NarP-Phosphorylated	garL//garD//citF//argH//ychF//astE//ung//pheS//glxK//hyi//mnmG//rutB//nirD//ung//hcaC//
NemR	fabA//phnN//
NhaR-Na+	ydcS//feaB//hyi//lpd//wrbA//
NikR-Ni2+	aroH//
NimR	yqjH//
NorR	nanM//
NrdR-Zn2+	metL//fau//cdd//tadA//
NsrR	malY//sucB//bglB//nirD//dapD//hcaE//fabZ//hemH//lhgO//speG//sdhC//hyaA//rhaA//lysC//alaA//ldtB//acnB//narI//ulaF//aldA//lacZ//torC//gatY//lpxC//dhaK//atoB//entB//iscS//paaJ//ilvC//glsA//dmsC//purM//rpiB//argD//chbF//glmU//gadA//metB//dapD//
NtrC-Phosphorylated	eno//galE//paaB//mraY//asnA//xylA//cysN//citX//cyoE//fdhF//nadB//sgbE//glgX//allD//paaB//glgX//melA//rfe//ldtC//pspE//napB//
OmpR-Phosphorylated	tdcD//lysC//rbsK//dapD//hmp//trpC//kbaY//tynA//
OxyR	fabG//atoB//yeaE//ldtB//glsA//mtlD//galE//gcvH//hcaD//fabZ//fucK//lhgO//astE//hyaA//polA//phnL//torC//
PaaX	argA//phnP//ccp//garR//psd//hycB//purM//lpxA//galK//
PdeL	sufS//
PdhR	ynfF//fabG//nrdF//ygeA//dmsC//pgaD//astC//sdhD//lpxD//tpiA//accC//sdhD//carA//pncB//glcD//ilvI//alsE//paaY//sodA//ascB//pgaB//rffH//iscS//paaB//frc//
PepA	lpd//argA//
PgrR	srkA//gpmA//
PhoB-Phosphorylated	pgi//eno//fucO//pgi//ychF//gatZ//fucA//cysC//ruvA//caiD//galK//lpxD//fdhF//nrdE//gatD//alaS//idnO//torC//dgcZ//fumC//
PhoP-Phosphorylated	tauD//dgkA//aceF//pflB//hcaB//poxB//entF//ldtD//mpaA//lysA//purN//pepD//bglB//leuB//fadB//rffT//fbaA//hcaE//gadA//citX//nemA//aroF//citD//umuC//feaB//purM//hcaF//torA//dgcN//tyrB//prpD//hcp//
PrpR-2S3S-2-methylcitrate	rffH//trpA//ruvB//puuA//
PspF	tadA//
PurR-hypoxanthine	trpB//entF//murE//galT//alkB//dgcN//ruvA//dacC//malS//ruvA//appA//argF//feaB//rutC//ruvB//nanM//glyA//speA//tdcG//sdhA//mhpC//ahpF//hycF//entD//puuC//adiA//
PutA	moaD//glcF//
PuuR	ynfF//rpiB//pheT//nrfD//sodA//phnN//
QseB-Phosphorylated	
RbsR	purM//thrS//sdhB//rhaA//uvrC//
RcdA	rhaA//
RclR	
RcnR	ilvA//
RcsAB	adiA//adhE//paaE//
RcsB-BglJ	prpE//lysU//
RcsB-Pasp56	metE//napH//dhaL//lpxD//
RelB	eno//
RelB-RelE	bacA//
RhaR-alpha-L-rhamnopyranose	
RhaS	ssuE//
RhaS-alpha-L-rhamnopyranose	glgA//asnA//phnM//dinB//
Rob	cueO//moaE//fabD//yedX//icd//hycF//dmsA//murI//glxK//tyrA//poxB//sdhC//rutC//paaK//folA//lpxD//fucA//fucI//hycC//
RstA-Phosphorylated	atoD//glcD//ilvD//
RtcR	fabD//dadX//
RutR	rffC//entD//fabH//fadI//katG//bioC//gcvH//gcvH//frdD//yeaG//carB//
SdiA	
SgrR	zwf//nanA//hyaC//
SlyA	malY//fabG//pspE//cysE//putA//argG//glmU//leuD//argE//
SoxR	paaY//dinB//glgA//glgB//cysN//fumC//
SoxS	uvrC//rhaA//prpD//aroG//fbaA//patD//rffT//deoC//speB//purF//paaI//entD//glpC//acnB//gatZ//gudD//gudD//argH//sodB//uxaA//sdaA//paaE//phr//cysI//paaG//gcvT//glmS//fumC//
SrlR	dacC//lpxD//fabH//
StpA	mdh//entD//prs//
SutR	pdeH//eno//
TdcA	waaY//tdcG//fumC//tadA//tam//
TdcR	fadE//frdC//malZ//puuD//ilvG_1//
TorR-Phosphorylated	ahpF//moeB//glxR//argH//
TorR-TorI	guaB//
TreR	phnG//puuE//
TrpR-tryptophan	glpD//grxA//metF//pgi//avtA//torC//dinB//alaS//pgpC//
TyrR	caiC//
TyrR-phenylalanine	garD//cysG//
TyrR-tyrosine	accC//asnB//ycjG//cysM//aroG//asnA//argE//nirB//
UhpA-Phosphorylated	tnaA//
UidR	nadA//ribA//
UlaR	bacA//rtcA//murI//aceA//glsA//
UvrY-Phosphorylated	araD//lsrG//
UxuR	purL//ttdA//kbl//gatY//ppc//
XapR-xanthosine	ynfH//dadA//
XylR-xylose	fadJ//purC//ilvI//
YdeO	gntK//sbcC//allE//
YefM	citC//
YefM-YoeB	treC//
YeiL	
YhaJ	
YiaJ	mnmG//ccp//idnO//phnO//katG//garK//
YjjQ	lysC//leuC//
YpdB-Phosphorylated	
YqhC	thrS//pagP//
YqjI	asnB//
ZntR-Zn2	hcaB//
ZntR-Zn2+	gcvP//
ZraR-Phosphorylated	
Zur-Zn2	pfkA//
Zur-Zn2+	fabZ//
