# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	mdh//purF//
Ada	wecB//fucA//nrfA//appA//
AdiY	narI//gltB//xapA//gapA//
AgaR	cysD//
AidB	xylB//
AlaS-L-alanine	dgcN//
AllR-allantoin	metH//ftsI//mhpC//gadB//phnM//purD//
AllS-allantoin	mraY//speA//fabG//
AlsR	ugpQ//fabA//pyrC//
AppY	gdhA//glgP//
AraC	fadD//tyrB//idnO//
AraC-arabinose	aroA//entB//ynfF//dapB//ttdA//phnN//prpB//dhaK//
ArgP	accC//ilvM//lsrG//folA//narI//guaA//entA//sodB//
ArgP-arginine	aroA//
ArgR-L-arginine	umuC//citE//glpX//rffM//argA//aroF//dgcZ//caiA//murC//nrfA//hcaE//pheT//fadH//allE//rnpB//tam//dmsA//cysN//rtcA//rffM//iscS//cysG//glxR//
ArsR	glnA//rimK//
AscG	betA//prpE//
AsnC	alkB//phnI//
AtoC-Phosphorylated	nfsA//trpE//aldA//
BCCP	glgP//
BaeR-Phosphorylated	tehB//ilvD//
BasR-Phosphorylated	phnI//folE//purN//
BetI	poxB//yqjH//mhpA//
BirA-biotinyl-5-adenylate	metE//sbcC//nagB//ulaE//argA//
BluR	
BolA	ilvE//feaB//
BtsR-Phosphorylated	purA//
CadC	phnJ//nrdB//lpxD//
CaiF-L-carnitine	srlD//phnN//astE//gor//waaY//
Cbl	ddlB//sdhD//uvrB//frdD//aceA//
CdaR	caiB//ruvB//prs//phnP//slt//lacA//fucI//cysJ//cueO//
CecR	hyaB//
ChbR	kbl//tdcD//paaK//
ChbR-N-monoacetylchitobiose-6-phosphate	fadJ//atoA//deoA//
ComR	
CpxR-Phosphorylated	tehB//tdcE//fabD//dkgA//leuA//accD//paaC//ada//sgbH//dacC//frdB//metE//nanA//fabG//caiB//serA//cdd//wzb//prpB//paaA//serC//
Cra	sdhC//bioF//serC//glcF//acnB//bioA//mtlD//tdcG//galK//speA//citF//paaZ//glcB//purA//pepD//allC//fucI//entA//murI//ppc//bioD//galK//pdeH//napB//uidA//aceF//glcF//gcl//pyrD//purE//gpmA//fruK//chbF//sufS//nrdB//gatY//aceA//treC//nanA//sbcC//aspA//glpA//astB//citD//betA//frdD//trpE//fbaA//luxS//nirD//dinB//puuA//paaK//moeA//fabH//glpB//gnd//puuD//lpxD//
