# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	pspE//gloA//
Ada	accC//fes//mazG//dapD//
AdiY	fabA//entC//leuD//fadI//
AgaR	trpB//
AidB	dapD//
AlaS-L-alanine	lysA//
AllR-allantoin	tauD//rutC//alkA//melA//gltD//pgi//
AllS-allantoin	ppiA//leuA//rffH//
AlsR	trpD//cysN//gor//
AppY	mnmG//glpA//
AraC	hycC//dgcC//betA//
AraC-arabinose	dgcC//speG//rutC//srkA//ugpQ//moaE//relA//chbF//
ArgP	nfsB//sucD//pncB//fabI//aldA//alkA//yeaE//gapA//
ArgP-arginine	purK//
ArgR-L-arginine	dhaL//dapD//dgkA//hycG//sdhC//pflB//rutC//moaC//nemA//asnB//puuB//trpD//garD//fucA//lacZ//hemH//mngB//rutA//ynfE//malZ//uidA//gcvH//astD//
ArsR	umuC//rbsD//
AscG	ynfE//wecE//
AsnC	nagA//ynfF//
AtoC-Phosphorylated	cysE//glpX//thrS//
BCCP	ruvA//
BaeR-Phosphorylated	narG//hycE//
BasR-Phosphorylated	ulaD//pgpC//epd//
BetI	sgbH//ulaE//hycC//
BirA-biotinyl-5-adenylate	carB//ldtC//cynT//mpaA//ilvD//
BluR	
BolA	glgP//guaA//
BtsR-Phosphorylated	cueO//
CadC	xylB//alkB//fabB//
CaiF-L-carnitine	allA//cysK//rtcB//sucC//yqhD//
Cbl	alaA//torC//pheS//ygeA//uxuB//
CdaR	paaC//rffC//polA//ttdB//uxaA//kbaZ//ulaF//ilvC//hcaB//
CecR	codA//
ChbR	glmS//prpC//astE//
ChbR-N-monoacetylchitobiose-6-phosphate	tynA//recD//tnaA//
ComR	
CpxR-Phosphorylated	uvrB//bacA//glsA//uxaA//rhaD//guaB//fdhF//umuD//malS//glmU//argC//glgP//nfsB//nrdE//fadB//allD//alkA//fadJ//uxuA//paaB//wrbA//
Cra	gpmA//napG//argI//cysD//alsE//dadA//mhpE//purE//rffC//purH//sbcC//rffM//lsrF//glxK//dacC//nadA//ftsI//slt//feaB//ppiA//cueO//ssuD//yiaK//hycF//galK//lsrK//hemL//mdh//treC//wecC//pnp//lacA//ruvA//galM//glmS//glgX//dinB//dapD//ahpC//paaI//sdhD//ulaF//kbaY//ilvA//nanM//glpX//ribA//glmU//rhaB//uvrC//wecC//glxR//galT//fucO//araA//mngB//glgP//ppc//phnL//
CreB-Phosphorylated	uxaC//nagA//
CsgD	glgA//fucK//pck//tam//betA//
CsiR	mltF//rutB//glcB//katG//
CspA	glpD//
CueR-Cu	katG//ynfE//ulaD//aroG//sdhD//
CusR-Pasp	lysA//paaG//hemH//folE//
CynR	
CynR-cyanate	hcaC//hypB//dhaM//
CysB	glyA//glmU//
CysB-O-acetyl-L-serine	glgP//ubiC//paaZ//citX//katG//ppc//deoD//appA//sdhD//aldA//mtlD//astE//entA//metK//phoA//
CytR	mdh//aroG//fucA//sgbE//hycE//ycjG//accD//pdeH//cynS//nfsB//
Dan-L-tartrate	pgi//mhpE//
DcuR-Phosphorylated	dinB//paaZ//recB//cysM//
DeoR	leuC//gcvP//nagA//alaC//nfsB//frdC//
DhaR	cysE//
DicA	
DinJ-YafQ	hycD//
DnaA-ATP	ampC//narI//sdhC//paaC//hycD//malS//
DpiA-Pasp	lpxD//purM//truB//glgP//frdC//
DsdC-D-serine	argA//paaA//
EbgR	
EnvR	ruvB//sufS//
EnvY	sucD//dsdA//
EvgA-Phosphorylated	glpC//yeaE//hycF//dacC//phnG//poxB//
ExuR	prpC//waaH//araD//lacZ//ydcS//garL//
ExuR-alpha-D-galacturonate	
FabR	paaE//nrdE//ilvM//
FadR	malS//hmp//sbcC//srkA//srlD//adiA//glcF//metH//gadA//citF//guaB//sdhC//tdh//ttdA//fes//pflB//purL//frc//atoD//
FadR-acyl-CoA	
FeaR	moeB//serA//
FhlA-formate	sodA//cueO//gatZ//putA//purK//polB//dgcC//puuC//
FlhDC	leuB//cynT//allE//glcE//cyoE//glk//tdcB//rnpB//malY//dinB//umuD//aceB//polA//phnH//
FliZ	argH//sdhB//rtcB//ilvG_1//entE//
FucR-L-fuculose-1-P	hycF//ppc//amn//malZ//uxaC//purF//
Fur-Fe2	rffM//serC//gcvP//chbG//purE//purM//mhpC//cysM//phnO//murF//mpl//cadA//purN//ftnA//paaH//ogt//ampC//murQ//rfe//tdcB//ilvG_1//codA//nrdF//sucA//metE//dkgA//glgX//bglB//cynS//lysA//ychF//polA//hyaA//napG//glmU//atoD//nirD//folE//rffG//accA//mdh//ldtB//cysD//speG//glk//dhaM//metC//entB//fadB//dinB//dmsB//sodA//ttdB//gpmM//ydcS//melA//sucD//hycE//glgX//allB//fumC//nanE//
GadE	tyrB//argA//sdhC//uvrA//fadI//fdhF//pagP//fes//ribA//speG//
GadE-RcsB	adhE//uvrB//glxK//fumC//fucK//
GadW	pncB//glmU//patA//polB//
GadX	thrS//umpH//fadI//glgC//metH//ndh//citF//uvrB//astA//argE//accA//trpD//dhaL//galK//
GalR	ilvH//cynT//pflB//sodB//paaI//paaE//
GalR-beta-D-galactose	purC//accA//murG//gadB//dapB//
GalS	ttdB//prs//purM//hcaC//hycB//wrbA//
GalS-beta-D-galactose	hemH//argC//cynS//tauD//rhaA//
GatR	acnB//icd//ychF//
GcvA	phoA//avtA//nrdE//
GlcC-glycolate	ftnA//folE//metK//
GlpR	rimK//nrdB//treC//fabA//glpK//fbaA//glgB//
GlrR-Pasp56	
GntR	nemA//cysH//cysG//nanA//paaA//hycG//betA//dinB//fbaA//
GutM	phoA//dadA//ydcS//
HU	narG//cysM//moaE//nirD//glgP//trpC//entA//
HcaR	
HcaR-HCA	waaY//sdhA//
HdfR	
HigA	udp//
HigB-HigA	glmU//
HipAB	galK//rutA//
HipB	nrdB//speG//dmsC//
HprR-Phosphorylated	lpxA//napA//citG//cysK//
HyfR	nrdB//
HypT-Met-oxidized	katE//ilvG_1//garD//murD//tam//trpB//ilvI//
IclR-pyruvate	pspE//cynS//sufS//
IdnR-5-ketogluconate	cueO//nemA//tauD//psd//hcaC//
IlvY	
IlvY-S-2-acetolactate	alaS//
IscR	paaH//alkA//wecC//yeaG//purE//dgcZ//
IscR-2Fe-2S	malY//yqhD//
KdgR	speG//accD//
KdpE-Phosphorylated	metL//
LacI	uxaC//tynA//alkA//
LeuO	garD//kbl//entA//dadA//speG//gnd//
LexA	paaH//murF//yedX//ynfG//hcp//rffT//psd//galE//recD//uxuB//eda//mhpA//thrS//paaE//edd//fucK//atoA//hcaB//leuC//gcvH//argB//purK//dapD//
LldR	sdhD//atoA//
LldR-S-lactate	prs//ampC//
LrhA	
Lrp	srlD//fadB//glpC//argB//gadA//bioF//ynfF//cysM//wecB//accC//ynfE//dapD//thrS//gor//fdhF//rsmH//rffG//galE//umuC//fabG//fbaA//ynfG//hypB//wzc//recD//aroA//paaH//bglB//dgcC//galE//hyaB//
Lrp-leucine	recD//araB//malQ//accC//trpC//nrdE//glgC//uidA//fau//katG//putA//ddlB//ldtD//rnpB//metA//dkgA//argH//
LsrR	iscS//phnP//ychF//murI//pheT//
LysR	eda//
MalI	glyA//alsE//
MalT-maltotriose-ATP	glgC//trpC//fucK//allE//hycF//sdhC//
MarA	ynfE//yedX//sucB//pheT//argE//glmU//metC//allD//lacA//alsE//betB//citD//kbl//glgX//puuC//dapB//glgC//srkA//aroG//ydcS//leuB//pspE//mhpE//rutB//
MarR	
MatA	glcB//
MazE	sbcD//
MazE-MazF	rfe//
McbR	
MelR	fadE//fucU//
MelR-melibiose	gatD//gapA//
MetJ-adenosylmethionine	gpmA//waaH//folA//rtcA//alaS//alkB//dgcZ//metB//pdeH//acnA//
MetR	sodA//frdC//
MetR-L-homocysteine	rutE//sucC//
MhpR-3HPP	guaA//bioB//cueO//tpiA//fucO//hycE//
Mlc	sucB//entB//tdh//sdhB//
MlrA	eda//
MngR	ynfE//xylA//
MntR-Mn2+	acnA//cysD//
ModE-MoO42-	argA//fau//rutE//nagB//carB//araA//accD//thrS//gltB//phnJ//ulaF//bioD//yfdE//sufS//prs//rffH//mnmG//
MprA	dgkA//ubiA//nadB//
MqsA	ilvA//sucC//
MraZ	ilvM//sucD//prs//alkB//atoA//amn//gcvP//adhE//folA//bioF//
MurR	nirD//tdcB//ynfG//
