# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	purC//codA//
Ada	glxK//phnH//metL//citE//
AdiY	tehB//aceF//mpl//rutA//
AgaR	fadH//
AidB	atoA//
AlaS-L-alanine	melA//
AllR-allantoin	cynS//hycB//pgaC//nanM//rimK//pgm//
AllS-allantoin	lhgO//nagB//fabH//
AlsR	caiA//bioC//glpK//
AppY	frdB//ppc//
AraC	aceB//tynA//rimK//
AraC-arabinose	garL//dadA//putA//yedX//hycD//napG//narI//ulaG//
ArgP	phnO//yfdE//guaA//ftsI//pgaB//folE//paaB//rhaB//
ArgP-arginine	caiA//
ArgR-L-arginine	gntK//leuD//fucU//dmsA//leuA//ldtC//argA//rbsD//narG//malP//paaK//lysU//sdhB//gltD//hyaB//phnN//sdaA//wecE//glgP//hycD//argE//ddlB//puuA//
ArsR	dhaK//ychF//
AscG	dgcZ//ynfH//
AsnC	purC//dadX//
AtoC-Phosphorylated	glcE//ubiX//betB//
BCCP	polB//
BaeR-Phosphorylated	allB//hcaC//
BasR-Phosphorylated	gapA//dgcN//hyaC//
BetI	codA//mltF//acnA//
BirA-biotinyl-5-adenylate	ugpQ//sgbH//paaI//udp//poxB//
BluR	
BolA	allC//purL//
BtsR-Phosphorylated	entH//
CadC	pgm//napG//sdhC//
CaiF-L-carnitine	allE//glpQ//nirB//tyrA//gntK//
Cbl	puuA//gadA//bacA//caiA//ulaG//
CdaR	pdeH//glpX//mhpC//fadA//galE//ribA//murG//torC//moaA//
CecR	pdeR//
ChbR	hcaD//serA//ascB//
ChbR-N-monoacetylchitobiose-6-phosphate	deoB//kbl//entB//
ComR	
