# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	fadD//rhaB//
Ada	udp//mhpB//serC//rfe//
AdiY	araD//dgcZ//pheS//napG//
AgaR	pepD//
AidB	glpQ//
AlaS-L-alanine	tadA//
AllR-allantoin	atoA//ribA//guaB//accD//cysC//aroL//
AllS-allantoin	phnH//mhpC//alkA//
AlsR	uxaB//dgcN//luxS//
AppY	trpB//lysU//
AraC	astE//gntK//ilvA//
AraC-arabinose	gnd//rffG//hyaB//dgkA//fucU//murF//uvrA//glcB//
ArgP	murF//gpmM//bioF//hypF//atoD//uvrA//xylA//moeB//
ArgP-arginine	feaB//
ArgR-L-arginine	uxaC//zwf//nrdD//sodB//murE//uxaA//rbsD//murF//ulaD//frdB//aroF//glmS//gapA//purD//paaG//nemA//ynfG//purL//rutC//bioC//waaH//gcvP//argF//
ArsR	pykF//glnA//
AscG	fucO//nfsA//
AsnC	ilvD//pheS//
AtoC-Phosphorylated	appA//metE//dmsB//
BCCP	cdd//
BaeR-Phosphorylated	leuA//gadB//
BasR-Phosphorylated	moeA//rutD//dadA//
BetI	serC//malP//mltF//
BirA-biotinyl-5-adenylate	alaC//dsdA//fabI//fucK//ycjG//
BluR	
BolA	lsrK//moeA//
BtsR-Phosphorylated	moaD//
CadC	fabG//tdcD//prs//
CaiF-L-carnitine	poxB//malQ//glyA//argA//argA//
Cbl	paaE//fdhF//phnL//frdB//hycC//
CdaR	fbaB//sucB//argH//metH//gatY//cysI//kbaY//mhpF//lacZ//
CecR	purL//
ChbR	yqjH//pagP//fucI//
ChbR-N-monoacetylchitobiose-6-phosphate	nemA//argE//phnP//
ComR	
CpxR-Phosphorylated	gadB//sdhA//citX//nrfA//glk//purH//argB//accC//dhaM//prpD//asnA//ygeA//araD//rffM//acnB//glpC//sbcC//betB//galK//puuB//gatZ//
Cra	dkgA//hyaB//fabI//ftnA//gloA//hyi//metF//dkgB//caiD//gnd//tdcE//hcaB//xylB//sgbH//cyoE//pgaD//eno//metE//rpiB//ynfE//ulaD//nrdA//leuB//leuB//tktB//pyrC//gabT//entD//epd//astD//wecE//icd//alkA//putA//ilvM//polA//frdB//nfsB//nadA//purE//fbaA//argG//moeA//fabD//ycjG//glcD//trpB//sucC//atoB//iscS//mtlD//astC//nadA//bioA//murI//treC//mhpB//gltD//purB//
CreB-Phosphorylated	cyoE//mltF//
CsgD	ppc//icd//purK//gnd//garD//
CsiR	dkgB//aceB//sbcD//purD//
CspA	uxaA//
CueR-Cu	paaG//fabZ//mtlD//tdcG//gapA//
CusR-Pasp	fucK//gnd//idnK//rhaA//
CynR	
CynR-cyanate	frdA//entE//allE//
CysB	uxaA//trpE//
CysB-O-acetyl-L-serine	dhaM//yeaG//hcaD//ynfE//pyrD//ynfH//bioA//nadB//deoC//tadA//astE//deoA//glpX//waaZ//ahpF//
CytR	adhE//pfkA//fadE//cdd//frc//mhpE//entE//allA//lyxK//nrdB//
Dan-L-tartrate	entD//wzc//
DcuR-Phosphorylated	tpiA//gatZ//fbaB//rnpB//
DeoR	mazG//lpd//malY//hypB//leuB//glsA//
DhaR	fadB//
DicA	
DinJ-YafQ	yeaE//
DnaA-ATP	gltB//aspA//gabT//cyoE//tauD//alaA//
DpiA-Pasp	phnO//sucD//araA//eda//speG//
DsdC-D-serine	recF//yqhD//
EbgR	
EnvR	glgX//wzc//
EnvY	fabZ//prpD//
EvgA-Phosphorylated	pgm//oxc//narH//acnB//araD//fau//
ExuR	citD//trpB//purM//caiB//codA//hemL//
ExuR-alpha-D-galacturonate	
FabR	malZ//tadA//tyrA//
FadR	speB//nrdA//entA//entH//glpC//rtcA//argE//kbaY//cysK//ldtC//moaC//gor//gadA//fadH//glpB//rffC//purC//fbaA//ttdA//
FadR-acyl-CoA	
FeaR	atoA//hcaE//
FhlA-formate	alsE//hyi//sdhD//ogt//murE//mtlD//frdD//uxuA//
FlhDC	fau//recF//umuC//appA//paaI//gpmM//cysM//guaB//tdh//speG//argH//tdh//mnmG//murI//
FliZ	cyoE//rutA//ldtD//ynfH//srkA//
FucR-L-fuculose-1-P	recB//waaH//speB//glgX//argD//gatY//
Fur-Fe2	uidA//tdcD//uvrA//metK//sucA//hyaA//puuC//gcvP//glxK//atoA//astD//hycD//ynfF//pflB//moaE//ldtD//metL//pgi//rtcB//nfsB//pdeH//fabI//rffM//ldtB//purA//ilvA//acnA//ssuD//paaI//sbcC//puuE//fucI//amn//lacZ//torA//zwf//pdeL//tdcG//acnA//accA//sgbE//dhaK//guaB//rbsK//oxc//ampC//argB//frdB//galK//caiB//citX//yqjH//thrS//nrfA//fes//cysK//glyA//umpH//rutE//trpD//metA//nrdF//
GadE	glpB//entC//citF//glcF//ppc//pnp//gabD//tadA//ahpF//argB//
GadE-RcsB	tpiA//pagP//phnJ//dadX//wzc//
GadW	fau//dinB//glcD//eno//
GadX	glpA//deoC//adhE//aroH//napH//udp//truB//purC//sodA//phnM//rbsD//patD//trpB//purE//
GalR	glgP//arsC//talA//dgcZ//fabH//idnO//
GalR-beta-D-galactose	purE//ynfG//hmp//chbF//pgi//
GalS	prpD//xylB//dgcZ//gutQ//bioD//trpA//
GalS-beta-D-galactose	sgbH//mhpA//zwf//mhpF//lysU//
GatR	umuC//uxuB//garR//
GcvA	entE//sgbU//deoA//
