# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	mazG//xylA//
Ada	fucO//kbl//uvrB//sgbH//
AdiY	carB//ppc//gcvH//aroA//
AgaR	thrS//
AidB	uxaC//
AlaS-L-alanine	napG//
AllR-allantoin	rsmH//frdC//gudD//paaH//uvrB//speB//
AllS-allantoin	phnN//cynS//iscS//
AlsR	mngB//ogt//dgcN//
AppY	accD//lsrF//
AraC	puuD//narG//fabD//
AraC-arabinose	alkB//wecE//trpD//wzb//iscS//umuC//tdcG//fucU//
ArgP	lacZ//ynfH//fabH//cdd//tdcE//betA//ahpF//ribA//
ArgP-arginine	rffT//
ArgR-L-arginine	ccp//gpmA//gudD//dgcC//tdcB//kbaY//fucA//adiA//phnJ//glsA//argH//lyxK//eda//fadJ//speG//fruK//oxc//uxaB//alsE//rutB//alaC//sdaA//truB//
ArsR	nirB//phnI//
AscG	fabA//pyrC//
AsnC	rhaA//hycD//
AtoC-Phosphorylated	relA//astA//frdB//
BCCP	tadA//
BaeR-Phosphorylated	fucU//mhpE//
BasR-Phosphorylated	hypF//napA//gabD//
BetI	leuB//puuE//gltD//
BirA-biotinyl-5-adenylate	uvrC//alsE//ubiX//phnL//mpaA//
BluR	
BolA	folE//paaZ//
BtsR-Phosphorylated	rutB//
CadC	lacZ//pgm//metL//
CaiF-L-carnitine	tdcE//deoC//allA//melA//hypB//
Cbl	katG//dadA//gpmA//serA//kbaY//
CdaR	cysK//rutE//cysK//nrdF//pdeR//allD//gatZ//tauD//pncB//
CecR	patD//
ChbR	leuA//murG//feaB//
ChbR-N-monoacetylchitobiose-6-phosphate	nagB//rutE//ppiA//
ComR	
CpxR-Phosphorylated	ftnA//ttdA//glgB//puuE//deoD//grxA//leuD//gpmM//metH//cyoE//dmsA//hycF//caiC//citE//sbcC//dkgA//pagP//hcaF//ychF//dadA//prpB//
Cra	cysJ//fes//pheT//ulaF//cynS//mhpC//tnaA//sgbH//frc//frdD//sufS//dkgA//ilvA//fruK//xylA//murE//rffM//glgX//srlD//argC//fabG//alaS//phnL//sufS//recB//acnA//aroH//moaC//phr//nrdD//fabD//garR//nrdB//rutC//tyrB//argF//nrfC//paaY//ascB//gcvH//chbG//fadB//ppc//ubiA//fadD//hyaB//allA//gor//dmsA//rffG//aceB//glmS//pdeR//nfsB//ygeA//glsA//fadD//dgcZ//frdD//
CreB-Phosphorylated	katE//lsrK//
CsgD	alkA//carB//metF//malZ//pgm//
CsiR	ndh//fbaB//moaC//melA//
CspA	leuA//
CueR-Cu	umuD//pheT//ppiA//eno//alkA//
CusR-Pasp	asnB//nirD//pflB//arsC//
CynR	
CynR-cyanate	ttdA//malS//gltD//
CysB	rffC//dgcC//
CysB-O-acetyl-L-serine	eda//tktB//nrdA//frdB//codA//glxR//ulaF//malZ//ynfG//caiD//tpiA//pgk//gadA//gdhA//ubiX//
CytR	leuB//oxc//pagP//trpC//citG//glpA//mtlD//paaK//ilvD//eda//
Dan-L-tartrate	paaC//ychF//
DcuR-Phosphorylated	rimK//rimK//ddlB//moeB//
DeoR	paaE//nanK//xylA//hycG//lysA//cysK//
DhaR	fucA//
DicA	
DinJ-YafQ	aceA//
DnaA-ATP	galM//moaC//prs//sdaA//leuD//gabT//
DpiA-Pasp	murE//argH//dadA//gutQ//polB//
DsdC-D-serine	glgP//fucK//
EbgR	
EnvR	gcvH//paaC//
EnvY	mhpF//phr//
EvgA-Phosphorylated	deoB//entB//appA//ynfH//tyrB//sbcD//
ExuR	sufS//allE//xapA//hypB//rbsK//hypB//
ExuR-alpha-D-galacturonate	
FabR	atoA//kbaY//phnJ//
FadR	nrdB//pgi//purB//recF//glxK//paaF//ulaE//argC//kbaZ//paaK//atoA//xylB//ldtC//argA//fruK//cadA//cysN//prpD//astE//
FadR-acyl-CoA	
FeaR	tyrB//rffG//
FhlA-formate	gatZ//sucA//accC//glgB//aceA//glpB//hycG//tyrB//
FlhDC	glcB//pfkA//ung//ccp//cyoE//waaZ//pgpC//fabH//deoD//ogt//chbG//bglB//prpD//ynfG//
FliZ	sbcC//ygeA//malQ//adhE//cynT//
FucR-L-fuculose-1-P	acnB//lhgO//phnL//entH//gcl//hycF//
Fur-Fe2	psd//treC//tdcD//kbaY//paaF//katE//arsC//yfdE//sucA//umuC//srkA//accD//caiB//guaA//thrS//ilvH//dmsA//deoA//recD//rimK//murE//glgC//ssuE//cynT//ilvG_1//umuD//ruvB//uidA//wecC//paaC//lsrG//tpiA//hycF//ccp//rutE//metL//moaA//appA//torA//nadA//ppc//accA//srlD//glcD//ubiX//uxuB//dapD//fadH//hyi//ruvA//gdhA//tauD//caiB//purN//gatZ//ahpF//lpxD//phnP//tpiA//asnA//pfkA//mdh//
GadE	glpC//asnA//dapB//hypF//lysC//nadA//hycG//citE//xapA//fadH//
GadE-RcsB	nemA//sdhC//ung//entB//ulaD//
GadW	nirD//cysC//paaF//aceB//
GadX	tauD//allE//guaB//feaB//citF//paaK//hycG//ppiA//atoD//lpxD//glpB//napH//arsC//ribA//
GalR	citX//appA//dgkA//pncB//entE//aspA//
GalR-beta-D-galactose	lysC//wecB//ilvC//tam//ttdB//
GalS	paaB//ppc//glcF//gatZ//katG//hypB//
GalS-beta-D-galactose	entH//pspE//nrdD//ilvG_1//argE//
GatR	folA//wzb//ndh//
GcvA	zwf//pepD//dkgA//
GlcC-glycolate	glgB//ilvA//rtcB//
GlpR	leuD//mpl//eno//ruvB//mhpF//frdD//talA//
GlrR-Pasp56	
GntR	paaH//tdcE//puuB//xapA//srkA//murD//lpxD//fabI//nfsA//
GutM	citE//pck//purB//
HU	murE//kbaZ//dmsC//glcF//metB//sucB//leuB//
HcaR	
HcaR-HCA	cdd//ftnA//
HdfR	
HigA	cysG//
HigB-HigA	adhE//
HipAB	pagP//metB//
HipB	narH//fumC//tehB//
HprR-Phosphorylated	frdB//phnH//tnaA//mhpE//
HyfR	poxB//
HypT-Met-oxidized	citF//argF//alkB//fruK//mazG//rffT//garL//
IclR-pyruvate	rbsD//codA//ynfF//
IdnR-5-ketogluconate	wrbA//glgA//uxuA//melA//mdh//
IlvY	
IlvY-S-2-acetolactate	ilvE//
IscR	trpD//gcvH//iscS//garD//gntK//ldtD//
IscR-2Fe-2S	murE//paaB//
KdgR	ogt//rsmH//
KdpE-Phosphorylated	ssuD//
LacI	tdcD//asnB//metL//
LeuO	allB//rffH//kbl//gntK//cysI//cysE//
LexA	carB//ldtB//nanE//mnmG//ahpF//frdC//phnM//srlD//recB//leuB//dmsB//sufS//ulaG//udp//ttdA//allC//arsC//alkB//fucO//thrS//fadD//arsC//gadA//
LldR	tyrA//rhaA//
LldR-S-lactate	gabD//moaE//
LrhA	
Lrp	gcvT//pgaC//pdeH//murD//pepD//frdB//sdhC//tauD//rbsD//argE//purH//purL//pgm//hemL//galM//metK//katE//murF//entB//ynfH//moeA//serA//fabG//cdd//torA//entA//rsmH//wecB//ilvA//glpK//dacC//
Lrp-leucine	edd//dmsA//mazG//glgP//allE//narH//rtcB//aceE//nirB//gatY//fucU//argC//recD//prs//bioA//hcp//dmsA//
LsrR	uvrC//truB//purD//murI//argI//
LysR	trpA//
MalI	aldA//torC//
MalT-maltotriose-ATP	idnO//hyaA//prpC//fucI//fbaB//argA//
MarA	pykF//gntK//glk//mazG//ribA//pagP//rffC//malQ//purF//purL//dkgA//argD//puuC//dgkA//ung//folE//ccp//nadB//hypF//purK//ubiA//hcaE//melA//ruvB//
MarR	
MatA	paaI//
MazE	idnK//
MazE-MazF	uvrA//
McbR	
MelR	rffM//wrbA//
MelR-melibiose	uvrC//glmU//
MetJ-adenosylmethionine	grxA//pspE//fadH//cysD//ugpQ//caiC//ilvH//metF//fruK//xylB//
MetR	napB//glpX//
MetR-L-homocysteine	trpD//lacZ//
MhpR-3HPP	eda//tam//tam//cysN//pykF//prpD//
Mlc	nagA//ygeA//rffM//accD//
MlrA	rutA//
MngR	ndh//speA//
MntR-Mn2+	phnL//ydcS//
ModE-MoO42-	atoA//nrdD//gudD//bioF//nanK//asnB//fdhF//glmU//fabH//ynfH//relA//caiA//puuB//accD//tnaA//sbcC//pncB//
MprA	napG//araA//fucO//
MqsA	rutE//puuE//
MraZ	lpd//garR//nrdF//mhpC//bioA//paaE//pdeR//argI//ilvG_1//rffG//
MurR	gcvT//alaC//ldtB//
Nac	icd//aroH//rbsK//purM//dgcZ//sufS//pykF//frdA//citX//metH//lacZ//
NadR	pdeR//mhpB//eda//glgX//
NagC	pck//pheT//tnaA//mhpC//prpC//nrdE//xylB//ycjG//aroH//edd//bioB//fadB//glpK//cyoE//gcvP//ppc//paaI//pspE//relA//
NanR	fabG//glyA//entH//prpE//fabA//alsE//
