# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	hyaC//gcvH//
Ada	sdhC//nadA//mtlD//serA//
AdiY	oxc//thrS//gudD//sucC//
AgaR	entF//
AidB	aceB//
AlaS-L-alanine	bioF//
AllR-allantoin	umuD//rutA//lpd//pgi//fau//uxaA//
AllS-allantoin	psd//gadA//sbcC//
AlsR	cyoE//rffC//ubiX//
AppY	aroG//lysU//
AraC	lysC//aceA//ycjG//
AraC-arabinose	puuA//metA//udp//kbaY//nrfA//psd//ascB//idnK//
ArgP	sgbH//hycE//paaG//pncB//fau//ynfF//serA//ssuE//
ArgP-arginine	tdcD//
ArgR-L-arginine	cysJ//hyaB//ynfE//phnI//mazG//dsdA//yedX//wzb//speG//allE//ybjG//ubiC//ydcS//udp//glgB//argF//metK//nrfC//nfsA//tnaA//paaY//purC//treC//
ArsR	pepD//dadA//
AscG	pflB//fadA//
AsnC	cysK//astA//
AtoC-Phosphorylated	fabI//mhpC//ribA//
BCCP	allB//
BaeR-Phosphorylated	sbcD//pnp//
BasR-Phosphorylated	citG//ldtB//paaH//
BetI	hcp//nagB//rutE//
BirA-biotinyl-5-adenylate	ahpC//chbG//serC//glnA//bacA//
BluR	
BolA	waaH//betA//
BtsR-Phosphorylated	alaS//
CadC	pheT//dsdA//amn//
CaiF-L-carnitine	ftsI//wrbA//leuD//glsA//glxK//
Cbl	murC//trpD//argF//puuD//cdd//
CdaR	idnK//gcvP//rffT//udp//tyrB//aroG//wecB//glpX//tdcE//
CecR	rutE//
ChbR	recF//fau//accA//
ChbR-N-monoacetylchitobiose-6-phosphate	cyoE//sufS//hypF//
ComR	
CpxR-Phosphorylated	phnI//phnM//bioA//recB//murD//gntK//umuC//aroF//gloA//ynfE//rfe//malZ//fucK//waaH//alaS//murE//gatZ//ttdB//puuD//lsrF//fbaA//
Cra	patD//deoD//edd//frdB//galM//bioC//betA//citF//fumC//dmsC//glgX//murI//ilvA//rutD//mnmG//citG//rutC//napA//pgm//glpX//nirD//uxaB//moaD//ftsI//umpH//pnp//tdcG//uxaB//accD//citD//frdD//tyrB//speA//phnJ//yiaK//umuD//dhaK//polB//moeB//rffM//pgm//metC//luxS//sbcC//paaG//glpC//hcp//metF//ychF//folA//accD//lpd//mpl//caiD//dhaM//ugpQ//glgB//hypB//murI//
CreB-Phosphorylated	treC//rbsK//
CsgD	lacA//rfe//glpA//dadA//torC//
CsiR	hcaB//wzc//alaA//entF//
CspA	galE//
CueR-Cu	aroL//glk//mhpA//napB//paaG//
CusR-Pasp	cadA//ribA//trpA//allB//
CynR	
CynR-cyanate	tktB//nanM//astB//
CysB	fau//argB//
CysB-O-acetyl-L-serine	tpiA//deoC//nrfD//yfdE//nrdA//rnpB//idnO//pheT//paaB//truB//moeA//moaD//recD//phnL//pyrD//
CytR	fabD//ssuE//paaY//betB//fucO//nadB//pck//lpxD//fucU//ilvA//
Dan-L-tartrate	tdcE//aldA//
DcuR-Phosphorylated	ynfE//ftnA//accD//tehB//
DeoR	trpB//katG//luxS//folA//glxR//lldD//
DhaR	rutC//
DicA	
DinJ-YafQ	tdh//
DnaA-ATP	mngB//tdcE//leuA//zwf//uvrA//ung//
DpiA-Pasp	glyA//tauD//wrbA//fabA//glpA//
DsdC-D-serine	argH//ilvD//
EbgR	
EnvR	alaC//rhaA//
EnvY	cysJ//dkgA//
EvgA-Phosphorylated	glgP//fadJ//fucU//dapD//fadI//narG//
ExuR	dmsB//mhpD//eda//atoA//ahpF//ulaG//
ExuR-alpha-D-galacturonate	
FabR	nrfC//hyaC//puuE//
FadR	ttdA//fabI//lysC//tpiA//murC//uxaB//tyrA//mtlD//malS//gcvT//ahpF//phnN//atoD//gatD//narG//entC//rsmH//purC//hycE//
FadR-acyl-CoA	
FeaR	uxaC//cynS//
FhlA-formate	moeA//kbaZ//malS//sdhB//glgX//recB//ssuD//xapA//
FlhDC	nemA//ruvB//phr//xylA//sgbE//ogt//fucA//sucD//fbaB//carB//phoA//nadA//nanK//bacA//
FliZ	dgkA//atoA//hycF//yqjH//fadA//
FucR-L-fuculose-1-P	rffT//alkB//talA//cynT//amn//deoB//
Fur-Fe2	uvrA//kbl//bioA//narI//alkB//feaB//lacZ//hcaB//aroH//fucK//pykF//phnN//metB//sdhC//sgbU//glgX//pgi//ftsI//nrdB//pspE//garR//phoA//leuA//metA//leuA//puuE//paaI//mhpC//glpB//pncB//rffC//narG//fabZ//tdcD//carB//metB//trpE//ccp//araB//pnp//asnA//tyrA//citC//paaA//nanM//murF//ttdA//lacZ//hycF//ycjG//lpxC//galE//phnP//aroA//deoA//sodA//ldtD//glgX//folE//gatY//gutQ//hypB//
GadE	nrdD//ampC//relA//atoD//aceF//purE//epd//polB//gudD//galM//
GadE-RcsB	dgcC//talA//paaH//purF//purE//
GadW	bioC//phnO//napG//hypF//
GadX	moaC//atoD//fucK//cysC//betA//ampC//glpK//caiA//cysG//ilvI//phnJ//uidA//prpC//fabA//
GalR	citC//trpA//ulaF//lsrG//dacC//hyaA//
GalR-beta-D-galactose	hyi//araB//pgm//hcaE//aroH//
GalS	gor//ilvA//purN//sufS//wzc//sdhA//
GalS-beta-D-galactose	ssuD//ynfE//prpB//gnd//appA//
GatR	pgpC//murE//leuD//
GcvA	cysI//hycB//ccp//
GlcC-glycolate	hcp//talA//paaY//
GlpR	rfe//araD//caiB//rutB//dhaK//waaH//mraY//
GlrR-Pasp56	
GntR	waaH//glk//hyaA//dacC//polA//hycF//alaA//paaK//glk//
GutM	oxc//moeB//malP//
HU	ahpC//zwf//fucK//leuA//sdaA//ftsI//tnaA//
HcaR	
HcaR-HCA	kbaZ//aroA//
HdfR	
HigA	murG//
HigB-HigA	garD//
HipAB	allA//edd//
HipB	paaH//gor//putA//
HprR-Phosphorylated	uxuB//betA//pyrC//metL//
HyfR	garD//
