# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	ugpQ//nfsB//
Ada	rhaD//tnaA//kbaZ//mhpA//
AdiY	rutC//bacA//gltB//garD//
AgaR	argG//
AidB	fadJ//
AlaS-L-alanine	galE//
AllR-allantoin	fadB//nanE//dgcC//tdcG//cysH//citC//
AllS-allantoin	fumB//chbG//rsmH//
AlsR	pncB//fumC//dmsA//
AppY	slt//prpD//
AraC	purN//alkB//malS//
AraC-arabinose	ubiA//lacZ//udp//kbl//murF//argC//tdcB//murG//
ArgP	tpiA//sgbH//fadH//tnaA//dapD//srkA//sodB//avtA//
ArgP-arginine	pgk//
ArgR-L-arginine	phnL//gatZ//murI//paaH//glcD//cueO//ldtB//glpK//accC//acnA//araA//entB//dhaL//paaH//pheS//glpX//gdhA//pgaD//sodB//fbaB//glpB//wecB//pyrC//
ArsR	mpl//pncB//
AscG	pncB//phnO//
AsnC	ruvB//wzb//
AtoC-Phosphorylated	fabA//edd//uvrC//
BCCP	rffC//
BaeR-Phosphorylated	speA//ygeA//
BasR-Phosphorylated	ahpC//bglB//feaB//
BetI	alaS//ada//pspE//
BirA-biotinyl-5-adenylate	trpB//entC//thrS//tynA//edd//
BluR	
BolA	tdcD//ppsA//
BtsR-Phosphorylated	uvrC//
CadC	waaZ//ogt//melA//
CaiF-L-carnitine	deoB//metB//tnaA//ycjG//caiD//
Cbl	sucC//astB//bioC//cysJ//betB//
CdaR	deoA//paaE//fadJ//entD//leuC//atoB//purB//malY//guaA//
CecR	tdcD//
ChbR	phoA//gcvP//malS//
ChbR-N-monoacetylchitobiose-6-phosphate	hycE//speA//glgP//
ComR	
CpxR-Phosphorylated	wecE//gadB//epd//ldtD//gcvT//betB//pdeL//adiA//ampC//gabD//gabT//pyrD//lpxC//lhgO//guaB//allB//trpB//glpK//grxA//mpaA//dmsB//
Cra	argC//nrfC//atoB//gpmM//napA//zwf//pyrD//cysG//dkgA//polB//waaH//phnM//murC//uxaA//hyaB//katE//leuC//atoD//cysN//waaH//gcvP//citD//napH//speB//trpE//lysU//metF//ccp//cysN//speG//glpQ//gpmA//glpB//puuA//pheS//alsE//ulaD//pgaC//dadX//rimK//purK//sgbH//glcE//dgcC//glgX//fadD//phnO//aceE//rutE//citX//cyoE//mhpC//glgX//metE//nrfC//rhaB//gadB//garR//lyxK//
CreB-Phosphorylated	ilvE//leuC//
CsgD	alaS//hycE//rbsD//recF//pagP//
CsiR	pykF//lldD//cysC//ampC//
CspA	garR//
CueR-Cu	sgbH//mtlD//purL//hyaB//fumB//
CusR-Pasp	pck//accD//lysA//cysC//
CynR	
CynR-cyanate	ybjG//cueO//allE//
CysB	ppiA//dadA//
CysB-O-acetyl-L-serine	ogt//xylB//fabD//garR//pagP//serA//puuC//serC//talA//pheT//allB//adiA//hycE//glgP//tynA//
CytR	glgA//deoB//melA//fucU//dacC//argF//ugpQ//ung//nfsA//citE//
Dan-L-tartrate	gdhA//fadA//
DcuR-Phosphorylated	hycF//metL//allA//ahpF//
DeoR	gabT//murE//phr//tnaA//prpE//narH//
DhaR	ynfF//
DicA	
DinJ-YafQ	glcD//
DnaA-ATP	phnI//mhpA//mhpF//garK//nrfC//gltD//
DpiA-Pasp	pflB//treC//frdA//glmU//galK//
DsdC-D-serine	gltB//aroL//
EbgR	
EnvR	glpD//ttdA//
EnvY	ppsA//ygeA//
EvgA-Phosphorylated	nrfC//gpmM//sdhC//dgcN//wzb//glcE//
ExuR	gutQ//rsmH//hyi//garD//guaA//fabG//
ExuR-alpha-D-galacturonate	
FabR	ygeA//melA//paaA//
FadR	rffT//prpD//dsdA//pnp//hycG//leuA//umuC//folA//aspC//ybjG//paaB//ssuE//acnB//rhaB//ssuE//arsC//citX//pspE//mnmG//
FadR-acyl-CoA	
FeaR	pncB//puuD//
