# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	dapB//dgkA//
Ada	cysD//talA//tehB//rffG//
AdiY	moaD//purD//gpmM//galK//
AgaR	rffM//
AidB	aroA//
AlaS-L-alanine	katG//
AllR-allantoin	fadI//sucB//lsrG//idnK//leuA//aceA//
AllS-allantoin	torC//paaJ//malS//
AlsR	galE//ydcS//tehB//
AppY	metA//astC//
AraC	purH//fadB//mnmG//
AraC-arabinose	ascB//purF//glpQ//rhaA//fucI//caiB//metA//sgbH//
ArgP	fabD//tpiA//folA//metC//glxR//cysK//fabB//ilvA//
ArgP-arginine	ychF//
ArgR-L-arginine	pgm//nirD//ftsI//leuD//leuD//mdh//argC//ybjG//sdhB//entD//pykF//gpmA//torC//recD//hycD//nrfA//slt//gatD//glpD//slt//sgbE//purM//psd//
ArsR	sbcD//ycjG//
AscG	purA//tdcD//
AsnC	ddlB//bacA//
AtoC-Phosphorylated	bioA//entB//ubiC//
BCCP	garK//
BaeR-Phosphorylated	aroG//oxc//
BasR-Phosphorylated	cynS//ccp//wecC//
BetI	hyaB//allB//malQ//
BirA-biotinyl-5-adenylate	pheT//trpE//nrdE//pfkA//napB//
BluR	
BolA	puuC//uxuA//
BtsR-Phosphorylated	fucU//
CadC	rnpB//dkgA//xylB//
CaiF-L-carnitine	entF//dapD//trpB//feaB//phnP//
Cbl	ilvG_1//ynfE//lpxD//argI//ilvE//
CdaR	argG//cysI//allD//lldD//wrbA//pyrD//lsrK//deoA//glcF//
CecR	glpQ//
ChbR	bioC//fadH//dgkA//
ChbR-N-monoacetylchitobiose-6-phosphate	phnN//glcF//aceB//
ComR	
CpxR-Phosphorylated	astE//garD//garK//nfsA//cysK//napH//rutA//aroH//dgkA//rutE//astB//ygeA//polA//rbsK//lldD//phnJ//murI//prpD//mdh//aspC//sdhB//
Cra	ynfF//pnp//ilvM//argG//ldtD//sucA//gdhA//ftsI//moaA//paaG//gloA//citX//ynfH//leuA//nirD//phr//phnH//ccp//purH//dmsC//glpA//xylA//polA//garR//phnL//glpK//fabB//rimK//lyxK//nirB//pdeL//caiA//polB//garL//nfsB//glxK//frdC//cysD//tadA//rutD//guaA//metA//pepD//napG//tdcB//glyA//murC//glxK//nadA//glcB//glsA//deoD//guaB//dkgA//purH//gabD//murE//uxuA//paaA//
CreB-Phosphorylated	hyaC//astA//
CsgD	astD//astB//kbl//yeaE//idnK//
CsiR	yiaK//ilvM//garL//pgaB//
CspA	folE//
CueR-Cu	katE//fdhF//purB//epd//speB//
CusR-Pasp	recB//uvrA//sucA//fucA//
CynR	
CynR-cyanate	ndh//atoB//atoB//
CysB	ulaG//fabA//
CysB-O-acetyl-L-serine	glxR//metA//dadX//ahpC//bglB//astD//hcaC//rutD//hycE//narG//ilvC//fabH//dhaK//tyrA//wzc//
CytR	aspA//atoD//deoD//pdeH//thrS//entF//araD//uidA//fabD//pgpC//
Dan-L-tartrate	sbcC//ribA//
DcuR-Phosphorylated	purE//ssuE//fau//metA//
DeoR	eda//speG//allB//glgP//gatY//rhaD//
DhaR	lpxD//
DicA	
DinJ-YafQ	tdcG//
DnaA-ATP	puuE//sucC//murI//puuD//lpxA//lsrG//
DpiA-Pasp	sucC//yeaG//alkB//sufS//waaZ//
DsdC-D-serine	malQ//purL//
EbgR	
EnvR	gpmA//gor//
EnvY	sgbU//sdaA//
EvgA-Phosphorylated	ycjG//galT//deoD//frdD//fadB//lysU//
ExuR	trpD//fucO//glpA//leuD//lldD//puuE//
ExuR-alpha-D-galacturonate	
FabR	ynfG//paaF//astD//
FadR	glpB//ppsA//ubiA//pncB//nrdD//moeA//gpmM//lysU//appA//ynfE//astA//fadD//allB//fabB//entE//lsrK//entB//treC//gpmA//
FadR-acyl-CoA	
FeaR	ldtD//citD//
FhlA-formate	mnmG//katE//malP//chbF//murE//srlD//gor//gdhA//
FlhDC	gdhA//malZ//puuB//katG//sdhD//ribA//ccp//fucK//glcB//rimK//deoA//lldD//glpD//aspA//
FliZ	ulaE//ulaD//accC//caiA//umuC//
FucR-L-fuculose-1-P	pdeL//garD//uxuA//argF//fumC//fdhF//
Fur-Fe2	lsrF//alaS//sucD//fabD//napG//yiaK//fabI//gltB//tehB//ilvM//rutA//fes//murD//citD//argC//polB//sdhD//puuB//hypB//speA//gnd//pagP//narH//purC//thrS//rffC//paaC//wecC//cysH//purH//putA//allD//galM//xylB//ampC//rutB//cysG//sucD//bioC//paaI//nirD//leuD//zwf//melA//dadX//fabB//pykF//ulaF//sgbU//astD//deoD//lacZ//amn//paaH//lldD//ulaG//hcaF//hycG//glxR//cysG//ugpQ//ilvI//
GadE	metL//ruvB//murG//fadM//grxA//fdhF//astA//phnJ//sbcC//ppc//
GadE-RcsB	leuA//ilvI//allE//ynfF//kbaZ//
GadW	cysG//cysN//phnM//accA//
