# From /Users/Daniela/Documents/CCG/extended_gus/TFs_RegDB/scripts/all_TRN_enzymes.pl on Mon May 14 12:52:16 2018
# f1 > Enzyme Ecocyc ID
# f2 > Enzyme gene name
# f3 > Reaction Ecocyc ID
EG10016	garL	KDGALDOL-RXN//
EG10022	aceA	ISOCIT-CLEAV-RXN//
EG10023	aceB	MALSYN-RXN//
EG10024	aceE	RXN-12583//RXN-12508//PYRUVDEH-RXN//RXN0-1134//RXN0-1134//RXN0-1133//RXN0-1132//
EG10025	aceF	PYRUVDEH-RXN//RXN0-1134//RXN0-1133//RXN0-1133//RXN0-1132//
EG10027	ackA	PROPKIN-RXN//ACETATEKIN-RXN//
EG10029	ada	2.1.1.63-RXN//
EG10031	adhE	ALCOHOL-DEHYDROG-RXN//ALCOHOL-DEHYDROG-GENERIC-RXN//ACETALD-DEHYDROG-RXN//
EG10033	agp	RXN0-1001//GLUCOSE-1-PHOSPHAT-RXN//
EG10034	alaS	ALANINE--TRNA-LIGASE-RXN//
EG10035	aldA	LACTALDDEHYDROG-RXN//GLYCOLALD-DEHYDROG-RXN//
EG10036	puuC	RXN0-5455//RXN0-3922//
EG10037	alkB	RXN-12353//RXN0-986//RXN0-985//RXN0-984//
EG10039	amn	AMP-NUCLEOSID-RXN//
EG10041	ampD	RXN0-5225//
EG10046	ansB	ASPARAGHYD-RXN//
EG10049	appA	RXN-10940//RXN0-5462//
EG10052	araA	ARABISOM-RXN//
EG10053	araB	RXN0-5116//
EG10055	araD	RIBULPEPIM-RXN//
EG10063	argA	N-ACETYLTRANSFER-RXN//
EG10064	argB	ACETYLGLUTKIN-RXN//
EG10065	argC	N-ACETYLGLUTPREDUCT-RXN//
EG10066	argD	ACETYLORNTRANSAM-RXN//SUCCINYLDIAMINOPIMTRANS-RXN//
EG10067	argF	ORNCARBAMTRANSFER-RXN//
EG10068	argG	ARGSUCCINSYN-RXN//
EG10069	argI	ORNCARBAMTRANSFER-RXN//
EG10073	aroA	2.5.1.19-RXN//
EG10078	aroF	DAHPSYN-RXN//
EG10079	aroG	DAHPSYN-RXN//
EG10080	aroH	DAHPSYN-RXN//
EG10082	aroL	SHIKIMATE-KINASE-RXN//
EG10085	ascB	6-PHOSPHO-BETA-GLUCOSIDASE-RXN//RXN0-5295//
EG10095	aspA	ASPARTASE-RXN//
EG10096	aspC	PHEAMINOTRANS-RXN//CYSTEINE-AMINOTRANSFERASE-RXN//ASPAMINOTRANS-RXN//2.6.1.7-RXN//TYROSINE-AMINOTRANSFERASE-RXN//
EG10107	avtA	VALINE-PYRUVATE-AMINOTRANSFER-RXN//RXN0-5200//
EG10109	betA	CHD-RXN//
EG10110	betB	BADH-RXN//
EG10114	bglB	6-PHOSPHO-BETA-GLUCOSIDASE-RXN//RXN0-5297//RXN0-5295//
EG10117	bioA	DAPASYN-RXN//
EG10118	bioB	2.8.1.6-RXN//
EG10119	bioC	RXN-11475//
EG10120	bioD	DETHIOBIOTIN-SYN-RXN//
EG10121	bioF	RXN-11484//7KAPSYN-RXN//
EG10131	cadA	LYSDECARBOX-RXN//
EG10134	carA	RXN-13202//CARBPSYN-RXN//GLUTAMIN-RXN//
EG10135	carB	RXN-13202//CARBPSYN-RXN//GLUTAMIN-RXN//
EG10137	cdd	CYTIDEAM2-RXN//CYTIDEAM-RXN//
EG10144	chbF	6-PHOSPHO-BETA-GLUCOSIDASE-RXN//RXN0-7002//
EG10147	cheB	MCPMETEST-RXN//CHEBDEAMID-RXN//
EG10148	cheR	CHER-RXN//
EG10153	moeA	RXN-8348//
EG10154	moeB	RXN-11361//
EG10160	cpdB	RXN-14126//RXN-14124//RXN-14115//RXN-14113//RXN-14112//RXN-14091//RXN-14090//RXN-14064//CYCPHOSDIESTER-RXN//3-NUCLEOTID-RXN//
EG10170	cyaA	ADENYLATECYC-RXN//
EG10175	cynS	R524-RXN//RXN-12893//
EG10176	cynT	RXN0-5224//
EG10182	cyoE	HEMEOSYN-RXN//
EG10185	cysC	ADENYLYLSULFKIN-RXN//
EG10186	cysD	SULFATE-ADENYLYLTRANS-RXN//
EG10188	cysG	RXN-8675//RXN-13403//DIMETHUROPORDEHYDROG-RXN//UROPORIIIMETHYLTRANSA-RXN//SIROHEME-FERROCHELAT-RXN//
EG10189	cysH	1.8.4.8-RXN//
EG10190	cysI	SULFITE-REDUCT-RXN//
EG10191	cysJ	NADPH-DEHYDROGENASE-FLAVIN-RXN//SULFITE-REDUCT-RXN//
EG10192	cysK	RXN-15129//LCYSDESULF-RXN//ACSERLY-RXN//
EG10193	cysM	RXN-15129//LCYSDESULF-RXN//ACSERLY-RXN//
EG10194	cysN	SULFATE-ADENYLYLTRANS-RXN//
EG10206	dapB	RXN-14014//
EG10207	dapD	TETHYDPICSUCC-RXN//
EG10219	deoA	URA-PHOSPH-RXN//THYM-PHOSPH-RXN//
EG10220	deoB	PPENTOMUT-RXN//D-PPENTOMUT-RXN//
EG10221	deoC	DEOXYRIBOSE-P-ALD-RXN//
EG10222	deoD	PNP-RXN//INOPHOSPHOR-RXN//DEOXYINOPHOSPHOR-RXN//DEOXYGUANPHOSPHOR-RXN//DEOXYADENPHOSPHOR-RXN//ADENPHOSPHOR-RXN//RXN0-5199//
EG10232	dmsA	DIMESULFREDUCT-RXN//
EG10233	dmsB	DIMESULFREDUCT-RXN//
EG10234	dmsC	DIMESULFREDUCT-RXN//
EG10238	dnaE	DNA-DIRECTED-DNA-POLYMERASE-RXN//
EG10249	dsdA	RXN-15581//DSERDEAM-RXN//
EG10256	eda	RXN-13990//OXALODECARB-RXN//KDPGALDOL-RXN//
EG10257	edd	PGLUCONDEHYDRAT-RXN//
EG10259	entA	DHBDEHYD-RXN//
EG10260	entB	ENTG-RXN//ISOCHORMAT-RXN//RXN0-6442//ENTMULTI-RXN//ENTF-RXN//DHBAMPLIG-RXN//RXN-15891//RXN-15890//
EG10261	entC	ISOCHORSYN-RXN//
EG10262	entD	RXN-15889//ENTG-RXN//RXN0-6442//ENTMULTI-RXN//ENTF-RXN//ENTDB-RXN//DHBAMPLIG-RXN//RXN-15891//RXN-15890//
EG10263	entE	ENTG-RXN//RXN0-6442//RXN0-6442//ENTMULTI-RXN//ENTF-RXN//DHBAMPLIG-RXN//DHBAMPLIG-RXN//RXN-15891//RXN-15890//RXN0-5208//
EG10264	entF	ENTG-RXN//ENTG-RXN//RXN0-6442//ENTMULTI-RXN//ENTF-RXN//ENTF-RXN//DHBAMPLIG-RXN//RXN-15891//RXN-15891//RXN-15890//RXN-15890//
EG10278	fadA	RXN-14394//KETOACYLCOATHIOL-RXN//
EG10279	fadB	RXN-7931//RXN-14393//OHBUTYRYL-COA-EPIM-RXN//OHACYL-COA-DEHYDROG-RXN//ENOYL-COA-HYDRAT-RXN//ENOYL-COA-DELTA-ISOM-RXN//RXN0-5393//RXN0-5391//
EG10282	fbaA	F16ALDOLASE-RXN//SEDOBISALDOL-RXN//
EG10285	fdhF	RXN0-3281//FHLMULTI-RXN//
EG10299	fes	RXN0-1661//RXN-14479//RXN-14478//RXN-14477//RXN0-6938//
EG10316	lpxD	UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN//
EG10326	folA	DIHYDROFOLATEREDUCT-RXN//
EG10330	frdA	R601-RXN//
EG10331	frdB	R601-RXN//
EG10332	frdC	R601-RXN//
EG10333	frdD	R601-RXN//
EG10348	fucA	FUCPALDOL-RXN//DARABALDOL-RXN//
EG10349	fucI	FUCISOM-RXN//DARABISOM-RXN//
EG10350	fucK	FUCULOKIN-RXN//DARABKIN-RXN//
EG10351	fucO	LACTALDREDUCT-RXN//GLYCOLALDREDUCT-RXN//
EG10355	fucU	RXN0-5298//
EG10356	fumA	OXALOACETATE-TAUTOMERASE-RXN//FUMHYDR-RXN//
EG10357	fumB	FUMHYDR-RXN//D--TARTRATE-DEHYDRATASE-RXN//
EG10358	fumC	FUMHYDR-RXN//
EG10361	gabT	GABATRANSAM-RXN//ACETYLORNTRANSAM-RXN//
EG10362	galE	UDPGLUCEPIM-RXN//
EG10363	galK	GALACTOKIN-RXN//
EG10366	galT	GALACTURIDYLYLTRANS-RXN//
EG10367	gapA	GAPOXNPHOSPHN-RXN//
EG10368	epd	ERYTH4PDEHYDROG-RXN//
EG10369	gcd	RXN0-6373//
EG10371	gcvH	GCVMULTI-RXN//RXN-8629//GCVT-RXN//GCVP-RXN//
EG10372	gdhA	GLUTDEHYD-RXN//
EG10377	glgA	GLYCOGENSYN-RXN//
EG10378	glgB	GLYCOGEN-BRANCH-RXN//
EG10379	glgC	GLUC1PADENYLTRANS-RXN//
EG10380	glgP	GLYCOPHOSPHORYL-RXN//
EG10381	glgX	RXN0-5146//
EG10383	glnA	GLUTAMINESYN-RXN//
EG10391	glpA	RXN-15740//
EG10392	glpB	RXN-15740//
EG10393	glpC	RXN-15740//
EG10394	glpD	RXN0-5260//
EG10395	glpE	THIOSULFATE-SULFURTRANSFERASE-RXN//
