# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	citD//allA//
Ada_neg	fadB//napA//
Ada_pos	ppsA//carB//speB//uvrC//
AdiY_pos	srkA//aceB//lysC//bacA//
AgaR_neg	aroH//
AidB_neg	uidA//
AlaS-L-alanine_neg	pepD//
AllR-allantoin_neg	mhpA//murG//pspE//trpE//napA//ybjG//
AllS-allantoin_pos	cdd//sbcC//recD//
AlsR_neg	mngB//alaC//narI//
AppY_pos	srkA//tauD//
AraC-arabinose_neg	ydcS//hyi//sdhC//ahpF//dhaK//
AraC-arabinose_pos	dgcC//purK//hyaC//nfsA//glgX//leuD//
AraC_neg	gadA//dapB//nrdA//
AraC_pos	bioB//hemH//murF//
ArgP-arginine_neg	
ArgP-arginine_pos	moaD//
ArgP_pos	glyA//malY//murC//ttdB//sucB//sucD//glpC//sufS//
ArgR-L-arginine_neg	fabH//yeaE//tdcE//nrdA//frdA//malZ//sucD//ynfE//hcaE//rimK//sgbU//gabT//dmsA//bglB//uidA//uidA//gloA//hcaE//
ArgR-L-arginine_pos	nrfD//wzc//sdhC//tnaA//murF//
ArsR_neg	rutE//gloA//
AscG_neg	metK//tyrB//
AsnC_neg	moaD//
AsnC_pos	tdcB//
AtoC-Phosphorylated_pos	mltF//fadI//trpC//
BCCP_neg	sucA//
BaeR-Phosphorylated_pos	speG//oxc//
BasR-Phosphorylated_neg	murI//
BasR-Phosphorylated_pos	moeB//oxc//
BetI_neg	glgX//caiB//mhpB//
BirA-biotinyl-5-adenylate_neg	pgi//nrfA//astE//ynfG//dsdA//
BluR_neg	
BolA_neg	wecE//nfsA//
BolA_pos	glpA//treC//
BtsR-Phosphorylated_pos	eda//
CadC_pos	glpB//ccp//lsrK//
CaiF-L-carnitine_pos	tktB//rbsD//glcE//yiaK//uxaA//
Cbl_pos	aroH//lysC//sucC//garL//napB//
CdaR_pos	malS//aroF//cysH//dhaK//dapD//hcaD//lpd//fucA//sufS//
CecR_neg	fucA//
ChbR-N-monoacetylchitobiose6-phosphate_neg	fadI//asnB//ttdA//
ChbR-N-monoacetylchitobiose6-phosphate_pos	umuC//galE//fucI//
ChbR_neg	gdhA//umpH//murQ//
ChbR_pos	aceE//pheT//glpD//
ComR_neg	
CpxR-Phosphorylated_neg	citE//argB//ahpF//
CpxR-Phosphorylated_pos	lpxD//sgbU//gatZ//purK//dhaL//frc//mhpF//folE//nrfA//uxuA//glnA//tyrB//argH//napG//recF//nrfC//hycD//yiaK//
Cra_neg	hcaB//wecB//katE//moaC//paaJ//ahpF//umuD//malP//torC//lhgO//fabZ//sbcC//fucA//glpD//hcaC//wrbA//fumB//glk//cysM//rutD//wecB//cueO//phnP//deoA//lhgO//allD//araB//nirD//argF//ttdB//dmsB//prpD//waaZ//entF//gltB//hycB//paaH//dgcZ//rpiB//hycF//nrfD//yqhD//pfkA//ynfF//dapD//
Cra_pos	gadA//cyoE//nfsB//xylA//gloA//argI//hcaE//thrS//rutD//fabD//accC//argE//glgP//ascB//idnO//relA//lpxC//
CreB-Phosphorylated_neg	xylA//
CreB-Phosphorylated_pos	allA//
CsgD_neg	yqhD//speG//
CsgD_pos	gabD//eno//prpE//
CsiR_neg	alkA//argE//dgcN//mdh//
CspA_pos	rutE//
CueR-Cu_neg	pfkA//pyrC//speB//
CueR-Cu_pos	murF//paaE//
CusR-Pasp_pos	fadM//cysM//accD//rbsK//
CynR-cyanate_pos	cysM//leuD//pgaD//
CynR_neg	
CysB-O-acetyl-L-serine_neg	pck//eda//waaZ//
CysB-O-acetyl-L-serine_pos	psd//gutQ//ydcS//tdcE//gntK//cadA//ftsI//bglB//ahpF//uxaC//moeA//ndh//
CysB_neg	
CysB_pos	glpQ//hyi//
CytR_neg	ynfG//nrdA//nanE//metA//araD//moeB//fucO//citC//betB//gadB//
Dan-L-tartrate_pos	deoA//asnA//
DcuR-Phosphorylated_pos	frdA//thrS//purF//hyaA//
DeoR_neg	patA//glpK//pyrC//psd//caiB//uvrB//
DhaR_neg	
DhaR_pos	ybjG//
DicA_neg	
DinJ-YafQ_neg	sgbU//
DnaA-ATP_neg	alaC//alaC//wecE//fdhF//purA//
DnaA-ATP_pos	alaS//ccp//cyoE//
DpiA-Pasp_neg	
DpiA-Pasp_pos	appA//accC//metB//ynfH//argD//
DsdC-D-serine_neg	
DsdC-D-serine_pos	waaH//glcD//
EbgR_neg	
EnvR_neg	lhgO//edd//
EnvY_pos	malY//ppsA//
EvgA-Phosphorylated_pos	argG//metK//thrS//thrS//dkgA//gudD//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	prpC//pgk//tdcG//bioA//prpC//fabZ//
FabR_neg	fadM//talA//nrdF//
FadR-acyl-CoA_pos	
FadR_neg	uvrC//hcaE//fucK//rfe//ppc//sucD//mnmG//leuD//lsrG//
FadR_pos	dmsA//astB//astB//dsdA//trpA//fadJ//speG//yqjH//xylA//cadA//
FeaR_pos	zwf//tdcD//
FhlA-formate_pos	fau//frc//sgbH//ilvC//bioF//argC//rfe//accD//
FlhDC_neg	glnA//araB//
FlhDC_pos	puuB//gadB//mdh//pgi//paaY//purM//pdeL//ulaD//gatD//puuC//gnd//galK//
FliZ_neg	moaE//entB//dgcN//adiA//ttdA//
FucR-L-fuculose-1-P_pos	mngB//citC//glgX//putA//fadD//tnaA//
Fur-Fe2_neg	purL//napA//pgpC//astB//ldtD//hemH//phoA//ung//serA//metK//acnA//pyrC//recB//dinB//gadB//cysN//atoD//gnd//cysE//glxK//ruvA//uidA//mazG//caiA//cysD//nadB//gcvH//rutA//rimK//nrfC//bioB//hcaD//ynfF//bacA//betB//carA//yeaG//yedX//mltF//nrfA//entH//murE//metB//purH//polA//phnG//truB//gadA//sucC//recB//glcE//rtcB//paaA//
Fur-Fe2_pos	rimK//hemL//ppiA//lsrG//metH//srlD//trpB//sdhC//puuC//sodB//leuC//cysN//phnP//pheT//ttdA//fucK//
GadE-RcsB_pos	ychF//pfkA//nagB//paaB//paaY//
GadE_pos	allB//astA//sucA//glgB//cueO//narG//codA//cyoE//ttdB//sbcD//
GadW_neg	glpB//truB//glgX//
GadW_pos	glmS//trpD//ynfH//asnA//
GadX_neg	pheS//bglB//aceA//
GadX_pos	waaY//speB//caiB//uxaA//hcaB//fucA//wecC//atoB//sdhA//citC//wzc//
GalR-beta-D-galactose_neg	treC//entH//pheS//nanA//pgi//
GalR-beta-D-galactose_pos	trpC//glgB//allB//allD//
GalR_neg	ttdA//pnp//yeaG//rhaA//xylA//umuD//
GalR_pos	nadA//srlD//galK//relA//
GalS-beta-D-galactose_neg	rbsK//nrdD//ynfE//fucI//mdh//
GalS-beta-D-galactose_pos	malY//glxK//metA//hycF//
GalS_neg	astC//puuC//mdh//pepD//gadB//hemH//
GalS_pos	gudD//citF//nrfD//carA//
GatR_neg	pgm//murE//puuB//
GcvA_neg	argB//pnp//pgaB//
GcvA_pos	glyA//pfkA//phnN//
GlcC-glycolate_neg	
GlcC-glycolate_pos	thrS//tdcE//murI//
GlpR_neg	fadE//guaB//adhE//caiC//fadE//atoA//fabA//
GlrR-Pasp56_pos	
GntR_neg	tnaA//allE//sgbH//eno//pheT//moaA//fadM//ugpQ//cysK//
GutM_pos	talA//nrfA//bioA//
HU_neg	accA//hycE//hcp//mazG//dkgB//galE//rbsD//
HU_pos	
HcaR-HCA_pos	polA//paaA//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	pgm//
HigB-HigA_neg	pnp//
HipAB_neg	trpC//leuB//
HipB_neg	fucU//argI//gcl//
HprR-Phosphorylated_neg	fes//uvrB//
HprR-Phosphorylated_pos	ulaD//gltB//
HyfR_pos	caiA//
HypT-Met-oxidized_neg	ttdB//hycD//
HypT-Met-oxidized_pos	paaJ//ynfF//leuA//tehB//purE//
IclR-pyruvate_neg	galM//sdhC//thrS//
IdnR-5-ketogluconate_neg	lacA//wzc//
IdnR-5-ketogluconate_pos	waaY//hyi//ulaE//
IlvY-2-acetolactate_pos	argC//
IlvY_neg	
IscR-2Fe-2S_neg	argA//aroH//
IscR_neg	sucB//torA//metB//speA//
IscR_pos	acnB//talA//
KdgR_neg	alkB//ssuD//
KdpE-Phosphorylated_pos	aldA//
LacI_neg	ulaE//deoC//dsdA//
LeuO_neg	
LeuO_pos	poxB//ygeA//argD//pck//alaS//rfe//
LexA_neg	fabA//aceA//gapA//dapD//entC//cysE//recF//ogt//glpC//glk//paaY//lpxA//malQ//galE//aroF//katG//phnJ//folA//hycD//lyxK//ygeA//oxc//astD//
LldR-lactate_neg	gpmM//bacA//
LldR-lactate_pos	fadE//dkgB//
LldR_neg	tyrB//ulaE//
LldR_pos	eno//rffM//
LrhA_neg	
LrhA_pos	
LsrR_neg	srlD//lpxC//allD//sodA//murE//
LysR_neg	
LysR_pos	pgaD//
MalI_neg	argI//nanA//
MalT-maltotriose-ATP_pos	garK//ychF//cysC//yedX//malS//glcE//
MarA_neg	citD//
MarA_pos	entA//uxaC//dmsC//mnmG//purA//glsA//nrfD//mpaA//polB//fabB//puuD//ppc//pnp//glgA//entD//citX//argD//truB//glpC//glgA//eno//entC//deoC//
MarR_neg	
MatA_neg	fbaA//
MatA_pos	
MazE-MazF_neg	zwf//
MazE_neg	prpD//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	polA//ubiA//
MelR-melibiose_pos	glk//nrdA//
MelR_neg	atoA//paaK//
MelR_pos	narG//napG//
