# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ubiX//glk//
Ada_neg	ynfG//uvrA//
Ada_pos	fabA//hcp//glpC//ruvA//
AdiY_pos	srlD//carA//rbsD//waaH//
AgaR_neg	aroH//
AidB_neg	fucO//
AlaS-L-alanine_neg	fau//
AllR-allantoin_neg	argE//polB//ppiA//rutE//fucO//ychF//
AllS-allantoin_pos	gudD//dmsC//gltB//
AlsR_neg	paaK//aroL//fadA//
AppY_pos	murG//sodA//
AraC-arabinose_neg	napH//puuB//tauD//gpmA//rtcA//
AraC-arabinose_pos	ycjG//gnd//umuD//glcE//glgC//adiA//
AraC_neg	rhaA//tdcG//frdC//
AraC_pos	tynA//malP//metH//
ArgP-arginine_neg	
ArgP-arginine_pos	speA//
ArgP_pos	argA//uvrA//thrS//wzb//atoA//srlD//deoB//alaS//
ArgR-L-arginine_neg	caiB//hycB//metK//fabA//accD//ldtC//nfsA//hcaB//pykF//metH//wzc//mhpD//phnO//entH//melA//alaS//allD//purB//
ArgR-L-arginine_pos	hycB//galK//araD//sufS//leuB//
ArsR_neg	moaC//guaB//
AscG_neg	citF//sbcC//
AsnC_neg	rfe//
AsnC_pos	entF//
AtoC-Phosphorylated_pos	gntK//entB//uidA//
BCCP_neg	ttdA//
BaeR-Phosphorylated_pos	cynT//citX//
BasR-Phosphorylated_neg	relA//
BasR-Phosphorylated_pos	codA//paaH//
BetI_neg	deoA//caiB//ahpF//
BirA-biotinyl-5-adenylate_neg	hcaB//gadA//allC//rffM//ahpF//
BluR_neg	
BolA_neg	ttdA//murD//
BolA_pos	rhaB//galE//
BtsR-Phosphorylated_pos	fucA//
CadC_pos	gcvP//sgbH//phnN//
CaiF-L-carnitine_pos	melA//pgpC//uxaB//fabB//sodB//
Cbl_pos	garL//ybjG//polB//malY//bioF//
CdaR_pos	pheT//malY//ttdA//fucO//ubiC//puuE//metK//alsE//lpxC//
CecR_neg	cysM//
ChbR-N-monoacetylchitobiose6-phosphate_neg	tadA//rhaA//idnK//
ChbR-N-monoacetylchitobiose6-phosphate_pos	allA//tdcE//idnO//
ChbR_neg	fadH//bioB//sodB//
ChbR_pos	entE//cysK//ruvB//
ComR_neg	
CpxR-Phosphorylated_neg	fadE//lsrK//tam//
CpxR-Phosphorylated_pos	cdd//nanK//phnL//pspE//hypB//glpQ//metL//cysH//lsrK//lsrG//umuD//lysA//purK//ubiA//ubiC//uxaA//fumB//rbsK//
Cra_neg	uxuA//talA//lldD//alaS//allD//sucB//patA//cysI//cysJ//pykF//galE//aceE//guaB//atoD//hcaB//argH//tyrB//hmp//uxaA//sodB//ttdA//murE//cysI//aceF//malP//ulaE//hcaB//paaH//ulaE//rbsK//aspA//poxB//fumC//gadB//nfsA//mhpB//prpB//fucO//waaH//glpA//garL//paaJ//rffC//sodB//mhpE//
Cra_pos	glpD//purD//dapD//hycG//dsdA//sucB//rutD//atoB//aroF//oxc//sdhC//trpE//cysD//ppsA//iscS//glcE//amn//
CreB-Phosphorylated_neg	fabB//
CreB-Phosphorylated_pos	polB//
CsgD_neg	nagA//narG//
CsgD_pos	fadD//chbF//rffT//
CsiR_neg	ribA//murD//mnmG//nagB//
CspA_pos	pyrD//
CueR-Cu_neg	garR//aceE//yiaK//
CueR-Cu_pos	nrdA//phnJ//
