# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	fabB//argC//
Ada_neg	cynT//carA//
Ada_pos	allB//hemH//mltF//astD//
AdiY_pos	ygeA//betA//puuC//astC//
AgaR_neg	bioD//
AidB_neg	nrdE//
AlaS-L-alanine_neg	araD//
AllR-allantoin_neg	tauD//fdhF//alkB//atoD//puuD//tktB//
AllS-allantoin_pos	glgX//malZ//nanM//
AlsR_neg	patA//argA//fabD//
AppY_pos	murQ//mhpC//
AraC-arabinose_neg	pgi//fadJ//ahpF//glgB//mdh//
AraC-arabinose_pos	uvrB//adhE//puuD//glpB//entD//fucO//
AraC_neg	cysG//tnaA//dhaL//
AraC_pos	melA//fabA//fadM//
ArgP-arginine_neg	
ArgP-arginine_pos	fadE//
ArgP_pos	ssuD//malY//ychF//ttdA//gdhA//gntK//bioB//lysA//
ArgR-L-arginine_neg	citC//cysM//glpD//aceE//hypF//hemL//glpD//leuA//leuA//paaK//mhpB//ahpF//mhpC//frdD//fadE//atoA//trpC//ssuE//
ArgR-L-arginine_pos	glcF//dhaK//xapA//polA//glpC//
ArsR_neg	gdhA//hycE//
AscG_neg	murE//epd//
AsnC_neg	nrdE//
AsnC_pos	murQ//
AtoC-Phosphorylated_pos	prpD//cysK//sbcC//
BCCP_neg	lysC//
BaeR-Phosphorylated_pos	glpA//eda//
BasR-Phosphorylated_neg	dhaK//
BasR-Phosphorylated_pos	gcvH//eno//
BetI_neg	frdB//metE//phnN//
BirA-biotinyl-5-adenylate_neg	leuC//rbsD//codA//phr//pspE//
BluR_neg	
BolA_neg	katG//accD//
BolA_pos	tehB//moaD//
BtsR-Phosphorylated_pos	kbaZ//
CadC_pos	pgaC//dmsB//glgP//
CaiF-L-carnitine_pos	leuB//ruvA//glmS//pflB//gpmA//
Cbl_pos	mhpC//tadA//pgaC//paaH//aceA//
CdaR_pos	ynfG//gdhA//hycG//mraY//garL//argD//nrdB//mpl//gpmA//
CecR_neg	nrdA//
ChbR-N-monoacetylchitobiose6-phosphate_neg	dkgB//ppc//kbaZ//
ChbR-N-monoacetylchitobiose6-phosphate_pos	dsdA//gltD//sdhC//
ChbR_neg	iscS//carB//fucU//
ChbR_pos	talA//speG//dmsC//
ComR_neg	
CpxR-Phosphorylated_neg	entE//dinB//uxaC//
CpxR-Phosphorylated_pos	ugpQ//bioA//dsdA//torA//ynfF//fruK//pagP//betA//pfkA//aspA//citC//argF//speG//lldD//aceA//araA//phnL//ulaD//
Cra_neg	lpd//argC//glgP//katG//murC//lpd//idnK//glgB//ubiA//speG//fadI//glmS//oxc//citG//puuC//glgX//ribA//psd//srkA//ddlB//nrdB//sodB//allA//paaJ//glpB//polB//uvrA//glk//rpiB//chbG//bioB//fadE//glpK//deoA//ilvC//chbG//gnd//gcvH//gcvH//guaB//folA//pykF//paaI//yeaE//tauD//
Cra_pos	polA//glgP//cysE//speG//nanA//garD//gatZ//hyaA//ada//hyaA//rutB//epd//acnA//fabG//phoA//betA//hyaA//
CreB-Phosphorylated_neg	fucK//
CreB-Phosphorylated_pos	pgpC//
CsgD_neg	sucD//mpl//
CsgD_pos	pgpC//argC//pgaB//
CsiR_neg	gutQ//epd//dmsC//glpD//
CspA_pos	hmp//
CueR-Cu_neg	dmsA//nagB//recF//
CueR-Cu_pos	treC//murC//
CusR-Pasp_pos	uvrA//kbaZ//ubiX//gadA//
CynR-cyanate_pos	hyi//rutB//gdhA//
CynR_neg	
CysB-O-acetyl-L-serine_neg	frdD//citD//paaH//
CysB-O-acetyl-L-serine_pos	wecB//deoD//rsmH//wzb//pck//gpmM//torA//rpiB//asnA//recD//bacA//gatY//
CysB_neg	
CysB_pos	citF//allA//
CytR_neg	prpD//rutC//pyrC//gadB//fucI//mtlD//purN//ppsA//ddlB//glxK//
Dan-L-tartrate_pos	lhgO//malQ//
DcuR-Phosphorylated_pos	gatD//gntK//murG//argD//
DeoR_neg	paaC//gapA//phnL//gatZ//phnG//ftnA//
DhaR_neg	
DhaR_pos	pflB//
DicA_neg	
DinJ-YafQ_neg	prs//
DnaA-ATP_neg	waaH//astB//lacA//zwf//rfe//
DnaA-ATP_pos	sufS//phoA//cadA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	talA//xylB//aceE//ppiA//nfsB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	dapD//speB//
EbgR_neg	
EnvR_neg	argI//deoC//
EnvY_pos	ulaD//ttdA//
EvgA-Phosphorylated_pos	cysM//ulaD//dmsC//adhE//arsC//uvrB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	pgm//galT//alkA//rutD//glpQ//ada//
FabR_neg	carA//metK//glmS//
FadR-acyl-CoA_pos	
FadR_neg	nrdA//uvrA//hycC//recF//aceB//mhpC//ldtD//deoA//gpmA//
FadR_pos	citF//eda//deoD//dapD//hycE//fadI//bglB//fucA//dmsA//ftsI//
FeaR_pos	hcaD//pheT//
FhlA-formate_pos	leuC//nrdD//entA//pdeL//glpA//dmsC//phnI//guaB//
FlhDC_neg	nirB//slt//
FlhDC_pos	moeA//caiA//galT//uxaA//dhaK//pgi//hcaB//moeB//mhpF//lysC//paaC//garL//
FliZ_neg	cysE//napB//gatD//mhpE//folE//
FucR-L-fuculose-1-P_pos	ppiA//edd//nirB//rhaB//trpE//lpd//
Fur-Fe2_neg	yqjH//cysM//purL//aroF//gpmM//luxS//fbaB//narG//paaZ//puuB//bglB//waaZ//rpiB//mdh//nanA//dhaL//talA//pgaC//glpA//waaH//gadB//dhaM//rffM//fau//allD//rutB//lysC//ynfH//mhpF//fumC//araB//purL//glmS//purH//gudD//grxA//serA//fadM//allD//metF//udp//guaA//ruvA//moaE//alkB//mhpE//mdh//idnO//argF//ssuD//kbaZ//lsrG//glgX//
Fur-Fe2_pos	ygeA//idnO//glcE//wzc//leuA//glpC//bioD//purK//ftsI//paaZ//grxA//patA//rbsD//argG//metF//pncB//
GadE-RcsB_pos	alaC//metE//fadE//accA//gadA//
GadE_pos	fabZ//aroG//ccp//entC//codA//dgcZ//fucU//kbaZ//dmsB//pgaC//
GadW_neg	purE//gcvT//napA//
GadW_pos	hycG//waaZ//entA//chbF//
GadX_neg	garL//relA//ccp//
GadX_pos	puuE//metA//prpB//thrS//phnN//aceF//sufS//prpD//metH//gcvH//argD//
GalR-beta-D-galactose_neg	aroH//argD//ppc//speB//glgC//
GalR-beta-D-galactose_pos	argD//frdB//gltD//gpmA//
GalR_neg	nrdB//gcvP//hmp//hemH//betA//nfsA//
GalR_pos	purD//rpiB//kbaY//narH//
GalS-beta-D-galactose_neg	napG//dgcZ//metK//gloA//lsrF//
GalS-beta-D-galactose_pos	leuB//alsE//gltD//fadM//
GalS_neg	ubiX//gcl//glpB//hycD//waaZ//yqhD//
GalS_pos	gpmA//entF//ulaD//epd//
GatR_neg	rtcA//betB//lpxD//
GcvA_neg	pepD//nirB//sucA//
GcvA_pos	rbsD//talA//fumC//
GlcC-glycolate_neg	
GlcC-glycolate_pos	argG//galM//puuB//
GlpR_neg	glmS//ybjG//lsrF//ruvA//cysN//dgcN//sdhD//
GlrR-Pasp56_pos	
