# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	fadM//lsrF//
Ada_neg	tdcB//pyrD//
Ada_pos	fabB//rfe//pheS//fabA//
AdiY_pos	purM//sucB//purK//ldtB//
AgaR_neg	murI//
AidB_neg	fadH//
AlaS-L-alanine_neg	ruvA//
AllR-allantoin_neg	fabG//phnG//srkA//moaE//hycB//malS//
AllS-allantoin_pos	sucC//pgi//gntK//
AlsR_neg	kbaY//hcaB//melA//
AppY_pos	guaA//wrbA//
AraC-arabinose_neg	purN//lsrK//dgkA//metF//purF//
AraC-arabinose_pos	atoD//nirD//xylA//pgaB//murG//betA//
AraC_neg	hycG//metF//putA//
AraC_pos	uvrA//gutQ//murG//
ArgP-arginine_neg	
ArgP-arginine_pos	hypB//
ArgP_pos	xapA//pfkA//fruK//alaS//trpE//fadH//fadI//puuB//
ArgR-L-arginine_neg	phnN//astC//cynS//nanK//rfe//mhpD//dapB//dkgB//uvrB//ulaE//glcE//rhaD//gntK//astE//sucC//moeB//fabZ//cadA//
ArgR-L-arginine_pos	metC//mpl//atoB//cadA//pagP//
ArsR_neg	atoB//ynfE//
AscG_neg	cueO//rffH//
AsnC_neg	cueO//
AsnC_pos	pdeR//
AtoC-Phosphorylated_pos	ppsA//pdeH//ulaE//
BCCP_neg	napH//
BaeR-Phosphorylated_pos	cdd//argA//
BasR-Phosphorylated_neg	pfkA//
BasR-Phosphorylated_pos	tktB//cysN//
BetI_neg	tyrB//paaH//ribA//
BirA-biotinyl-5-adenylate_neg	glcF//glyA//treC//garD//pgaC//
BluR_neg	
BolA_neg	paaY//cueO//
BolA_pos	fadB//deoB//
BtsR-Phosphorylated_pos	hypF//
