# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	caiD//argG//
Ada_neg	citX//sdhB//
Ada_pos	sdhB//argA//glyA//ada//
AdiY_pos	glgX//purE//dmsA//nrfC//
AgaR_neg	fabD//
AidB_neg	deoA//
AlaS-L-alanine_neg	fucI//
AllR-allantoin_neg	sdhB//glgA//speA//ftsI//umpH//paaF//
AllS-allantoin_pos	argD//rffH//garR//
AlsR_neg	chbG//dacC//dinB//
AppY_pos	cynT//purC//
AraC-arabinose_neg	eno//dgkA//srkA//fabH//fes//
AraC-arabinose_pos	umuC//tadA//hycE//hypF//mhpA//hemL//
AraC_neg	ulaG//pyrD//entD//
AraC_pos	argF//astD//dapD//
ArgP-arginine_neg	
ArgP-arginine_pos	ydcS//
ArgP_pos	fadM//pdeH//glxK//mdh//pfkA//caiD//deoC//asnA//
ArgR-L-arginine_neg	lysC//rimK//ycjG//ubiC//rffC//gpmA//allA//nirD//nrfC//nrdB//ada//fadD//glcD//phr//nadA//rffH//slt//cadA//
ArgR-L-arginine_pos	fabB//hycC//malZ//wecE//glxR//
ArsR_neg	nemA//garL//
AscG_neg	bglB//dmsB//
AsnC_neg	rpiB//
AsnC_pos	fucA//
AtoC-Phosphorylated_pos	argA//pyrD//purD//
BCCP_neg	paaK//
BaeR-Phosphorylated_pos	leuB//citF//
BasR-Phosphorylated_neg	ynfE//
BasR-Phosphorylated_pos	rffT//fadH//
BetI_neg	mltF//glyA//rtcA//
BirA-biotinyl-5-adenylate_neg	rffT//gnd//pfkA//ybjG//rffG//
BluR_neg	
BolA_neg	fabH//sbcC//
BolA_pos	metL//metK//
BtsR-Phosphorylated_pos	ycjG//
CadC_pos	torA//ynfG//tktB//
CaiF-L-carnitine_pos	uxaC//uidA//yiaK//katE//astC//
Cbl_pos	glk//dapB//pgi//metL//recB//
CdaR_pos	sdhC//carA//tyrA//lpxD//fadB//acnB//tyrB//mtlD//torA//
CecR_neg	eda//
ChbR-N-monoacetylchitobiose6-phosphate_neg	mpaA//glpK//mhpA//
ChbR-N-monoacetylchitobiose6-phosphate_pos	argF//polB//cysC//
ChbR_neg	cysM//phnH//glcB//
ChbR_pos	ynfH//glmU//aspA//
ComR_neg	
CpxR-Phosphorylated_neg	cysG//cueO//narI//
CpxR-Phosphorylated_pos	deoA//dinB//ndh//metB//caiD//gatZ//dkgA//murQ//pgaC//cdd//appA//talA//sbcC//paaK//gor//dsdA//hyaB//treC//
Cra_neg	fadB//glgP//caiA//fucK//tdcD//dapB//gcvT//hycF//pgpC//rffM//cysD//citC//ldtB//malY//rffT//fruK//prs//frdC//hypF//mpaA//aroF//aceB//sodA//gcvT//galE//allD//pdeH//murE//carB//glxR//pck//aroG//ppc//speG//hyaB//cysH//paaH//argG//galM//wzc//prpC//dmsA//poxB//fau//hyi//
Cra_pos	prs//yqjH//katG//gadB//gdhA//bglB//wecE//pgk//cysE//tehB//glpB//argA//purN//ung//talA//malY//entB//
CreB-Phosphorylated_neg	gudD//
