# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	glmU//sufS//
Ada_neg	fadI//dacC//
Ada_pos	purH//cysG//mpl//galT//
AdiY_pos	cyoE//allE//cysG//pagP//
AgaR_neg	mpaA//
AidB_neg	ubiX//
AlaS-L-alanine_neg	glgC//
AllR-allantoin_neg	cysH//ulaD//leuD//metB//fadJ//paaK//
AllS-allantoin_pos	nirD//rimK//ttdA//
AlsR_neg	ldtD//arsC//accC//
AppY_pos	astD//hemL//
AraC-arabinose_neg	lhgO//nanK//glyA//fucK//ldtC//
AraC-arabinose_pos	wecE//metL//rimK//alkB//fabG//pnp//
AraC_neg	cysI//nrdE//purE//
AraC_pos	argF//lpxA//carA//
ArgP-arginine_neg	
ArgP-arginine_pos	caiD//
ArgP_pos	gloA//torC//mhpB//hycB//ssuD//moeB//garK//hcaB//
ArgR-L-arginine_neg	purB//araB//gatD//nagB//pepD//purB//uxaA//fucO//polB//garR//argG//cadA//puuB//sucA//galM//fadA//adhE//citE//
ArgR-L-arginine_pos	allB//ubiC//gpmA//gabT//adiA//
ArsR_neg	pdeH//argC//
AscG_neg	nrdE//rhaB//
AsnC_neg	lpd//
AsnC_pos	pgaD//
AtoC-Phosphorylated_pos	uvrC//araB//hcaD//
BCCP_neg	trpB//
BaeR-Phosphorylated_pos	hypB//puuB//
BasR-Phosphorylated_neg	phr//
BasR-Phosphorylated_pos	lysA//wecB//
BetI_neg	lsrG//uvrC//citD//
BirA-biotinyl-5-adenylate_neg	argA//srkA//gpmA//idnO//rhaB//
BluR_neg	
BolA_neg	ugpQ//napB//
BolA_pos	ychF//uxaC//
BtsR-Phosphorylated_pos	garL//
CadC_pos	prpC//gcl//acnB//
CaiF-L-carnitine_pos	pspE//sucA//carB//glcF//hyaC//
Cbl_pos	citC//uidA//glpX//argG//gutQ//
CdaR_pos	guaB//entD//gcvP//fadH//cysI//sodA//murD//galE//ttdB//
CecR_neg	hcaE//
ChbR-N-monoacetylchitobiose6-phosphate_neg	cysG//malZ//recB//
ChbR-N-monoacetylchitobiose6-phosphate_pos	aceA//guaB//glgA//
ChbR_neg	argE//narG//fabG//
ChbR_pos	moaD//gltB//gnd//
ComR_neg	
CpxR-Phosphorylated_neg	cysM//rtcB//rimK//
CpxR-Phosphorylated_pos	mngB//ssuD//wrbA//gatY//tynA//ruvA//garK//dmsA//phoA//mltF//pykF//pspE//malY//nirB//ynfG//glgP//hyaC//ybjG//
Cra_neg	malP//dsdA//gltD//paaH//gadB//puuB//gutQ//glgX//fes//relA//rimK//fucK//rhaD//ubiA//sbcC//uvrA//idnK//moaE//ydcS//argC//paaY//metH//metB//mhpC//narH//speB//pgk//moaE//phoA//ssuD//pykF//purA//trpA//mazG//uvrB//murE//prpC//galK//cysJ//gcvT//alkA//gloA//fruK//phnI//gcl//
Cra_pos	speG//dmsA//nemA//lpxC//argE//glgB//cyoE//cynT//psd//frdB//prs//napG//glpC//ycjG//hcaE//atoA//ruvB//
CreB-Phosphorylated_neg	lacZ//
CreB-Phosphorylated_pos	tadA//
CsgD_neg	aceE//mnmG//
CsgD_pos	waaZ//acnB//betB//
CsiR_neg	phnG//tpiA//adhE//mhpF//
CspA_pos	hcaD//
CueR-Cu_neg	ada//galT//paaZ//
CueR-Cu_pos	hycD//lpd//
CusR-Pasp_pos	fucK//nagA//speG//purM//
CynR-cyanate_pos	glpX//murF//cyoE//
CynR_neg	
CysB-O-acetyl-L-serine_neg	tdcD//rbsD//caiC//
CysB-O-acetyl-L-serine_pos	rffG//lpxC//cynT//hyi//yeaE//rffT//lsrK//glpX//ttdB//appA//rffC//argD//
CysB_neg	
CysB_pos	entB//cysN//
CytR_neg	nirD//paaY//nadB//hyaB//sdhA//tdcG//rffH//cynT//dgcC//xylA//
Dan-L-tartrate_pos	purH//eno//
DcuR-Phosphorylated_pos	rutE//fucA//wrbA//argE//
DeoR_neg	tehB//hcaF//phnN//prpB//srlD//ogt//
DhaR_neg	
DhaR_pos	hcaF//
DicA_neg	
DinJ-YafQ_neg	mngB//
DnaA-ATP_neg	pncB//rutA//mdh//araA//icd//
DnaA-ATP_pos	argF//yfdE//oxc//
DpiA-Pasp_neg	
DpiA-Pasp_pos	phnJ//pgaC//aceB//gcl//cyoE//
DsdC-D-serine_neg	
DsdC-D-serine_pos	srlD//fabZ//
EbgR_neg	
EnvR_neg	recF//galM//
EnvY_pos	folE//metC//
EvgA-Phosphorylated_pos	pspE//glcD//icd//purM//sufS//napB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	caiB//hycC//rutB//gcvH//deoD//nrfD//
FabR_neg	hypB//uidA//dgkA//
FadR-acyl-CoA_pos	
FadR_neg	glyA//sdhD//gcvP//sbcC//murI//cysN//guaA//malP//mtlD//
FadR_pos	phnP//umuD//rutB//prpE//hcaF//acnA//ogt//aroG//fabI//mhpC//
FeaR_pos	sodA//rutB//
FhlA-formate_pos	asnB//lsrG//metA//ruvA//galK//puuC//psd//iscS//
FlhDC_neg	epd//nrfA//
FlhDC_pos	puuA//ccp//polA//nagA//lpxA//ddlB//tdcG//dapB//ttdA//guaA//prpC//glpA//
FliZ_neg	tpiA//hycE//umuD//yfdE//xylA//
FucR-L-fuculose-1-P_pos	ddlB//metK//argI//atoB//tyrA//folE//
Fur-Fe2_neg	araA//atoA//grxA//bioC//glcD//ftsI//srkA//paaK//sucA//rpiB//fabB//nirD//deoD//astE//tdcB//ynfH//dgkA//fabH//ssuD//pspE//fumC//xylA//waaY//zwf//fau//entH//iscS//ppsA//aldA//cynT//pyrC//purK//mtlD//alaS//cysN//nirB//katG//mhpA//treC//fruK//yeaE//mhpB//uvrC//allC//paaI//prpE//rutB//fabG//metC//gcl//glgX//relA//ttdA//
Fur-Fe2_pos	pgm//sucD//citG//metK//fucA//fadB//sufS//moaA//ilvC//frdC//lpxD//fabG//hyi//pdeH//ubiA//sucD//
GadE-RcsB_pos	poxB//rtcA//ynfF//moaD//recD//
GadE_pos	fbaA//sgbE//fadE//tpiA//entD//lpd//entF//rffG//tnaA//glpX//
GadW_neg	leuC//wecC//fabH//
