# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	rbsD//nrdE//
Ada_neg	nanA//nfsB//
Ada_pos	gapA//pheS//cysN//araD//
AdiY_pos	hyaC//ynfH//dkgB//hycB//
AgaR_neg	fadH//
AidB_neg	hycE//
AlaS-L-alanine_neg	sodA//
AllR-allantoin_neg	nrfC//pgaD//narH//adiA//mpl//cdd//
AllS-allantoin_pos	gutQ//tpiA//fumC//
AlsR_neg	hcp//ampC//dhaM//
AppY_pos	gudD//speB//
AraC-arabinose_neg	gcvT//lsrK//mnmG//gcvT//cysJ//
AraC-arabinose_pos	lsrF//mhpF//gpmM//rhaD//nadB//ldtD//
AraC_neg	ttdA//hcaC//umuC//
AraC_pos	cynS//aceF//fadA//
ArgP-arginine_neg	
ArgP-arginine_pos	sgbU//
ArgP_pos	fucO//dsdA//gudD//tynA//deoA//nemA//yeaG//ynfF//
ArgR-L-arginine_neg	leuB//argE//hycF//psd//mpaA//fadA//pck//accC//paaJ//thrS//glgX//fadB//ubiX//gltD//mnmG//prpC//narH//atoA//
ArgR-L-arginine_pos	tdcE//nirB//aspA//aceA//phr//
ArsR_neg	glyA//ppc//
AscG_neg	treC//fau//
AsnC_neg	purM//
AsnC_pos	speB//
AtoC-Phosphorylated_pos	rffM//paaG//gadA//
BCCP_neg	rfe//
BaeR-Phosphorylated_pos	ilvC//speB//
BasR-Phosphorylated_neg	ldtD//
BasR-Phosphorylated_pos	leuD//sucC//
BetI_neg	amn//fucI//pgi//
BirA-biotinyl-5-adenylate_neg	fadD//ftnA//lyxK//entA//fruK//
BluR_neg	
BolA_neg	tyrB//moaA//
BolA_pos	adiA//gatY//
BtsR-Phosphorylated_pos	hmp//
CadC_pos	fadA//yeaE//astA//
CaiF-L-carnitine_pos	gabD//arsC//phoA//phnG//gabT//
Cbl_pos	astD//arsC//moeA//pgaC//nagA//
CdaR_pos	aceF//atoB//fadH//murF//glxR//prpD//aceB//pheS//astB//
CecR_neg	pck//
ChbR-N-monoacetylchitobiose6-phosphate_neg	argI//alsE//cysI//
ChbR-N-monoacetylchitobiose6-phosphate_pos	rhaD//deoB//cysD//
ChbR_neg	ubiA//xylB//murI//
ChbR_pos	mnmG//metK//allA//
ComR_neg	
CpxR-Phosphorylated_neg	pyrC//pdeH//pck//
CpxR-Phosphorylated_pos	ldtB//citF//sdhA//gltD//hycD//deoD//paaY//cysJ//fadH//fadE//ada//phnL//uxaA//aldA//gudD//ddlB//phnO//fucU//
