# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	bglB//astE//
Ada_neg	hycG//recD//
Ada_pos	srlD//purN//hycC//yfdE//
AdiY_pos	rffH//paaZ//ribA//sgbU//
AgaR_neg	polB//
AidB_neg	yqjH//
AlaS-L-alanine_neg	paaC//
AllR-allantoin_neg	metE//leuB//polA//mpaA//idnO//fabD//
AllS-allantoin_pos	frdB//gcl//truB//
AlsR_neg	nanE//ldtC//tehB//
AppY_pos	yeaG//bioF//
AraC-arabinose_neg	phnI//nfsA//yiaK//hycD//fabG//
AraC-arabinose_pos	sucA//codA//argG//malY//ttdA//glgC//
AraC_neg	patD//citD//moaC//
AraC_pos	caiA//recD//cadA//
ArgP-arginine_neg	
ArgP-arginine_pos	gatZ//
ArgP_pos	deoB//frdB//dkgA//serA//phnO//oxc//fadD//astA//
ArgR-L-arginine_neg	ynfH//prpE//aceE//malP//betA//frdB//mltF//hcaB//ubiA//epd//accD//gutQ//glk//hcp//mtlD//alaC//ulaF//accA//
ArgR-L-arginine_pos	luxS//sucC//sdhA//srlD//lldD//
ArsR_neg	napB//uxaB//
AscG_neg	hyi//sodA//
AsnC_neg	gnd//
AsnC_pos	glcE//
AtoC-Phosphorylated_pos	napA//guaA//argD//
BCCP_neg	rutD//
BaeR-Phosphorylated_pos	fadE//lpxA//
BasR-Phosphorylated_neg	rsmH//
BasR-Phosphorylated_pos	mhpF//napB//
BetI_neg	ubiC//cysE//dmsA//
BirA-biotinyl-5-adenylate_neg	uxaA//speA//alkA//glgX//truB//
BluR_neg	
BolA_neg	metF//paaH//
BolA_pos	argB//nirD//
BtsR-Phosphorylated_pos	recD//
CadC_pos	thrS//rtcA//napG//
CaiF-L-carnitine_pos	fbaA//prpE//cueO//paaJ//purC//
Cbl_pos	nanA//citF//dkgA//katE//tehB//
CdaR_pos	frdC//napA//wecE//galM//ampC//sdhD//glgB//alsE//glyA//
CecR_neg	lsrG//
ChbR-N-monoacetylchitobiose6-phosphate_neg	sucA//malY//hcaD//
ChbR-N-monoacetylchitobiose6-phosphate_pos	ttdA//nanK//rtcA//
ChbR_neg	allD//pdeH//fabB//
ChbR_pos	glk//talA//chbG//
ComR_neg	
CpxR-Phosphorylated_neg	zwf//dgcZ//yfdE//
CpxR-Phosphorylated_pos	prpC//sodB//rtcB//trpA//garR//mhpA//mhpD//mngB//lysC//cysK//serA//accD//aroH//glgC//aldA//pspE//araA//argC//
Cra_neg	rutE//yedX//patA//glgX//oxc//rutD//nemA//argG//asnB//umuD//murQ//sbcC//umuC//chbG//pdeH//paaH//tadA//ynfG//gdhA//murC//sdhD//gpmM//nirD//paaB//mpaA//asnB//trpD//hmp//phnP//sodB//rutD//sbcC//rpiB//fabD//glmS//metH//idnO//sucD//dkgA//tyrA//pgaC//alkA//murI//yiaK//eno//
Cra_pos	rffH//alaC//gadB//leuA//tyrB//glpK//grxA//uvrA//caiC//argG//phnL//gloA//yedX//edd//lhgO//aceB//rffC//
CreB-Phosphorylated_neg	galT//
CreB-Phosphorylated_pos	metC//
CsgD_neg	sdhD//garL//
CsgD_pos	nrdB//ahpC//dgcN//
CsiR_neg	umuC//fadA//alkA//glsA//
CspA_pos	lpd//
CueR-Cu_neg	serA//uxaB//mhpB//
CueR-Cu_pos	ogt//malY//
CusR-Pasp_pos	citG//dinB//prpB//fabH//
CynR-cyanate_pos	napG//waaY//sucD//
CynR_neg	
CysB-O-acetyl-L-serine_neg	glpD//alsE//pyrC//
CysB-O-acetyl-L-serine_pos	rffC//purL//cysH//putA//cadA//aroG//hemL//carA//wecE//gltB//glmS//paaF//
CysB_neg	
CysB_pos	rutB//pfkA//
CytR_neg	gcvT//poxB//glgA//guaB//ycjG//deoB//phnN//glgA//citC//cyoE//
Dan-L-tartrate_pos	purH//astD//
DcuR-Phosphorylated_pos	lldD//nadA//deoB//purD//
DeoR_neg	rtcA//ppc//lpxC//pagP//dinB//lhgO//
DhaR_neg	
DhaR_pos	rhaD//
DicA_neg	
DinJ-YafQ_neg	acnA//
DnaA-ATP_neg	garL//metC//pgm//fabZ//rutB//
DnaA-ATP_pos	sbcC//gabT//pgi//
DpiA-Pasp_neg	
DpiA-Pasp_pos	alaS//tyrB//nemA//nemA//dmsB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	ccp//fbaA//
EbgR_neg	
EnvR_neg	paaJ//sdhA//
EnvY_pos	allE//dgcZ//
EvgA-Phosphorylated_pos	uxuB//pgaB//mazG//dmsB//feaB//fbaB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	citC//sucB//mtlD//purK//ynfH//tynA//
FabR_neg	yeaE//hmp//rpiB//
FadR-acyl-CoA_pos	
FadR_neg	rsmH//guaA//srlD//glpA//gpmM//metL//ada//uxuB//fucA//
FadR_pos	aroH//uvrB//ygeA//ycjG//alaC//glk//fadI//ahpC//lldD//phnO//
FeaR_pos	aldA//glsA//
FhlA-formate_pos	rffM//entD//mhpC//ychF//murG//deoA//paaH//folA//
FlhDC_neg	fumB//glgB//
FlhDC_pos	rpiB//dgcC//sodA//sucD//glgB//yqhD//betB//nrdE//argA//astA//srlD//mngB//
FliZ_neg	astD//tnaA//gltB//luxS//nagA//
FucR-L-fuculose-1-P_pos	purA//entD//gabT//fucI//alsE//hemH//
Fur-Fe2_neg	atoD//hmp//idnO//pgpC//glcE//codA//ssuD//hcp//mpaA//recF//arsC//araD//glgB//ahpF//accC//pnp//caiD//ttdA//aceE//glpB//appA//argA//fabI//yfdE//citG//entF//ftnA//purN//citD//ulaG//trpC//narG//deoB//sucA//nirB//phnG//caiC//cadA//hyaC//sbcD//speG//entD//ycjG//frdC//chbG//idnD//sdhD//ftsI//treC//codA//uxaB//metH//pspE//
Fur-Fe2_pos	gatZ//gutQ//bioD//cysE//argB//phnI//ung//glxR//ssuE//galM//pheT//glmU//aroG//entA//mraY//guaB//
GadE-RcsB_pos	astA//pepD//paaA//fruK//dsdA//
GadE_pos	gnd//fabG//paaY//puuC//pnp//glgP//aroG//entB//xylA//nirD//
GadW_neg	rnpB//asnA//folA//
GadW_pos	appA//glpC//betA//guaA//
GadX_neg	murQ//narI//napH//
GadX_pos	murI//rsmH//lsrG//gltB//malP//uvrB//fucO//hycE//appA//betB//citD//
GalR-beta-D-galactose_neg	citX//paaK//malQ//hcaC//tdcG//
GalR-beta-D-galactose_pos	pdeH//argD//bglB//leuB//
GalR_neg	ycjG//aceF//recD//fucK//lysA//patA//
GalR_pos	truB//nirD//fucU//ubiX//
GalS-beta-D-galactose_neg	lacA//wzc//citC//paaA//ung//
GalS-beta-D-galactose_pos	betA//cysN//lacA//pgpC//
GalS_neg	purH//sgbH//ssuE//gadA//bioB//narI//
GalS_pos	yiaK//waaY//pflB//murD//
GatR_neg	paaY//speA//dgcZ//
GcvA_neg	accC//pfkA//glpA//
GcvA_pos	uxaC//frdB//accC//
GlcC-glycolate_neg	
GlcC-glycolate_pos	xylA//prpD//tpiA//
GlpR_neg	hypB//uvrC//idnD//entF//glpC//glk//paaI//
GlrR-Pasp56_pos	
GntR_neg	dhaK//tdcB//ruvB//pgaD//mtlD//ubiA//ubiC//ubiC//waaZ//
GutM_pos	sdhA//gadA//nirD//
HU_neg	ydcS//mhpB//murG//araA//lpxC//puuD//ynfG//
HU_pos	
HcaR-HCA_pos	paaH//cysN//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	aspC//
HigB-HigA_neg	astA//
HipAB_neg	wrbA//zwf//
HipB_neg	tyrB//ssuE//hmp//
HprR-Phosphorylated_neg	sdhD//argD//
HprR-Phosphorylated_pos	aroG//atoD//
HyfR_pos	nadB//
HypT-Met-oxidized_neg	paaG//deoC//
HypT-Met-oxidized_pos	asnA//gloA//accD//rutD//cysJ//
