# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	frdB//fabD//
Ada_neg	glpB//recD//
Ada_pos	uxaA//gloA//cysE//relA//
AdiY_pos	hemH//mdh//idnO//murD//
AgaR_neg	icd//
AidB_neg	rtcB//
AlaS-L-alanine_neg	purM//
AllR-allantoin_neg	tyrA//putA//ccp//tktB//argG//paaK//
AllS-allantoin_pos	idnK//araA//folE//
AlsR_neg	prpD//rutE//sgbU//
AppY_pos	nemA//purD//
AraC-arabinose_neg	icd//gatD//tdcE//ftsI//fabA//
AraC-arabinose_pos	aroG//guaA//fadA//rbsK//kbaY//cueO//
AraC_neg	chbF//lysC//bioD//
AraC_pos	accA//pyrD//kbaZ//
ArgP-arginine_neg	
ArgP-arginine_pos	waaZ//
ArgP_pos	paaY//relA//lacA//recB//astC//uxaB//dgcC//iscS//
ArgR-L-arginine_neg	uxuA//fucI//rffC//cueO//ldtC//fadB//argI//cdd//ruvA//fumB//mtlD//cueO//amn//rutA//recB//rffH//lpxA//gatY//
ArgR-L-arginine_pos	trpE//hycD//metB//puuD//nrfC//
ArsR_neg	mdh//frdD//
AscG_neg	glpA//malS//
AsnC_neg	frc//
AsnC_pos	glk//
AtoC-Phosphorylated_pos	folE//nemA//lpxC//
BCCP_neg	moaA//
BaeR-Phosphorylated_pos	uxuB//kbaY//
BasR-Phosphorylated_neg	accD//
BasR-Phosphorylated_pos	garD//galT//
BetI_neg	malP//glk//fau//
BirA-biotinyl-5-adenylate_neg	hcaD//tadA//rsmH//prpE//allC//
BluR_neg	
BolA_neg	allC//pncB//
BolA_pos	fdhF//nirB//
BtsR-Phosphorylated_pos	argD//
CadC_pos	mazG//ssuD//nagA//
CaiF-L-carnitine_pos	phnI//rutD//ubiC//ppsA//patD//
Cbl_pos	mltF//glpK//pspE//malY//garL//
CdaR_pos	ynfE//galM//hemH//aspA//glk//ycjG//torC//adiA//glgA//
CecR_neg	aroL//
ChbR-N-monoacetylchitobiose6-phosphate_neg	ynfF//paaK//hcaD//
ChbR-N-monoacetylchitobiose6-phosphate_pos	glgC//trpB//cysK//
ChbR_neg	atoB//metC//fadI//
ChbR_pos	pgk//pgaB//mhpD//
ComR_neg	
CpxR-Phosphorylated_neg	entC//yqjH//entC//
CpxR-Phosphorylated_pos	accC//paaG//psd//yiaK//pncB//mngB//dinB//yfdE//murD//hyi//trpE//talA//glmU//feaB//alkA//fabD//phnJ//rffC//
Cra_neg	moaA//ung//purF//ribA//phnM//glpX//ppsA//allB//prpE//aspC//kbaY//ubiC//gpmM//cysD//phnN//mdh//glmS//atoD//uxaA//rtcA//pgm//grxA//appA//betB//katG//eno//mpaA//phnM//prpE//fabA//fabI//fabZ//murD//alaS//idnO//ugpQ//fdhF//oxc//napB//glnA//nrfC//prs//prpC//melA//fabB//
Cra_pos	accC//metB//phnJ//rbsD//metF//tadA//uidA//araB//ydcS//nagA//hyaA//dacC//phnM//purA//araA//pheS//pgm//
CreB-Phosphorylated_neg	nfsA//
CreB-Phosphorylated_pos	rutD//
CsgD_neg	ulaF//gatD//
CsgD_pos	narG//paaI//frdB//
CsiR_neg	ahpF//glmU//waaH//cysC//
CspA_pos	asnB//
CueR-Cu_neg	slt//ugpQ//rimK//
CueR-Cu_pos	kbaY//fucK//
CusR-Pasp_pos	mraY//pgi//dgcN//ydcS//
CynR-cyanate_pos	asnA//citD//prs//
CynR_neg	
CysB-O-acetyl-L-serine_neg	frdD//lpxC//phnG//
CysB-O-acetyl-L-serine_pos	phnO//dgcC//tdcB//cysI//idnD//entD//gudD//polA//treC//leuB//pfkA//sucC//
CysB_neg	
CysB_pos	nrfA//astB//
CytR_neg	dapD//wecC//nirB//hycD//bioA//glmS//chbF//oxc//waaZ//trpA//
Dan-L-tartrate_pos	glcD//ribA//
DcuR-Phosphorylated_pos	uxuA//glgB//carB//cysJ//
DeoR_neg	ulaE//ulaF//trpE//mpl//galM//glpA//
DhaR_neg	
DhaR_pos	purL//
DicA_neg	
DinJ-YafQ_neg	ulaD//
DnaA-ATP_neg	citD//glgP//rffM//lysA//truB//
DnaA-ATP_pos	nfsA//tyrB//purN//
DpiA-Pasp_neg	
DpiA-Pasp_pos	puuB//bioF//fadE//mnmG//moaD//
DsdC-D-serine_neg	
DsdC-D-serine_pos	cysG//ycjG//
EbgR_neg	
EnvR_neg	phnL//dgcN//
EnvY_pos	fadM//nrdA//
EvgA-Phosphorylated_pos	caiB//malQ//purK//umuC//asnA//prpB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	glsA//pepD//hcaD//aroG//mnmG//aceB//
FabR_neg	rtcA//mltF//ccp//
FadR-acyl-CoA_pos	
FadR_neg	pgi//mtlD//mtlD//glgB//lpxA//frdD//aceB//folA//rtcB//
FadR_pos	moaE//malQ//ttdA//phnJ//srkA//mdh//fabZ//ttdB//hycG//ulaD//
