# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	sucA//paaZ//
Ada_neg	ulaG//fabH//
Ada_pos	rbsD//fadD//recD//tdcD//
AdiY_pos	pyrC//argA//entE//pflB//
AgaR_neg	arsC//
AidB_neg	codA//
AlaS-L-alanine_neg	fumB//
AllR-allantoin_neg	sucA//rbsK//fucA//carB//allC//torA//
AllS-allantoin_pos	recD//waaY//prpB//
AlsR_neg	lsrF//gltD//gatZ//
AppY_pos	lsrG//garD//
AraC-arabinose_neg	mhpF//idnO//dapD//phnG//rffH//
AraC-arabinose_pos	idnO//paaH//nagA//tnaA//phnH//purE//
AraC_neg	rffG//rbsK//hycE//
AraC_pos	cysG//cynT//entA//
ArgP-arginine_neg	
ArgP-arginine_pos	phnP//
ArgP_pos	narH//gabD//yqhD//pncB//paaE//wrbA//gatY//hycB//
ArgR-L-arginine_neg	ulaE//puuC//tdcD//araD//iscS//fabB//prpD//fucK//slt//rimK//dapD//purF//ycjG//ulaG//metA//glgB//glxK//purD//
ArgR-L-arginine_pos	ftsI//ahpC//atoD//mhpE//serA//
ArsR_neg	napB//edd//
AscG_neg	poxB//metK//
AsnC_neg	rbsD//
AsnC_pos	metL//
AtoC-Phosphorylated_pos	dkgB//glcB//uvrB//
BCCP_neg	mhpF//
BaeR-Phosphorylated_pos	narH//deoD//
BasR-Phosphorylated_neg	putA//
BasR-Phosphorylated_pos	trpD//rnpB//
BetI_neg	ldtD//purM//nfsA//
BirA-biotinyl-5-adenylate_neg	trpA//puuC//citE//argI//waaZ//
BluR_neg	
BolA_neg	fadE//prpE//
BolA_pos	gcvH//fucO//
BtsR-Phosphorylated_pos	patA//
