# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	hcaD//mdh//
Ada_neg	mraY//fucU//
Ada_pos	recD//aroG//slt//cysM//
AdiY_pos	rutE//pheS//fabZ//purD//
AgaR_neg	nagA//
AidB_neg	mpl//
AlaS-L-alanine_neg	galM//
AllR-allantoin_neg	tehB//ccp//ttdA//glgA//argB//cysN//
AllS-allantoin_pos	rffC//betA//ldtD//
AlsR_neg	lpd//phnJ//luxS//
AppY_pos	citG//yeaE//
AraC-arabinose_neg	sucD//puuD//xylA//glmS//pnp//
AraC-arabinose_pos	yedX//fau//nadA//cysN//purD//cynS//
AraC_neg	pgaC//malQ//citF//
AraC_pos	hyaB//fabG//purB//
ArgP-arginine_neg	
ArgP-arginine_pos	cueO//
ArgP_pos	rtcB//mhpC//mdh//puuA//puuE//ynfE//wzc//mnmG//
ArgR-L-arginine_neg	garK//gutQ//sodA//frdA//frdA//edd//rfe//ahpF//lpxC//ubiC//deoA//ilvC//ppsA//hyaA//bioA//garD//asnA//citE//
ArgR-L-arginine_pos	ulaG//sodA//astE//dmsB//ubiC//
ArsR_neg	hcp//lsrK//
AscG_neg	wecB//fes//
AsnC_neg	ftnA//
AsnC_pos	speB//
AtoC-Phosphorylated_pos	cysJ//carB//glmU//
BCCP_neg	nrdF//
BaeR-Phosphorylated_pos	bioC//prpB//
BasR-Phosphorylated_neg	glgB//
BasR-Phosphorylated_pos	hycC//fadI//
BetI_neg	xapA//rbsK//glmS//
BirA-biotinyl-5-adenylate_neg	paaA//glyA//fabZ//metK//glpQ//
BluR_neg	
BolA_neg	speB//phnG//
BolA_pos	sgbH//moeB//
BtsR-Phosphorylated_pos	araA//
CadC_pos	paaA//ccp//malP//
CaiF-L-carnitine_pos	dgcC//gatD//alkB//fau//ndh//
Cbl_pos	rffM//lyxK//fabZ//carA//gpmM//
CdaR_pos	bglB//ynfF//cysC//nanK//fadA//murG//prpD//bioD//sodA//
CecR_neg	caiC//
ChbR-N-monoacetylchitobiose6-phosphate_neg	cueO//mhpB//glpD//
ChbR-N-monoacetylchitobiose6-phosphate_pos	sbcC//tynA//ynfG//
ChbR_neg	gabD//metC//fumB//
ChbR_pos	arsC//ubiC//ruvB//
ComR_neg	
CpxR-Phosphorylated_neg	carA//gudD//mnmG//
CpxR-Phosphorylated_pos	recF//tehB//gpmA//sucD//tynA//torC//glpK//acnA//dsdA//gpmA//mnmG//pck//nanA//fadE//argI//puuD//puuE//alaC//
Cra_neg	trpA//luxS//ascB//talA//dhaK//narG//umuC//purC//dmsA//murD//argI//alkA//hycB//nirD//alkB//glpQ//idnK//pspE//ldtC//prpD//tadA//malQ//tam//gabD//murI//yqhD//malS//nfsB//gatZ//rimK//frdD//yedX//ugpQ//araA//pgaC//malP//fruK//fadB//sdhA//aspC//phnP//mhpA//moaA//waaZ//ugpQ//
Cra_pos	yqhD//carA//pncB//ung//puuC//pgm//mhpB//glxK//uvrC//dgcC//ssuE//hypF//tehB//mhpB//frc//sbcD//aceE//
CreB-Phosphorylated_neg	lpxD//
CreB-Phosphorylated_pos	alsE//
CsgD_neg	glpD//mtlD//
CsgD_pos	phnO//metF//pspE//
CsiR_neg	purK//tehB//alkA//guaB//
CspA_pos	fabA//
CueR-Cu_neg	ruvA//metK//pheS//
CueR-Cu_pos	ruvB//ybjG//
CusR-Pasp_pos	phr//glk//rffM//pyrC//
CynR-cyanate_pos	malS//sucB//mhpD//
CynR_neg	
CysB-O-acetyl-L-serine_neg	dmsA//xylB//rfe//
CysB-O-acetyl-L-serine_pos	aceB//rffG//allB//recF//frdC//hypB//astD//entC//rhaA//hypB//murQ//napG//
CysB_neg	
CysB_pos	fucO//fbaA//
CytR_neg	nrdD//fau//srkA//nanA//dhaL//argB//ahpF//mngB//speB//nanA//
Dan-L-tartrate_pos	feaB//hypF//
DcuR-Phosphorylated_pos	tyrA//metC//lacA//leuD//
DeoR_neg	murI//asnB//fadB//hycC//carB//ubiX//
DhaR_neg	
DhaR_pos	yqjH//
DicA_neg	
DinJ-YafQ_neg	wecB//
DnaA-ATP_neg	lyxK//hypB//tdcG//frdC//citG//
DnaA-ATP_pos	dgcZ//waaH//hycE//
DpiA-Pasp_neg	
DpiA-Pasp_pos	alaC//hcp//aceF//asnA//tdcB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	amn//argH//
EbgR_neg	
