# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	nrdB//uxaA//
Ada_neg	pepD//dmsA//
Ada_pos	bglB//napB//astD//gor//
AdiY_pos	hyaA//pheT//icd//xylA//
AgaR_neg	glyA//
AidB_neg	talA//
AlaS-L-alanine_neg	mhpA//
AllR-allantoin_neg	cadA//pgm//tpiA//rutD//sgbE//phr//
AllS-allantoin_pos	recB//puuC//folE//
AlsR_neg	cysK//lpxA//uvrA//
AppY_pos	paaG//ulaG//
AraC-arabinose_neg	galM//deoD//glmS//aceA//rtcA//
AraC-arabinose_pos	fabG//ynfF//murC//nagA//argI//torC//
AraC_neg	ldtC//allA//ampC//
AraC_pos	astA//rimK//paaC//
ArgP-arginine_neg	
ArgP-arginine_pos	sbcD//
ArgP_pos	tdcD//garL//bioA//moeA//rffC//frdC//yqjH//uvrA//
ArgR-L-arginine_neg	trpA//pykF//ulaF//allD//fau//metA//dapB//mhpB//pdeR//fadJ//bglB//polA//dacC//bioA//fadI//bioF//fucA//entF//
ArgR-L-arginine_pos	alkA//patA//nrdD//rfe//wecE//
ArsR_neg	alkA//cadA//
AscG_neg	phnM//paaC//
AsnC_neg	entD//
AsnC_pos	truB//
AtoC-Phosphorylated_pos	ynfG//mdh//ddlB//
BCCP_neg	pck//
BaeR-Phosphorylated_pos	fadJ//ugpQ//
BasR-Phosphorylated_neg	srlD//
BasR-Phosphorylated_pos	trpE//talA//
BetI_neg	rffG//glk//rutB//
BirA-biotinyl-5-adenylate_neg	paaZ//entE//uvrB//glgC//fadA//
BluR_neg	
BolA_neg	hypF//entE//
BolA_pos	gutQ//prpD//
BtsR-Phosphorylated_pos	purN//
CadC_pos	nanM//argF//hmp//
CaiF-L-carnitine_pos	araA//rffM//purA//ppc//fadI//
Cbl_pos	gltB//poxB//hycD//allC//putA//
CdaR_pos	paaE//gltD//entD//gcl//fau//paaK//frc//moaD//gnd//
CecR_neg	narG//
ChbR-N-monoacetylchitobiose6-phosphate_neg	tdcB//hycG//deoD//
ChbR-N-monoacetylchitobiose6-phosphate_pos	hemL//waaZ//ddlB//
ChbR_neg	tyrA//gadB//hcaB//
ChbR_pos	serA//allB//nanK//
ComR_neg	
CpxR-Phosphorylated_neg	nemA//lacA//rimK//
CpxR-Phosphorylated_pos	sgbE//mtlD//rhaD//trpA//ynfH//pepD//aroF//lpxA//glmS//asnA//citX//cysN//paaA//nemA//paaB//phnJ//hycG//wrbA//
Cra_neg	glk//wzc//ppc//metH//moaC//cysN//mhpD//phnO//lsrG//prpE//astE//ddlB//lpd//malS//lacA//allC//idnO//mazG//bioD//rutA//hcp//cysC//puuB//nfsB//rutA//atoA//puuB//hycG//nemA//moaA//mtlD//kbaY//glcD//lhgO//accA//moeA//cysH//trpE//prpD//gntK//bacA//fadM//glmU//prpD//galK//
Cra_pos	mngB//sucD//dhaL//sdhA//moaD//malZ//puuD//feaB//rhaD//malZ//oxc//aceA//eno//pepD//gcvT//fabG//frdA//
CreB-Phosphorylated_neg	deoD//
CreB-Phosphorylated_pos	aceB//
CsgD_neg	entF//ybjG//
CsgD_pos	glpC//phnI//ftnA//
CsiR_neg	frdD//sucB//glnA//ddlB//
CspA_pos	melA//
CueR-Cu_neg	fabG//tehB//ppsA//
CueR-Cu_pos	phnN//acnB//
CusR-Pasp_pos	guaB//katE//ynfH//fau//
CynR-cyanate_pos	rnpB//sucB//ung//
CynR_neg	
CysB-O-acetyl-L-serine_neg	appA//bacA//glpB//
CysB-O-acetyl-L-serine_pos	caiB//lhgO//uxaB//citC//wecB//paaG//lsrG//tdcG//nfsB//ulaF//leuB//fes//
CysB_neg	
CysB_pos	hcaF//mhpD//
CytR_neg	puuD//yqhD//ubiA//pdeL//mraY//cysI//araB//pspE//mpl//prpB//
Dan-L-tartrate_pos	prpE//rimK//
DcuR-Phosphorylated_pos	lysA//pncB//dacC//murD//
DeoR_neg	pck//moeA//phnG//gpmM//aspC//hcaD//
DhaR_neg	
DhaR_pos	luxS//
DicA_neg	
DinJ-YafQ_neg	caiD//
DnaA-ATP_neg	rutE//ldtB//iscS//galE//deoA//
DnaA-ATP_pos	ynfG//metA//rtcA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	fabB//paaG//citD//sdhC//lhgO//
DsdC-D-serine_neg	
DsdC-D-serine_pos	nrdF//narG//
EbgR_neg	
EnvR_neg	pflB//rhaA//
EnvY_pos	entF//ccp//
EvgA-Phosphorylated_pos	pfkA//aceA//phnL//tauD//ubiC//dgcZ//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	citD//wzc//hycG//pagP//entF//ilvC//
FabR_neg	ftsI//ycjG//yeaG//
FadR-acyl-CoA_pos	
FadR_neg	fadD//ndh//glcF//epd//edd//deoC//rfe//glgP//sgbH//
FadR_pos	ilvC//eda//betB//pgaC//mhpB//fruK//cdd//speG//tyrB//glgA//
FeaR_pos	pspE//uxaC//
FhlA-formate_pos	fadH//nrdE//hyaC//uvrC//paaH//hemH//allB//wzb//
FlhDC_neg	truB//gatY//
FlhDC_pos	sdhA//gpmM//astE//citD//glpD//galK//murG//gatY//entH//glgX//moeA//mltF//
FliZ_neg	codA//caiC//paaK//paaZ//ppiA//
FucR-L-fuculose-1-P_pos	lysA//betB//wrbA//cysM//phnL//lpd//
Fur-Fe2_neg	chbF//mhpD//cysH//nrfC//rbsK//luxS//fadH//tyrA//gloA//glpK//wzb//fadI//dsdA//uxaB//aceB//pyrD//caiD//fbaB//tehB//sgbH//caiB//nrfC//fucA//astA//ttdA//glpC//sucC//glyA//purD//zwf//allD//fadM//eno//pck//glgB//gutQ//ruvA//pgm//glxK//metF//cysH//purM//paaJ//tdcG//katG//pck//nrdF//pfkA//hcaE//pflB//rhaD//hcaF//pgaC//
Fur-Fe2_pos	nrfA//sdhD//araB//grxA//lsrG//pnp//fabA//pspE//iscS//patD//entH//lpxD//hcaF//aroH//prs//mltF//
GadE-RcsB_pos	frc//nrdF//hemH//moaE//ogt//
GadE_pos	gudD//mdh//citX//astC//rbsK//aceA//gntK//ldtD//moaD//codA//
GadW_neg	nanA//leuD//entD//
GadW_pos	trpC//gpmA//leuC//rffC//
GadX_neg	mngB//folE//pgm//
GadX_pos	glcE//cdd//moaE//wecC//folE//uvrB//glxK//ubiX//tnaA//fucO//aceF//
GalR-beta-D-galactose_neg	kbaZ//pflB//fabA//metE//citD//
GalR-beta-D-galactose_pos	dkgA//alkB//glpX//rtcA//
GalR_neg	sodA//narG//fadI//lsrK//yedX//purA//
GalR_pos	paaE//moaC//trpD//malS//
GalS-beta-D-galactose_neg	tpiA//gadB//psd//murG//nrdA//
GalS-beta-D-galactose_pos	sbcD//tam//glpX//gutQ//
GalS_neg	putA//mraY//deoB//nfsB//pykF//yfdE//
GalS_pos	fabZ//pgaB//malZ//hycD//
GatR_neg	speB//sgbH//murD//
GcvA_neg	eda//glcF//moeA//
GcvA_pos	hcp//melA//argF//
GlcC-glycolate_neg	
GlcC-glycolate_pos	atoA//paaC//pflB//
GlpR_neg	citD//uxuA//pck//mhpB//ruvA//icd//cynS//
GlrR-Pasp56_pos	
GntR_neg	ygeA//glmS//frdD//phnJ//frdB//dinB//glnA//glpC//idnK//
GutM_pos	galE//putA//rbsK//
HU_neg	glxK//nadA//ycjG//glcD//wrbA//metL//malS//
HU_pos	
HcaR-HCA_pos	purH//argI//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	gabD//
HigB-HigA_neg	citG//
HipAB_neg	mhpC//malY//
HipB_neg	paaB//fucU//aroG//
HprR-Phosphorylated_neg	icd//fabI//
HprR-Phosphorylated_pos	ftnA//frdA//
HyfR_pos	rffH//
HypT-Met-oxidized_neg	prpC//accC//
HypT-Met-oxidized_pos	allC//serA//deoC//wecE//mhpD//
IclR-pyruvate_neg	rutD//tdcD//dgkA//
IdnR-5-ketogluconate_neg	rutA//ahpF//
IdnR-5-ketogluconate_pos	citF//gcvT//citD//
IlvY-2-acetolactate_pos	puuE//
IlvY_neg	
IscR-2Fe-2S_neg	mtlD//mngB//
IscR_neg	frdB//nanE//adhE//glsA//
IscR_pos	pdeR//deoC//
KdgR_neg	hyi//kbaY//
KdpE-Phosphorylated_pos	codA//
LacI_neg	gloA//melA//paaK//
LeuO_neg	
LeuO_pos	edd//lsrG//sdhC//gntK//ychF//treC//
LexA_neg	lacA//wecE//lysA//frdC//ldtC//lpxD//carB//ascB//udp//glgB//torC//cadA//ccp//pepD//mnmG//hemH//argE//garD//pgi//fadI//hycB//purA//citX//
LldR-lactate_neg	paaH//puuA//
LldR-lactate_pos	caiC//truB//
LldR_neg	accA//gpmM//
LldR_pos	melA//fabG//
LrhA_neg	
LrhA_pos	
LsrR_neg	phnP//bioB//gpmA//ynfG//sucA//
LysR_neg	
LysR_pos	argD//
MalI_neg	hypB//deoB//
MalT-maltotriose-ATP_pos	uxaA//ccp//dmsB//paaF//phr//pyrD//
MarA_neg	ilvC//
MarA_pos	lsrG//ruvA//bioA//citC//gadA//malS//glpQ//argF//dinB//glgX//waaH//astE//sgbH//hmp//ahpF//dapD//gdhA//phnJ//nadA//fruK//phnL//sgbH//nadB//
MarR_neg	
MatA_neg	pepD//
MatA_pos	
MazE-MazF_neg	cysK//
MazE_neg	ugpQ//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	slt//mdh//
MelR-melibiose_pos	srlD//treC//
MelR_neg	fadA//ttdB//
MelR_pos	ccp//fabZ//
MetJ-adenosylmethionine_neg	moeB//wecB//truB//ttdA//fbaA//yeaG//pyrD//aldA//nrdB//purN//
MetR-L-homocysteine_neg	idnK//
MetR-L-homocysteine_pos	accC//hcp//
MetR_pos	ppiA//gltB//
MhpR-3HPP_pos	paaF//pgaD//rhaB//metK//talA//tnaA//
Mlc_neg	rimK//mraY//mnmG//fau//
MlrA_pos	cysM//
MngR_neg	napA//aroF//
MntR-Mn2_neg	fruK//
MntR-Mn2_pos	tyrB//
ModE-MoO42-_neg	ppiA//fadB//mhpB//gor//murC//phnJ//guaA//mhpE//
ModE-MoO42-_pos	paaF//alaS//fabZ//tnaA//mdh//citE//tpiA//prpD//aceA//
MprA_neg	sufS//rutD//sucC//
MqsA_neg	argB//fadB//
MraZ_neg	nirB//mtlD//adhE//frdA//citX//prpD//leuC//putA//puuD//dkgA//
MurR_neg	allA//astB//hycF//
MurR_pos	
Nac_neg	galK//ahpF//nemA//
Nac_pos	uxaC//phnL//waaH//rimK//lysC//ugpQ//sucC//recF//
NadR_neg	rnpB//phoA//fucI//cysJ//
NagC_neg	mhpF//gltD//metE//paaK//mdh//wrbA//hyaA//torA//cyoE//allB//deoB//argD//moaC//trpD//mazG//ndh//cysD//ampC//
NagC_pos	ubiC//cysM//
NanR_neg	fadB//ldtD//fabH//sucB//fbaB//tdcE//
NanR_pos	
