# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ppc//eno//
Ada_neg	dsdA//rffC//
Ada_pos	glpD//tauD//udp//paaC//
AdiY_pos	nagB//frdB//ndh//pgaB//
AgaR_neg	ahpF//
AidB_neg	dhaK//
AlaS-L-alanine_neg	torA//
AllR-allantoin_neg	tnaA//narG//ruvA//gor//metB//nrdB//
AllS-allantoin_pos	araA//argF//astD//
AlsR_neg	nanE//ubiX//glcE//
AppY_pos	wecC//gatY//
AraC-arabinose_neg	araD//murC//aceF//cysN//aceB//
AraC-arabinose_pos	yeaE//fabG//hmp//fdhF//bioA//argF//
AraC_neg	lldD//truB//fdhF//
AraC_pos	ogt//katE//rutE//
ArgP-arginine_neg	
ArgP-arginine_pos	glcE//
ArgP_pos	uxaA//pncB//wzc//feaB//thrS//glcD//garL//purK//
ArgR-L-arginine_neg	yeaE//moaC//gdhA//galT//glpD//yqjH//umuC//nadB//fes//dapD//bioD//epd//rhaB//astE//dsdA//tauD//cysE//acnA//
ArgR-L-arginine_pos	metF//galM//mhpE//lpxD//mngB//
ArsR_neg	fadH//astD//
AscG_neg	uxuA//ahpF//
AsnC_neg	glmS//
AsnC_pos	deoC//
AtoC-Phosphorylated_pos	gpmA//acnB//lysA//
BCCP_neg	frc//
BaeR-Phosphorylated_pos	glpC//fadE//
BasR-Phosphorylated_neg	accA//
BasR-Phosphorylated_pos	bioC//garD//
BetI_neg	rfe//gatY//mtlD//
BirA-biotinyl-5-adenylate_neg	hcaB//katG//malS//yfdE//glgB//
BluR_neg	
BolA_neg	metK//uxuA//
BolA_pos	treC//wecB//
BtsR-Phosphorylated_pos	caiA//
CadC_pos	entA//zwf//tehB//
CaiF-L-carnitine_pos	napG//astC//nirB//hycG//yeaG//
Cbl_pos	xapA//pgaC//glgB//garD//asnA//
CdaR_pos	umuD//cynT//purA//hemH//trpA//caiC//ynfE//tdcD//narH//
CecR_neg	galT//
ChbR-N-monoacetylchitobiose6-phosphate_neg	araD//rfe//fucI//
ChbR-N-monoacetylchitobiose6-phosphate_pos	paaF//hcaB//phnL//
ChbR_neg	gabT//phnM//kbaY//
ChbR_pos	pgm//glk//ung//
ComR_neg	
CpxR-Phosphorylated_neg	nanA//pgk//wzc//
CpxR-Phosphorylated_pos	bioD//paaF//torA//uxaA//polB//rutE//fabB//fbaA//nirB//pncB//asnA//moaA//argD//nirD//nagB//caiC//puuE//dsdA//
Cra_neg	galT//purH//glmS//fucO//hypF//grxA//hcaD//tyrB//napA//sodB//gutQ//metH//rutD//puuB//aldA//kbaY//prpE//glxK//cysD//guaB//allE//araB//argI//sucC//nadA//srkA//iscS//ruvB//fdhF//pgpC//hyaA//serA//grxA//purM//patA//aceA//nfsA//umuD//mhpC//araB//napA//wecB//argA//astB//ldtD//
Cra_pos	rbsK//lldD//mnmG//glpQ//sucB//phnH//malQ//mhpA//fdhF//rutD//rhaB//yqjH//aceE//appA//malP//phnO//murD//
CreB-Phosphorylated_neg	cysC//
CreB-Phosphorylated_pos	metK//
CsgD_neg	tktB//torA//
CsgD_pos	gnd//malY//rhaB//
CsiR_neg	hcaF//recF//galK//uxaB//
CspA_pos	frdB//
CueR-Cu_neg	nfsA//dmsB//mazG//
CueR-Cu_pos	mhpB//recF//
CusR-Pasp_pos	uxaB//accA//gatZ//nrdD//
CynR-cyanate_pos	rffM//rfe//entD//
CynR_neg	
CysB-O-acetyl-L-serine_neg	nfsA//fadH//narH//
CysB-O-acetyl-L-serine_pos	cadA//paaC//mhpB//purF//bioF//ampC//lpxC//ychF//moaA//bioB//gutQ//guaA//
CysB_neg	
CysB_pos	gdhA//murI//
CytR_neg	hycC//citX//pagP//fucI//fes//fucU//ldtB//fadA//allC//trpC//
Dan-L-tartrate_pos	rffG//dapD//
DcuR-Phosphorylated_pos	grxA//mhpD//alkB//glcB//
DeoR_neg	glpB//glpD//wrbA//lysC//gltD//fumC//
DhaR_neg	
DhaR_pos	mraY//
DicA_neg	
DinJ-YafQ_neg	glmU//
DnaA-ATP_neg	tynA//ttdA//entB//nanK//tdcD//
DnaA-ATP_pos	lpxA//frc//lacA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	entE//phoA//iscS//cysH//allB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	pepD//glcF//
EbgR_neg	
EnvR_neg	fadD//fucA//
EnvY_pos	trpE//sdhB//
EvgA-Phosphorylated_pos	argD//gabT//dmsC//gutQ//phnL//glcF//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	xapA//glnA//paaK//zwf//rfe//dmsA//
FabR_neg	pfkA//pgpC//phoA//
FadR-acyl-CoA_pos	
FadR_neg	entH//tktB//speG//gpmA//ubiC//bacA//luxS//tehB//adhE//
