# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	phr//araB//
Ada_neg	cysM//hmp//
Ada_pos	ccp//lsrG//gadB//aspA//
AdiY_pos	ppsA//tynA//pgpC//prpE//
AgaR_neg	rimK//
AidB_neg	moaC//
AlaS-L-alanine_neg	murQ//
AllR-allantoin_neg	nagA//bioB//paaF//polA//lldD//iscS//
AllS-allantoin_pos	sbcD//nadB//frdA//
AlsR_neg	cysI//sgbU//paaB//
AppY_pos	mhpD//serA//
AraC-arabinose_neg	malY//fabD//wecE//udp//lysC//
AraC-arabinose_pos	katE//nadA//pncB//pfkA//yfdE//uxuB//
AraC_neg	entB//ppsA//ccp//
AraC_pos	uxaC//astA//hcaD//
ArgP-arginine_neg	
ArgP-arginine_pos	nanA//
ArgP_pos	yeaE//rffT//gcvP//ynfF//pgi//murI//umuD//nadB//
ArgR-L-arginine_neg	betA//glk//dgcC//nrfA//dgcC//glmS//malS//phnI//moaE//araA//mazG//fdhF//ynfH//narH//ppsA//purK//ruvA//paaC//
ArgR-L-arginine_pos	fes//alaS//umpH//paaC//araD//
ArsR_neg	rffM//nrfC//
AscG_neg	gcl//nrdF//
AsnC_neg	psd//
AsnC_pos	galT//
AtoC-Phosphorylated_pos	betA//metL//hcaC//
BCCP_neg	entD//
BaeR-Phosphorylated_pos	slt//puuC//
BasR-Phosphorylated_neg	rtcA//
BasR-Phosphorylated_pos	chbF//paaF//
BetI_neg	psd//asnB//gnd//
BirA-biotinyl-5-adenylate_neg	dmsB//glgC//astC//cueO//frdA//
BluR_neg	
BolA_neg	glpK//adiA//
BolA_pos	argA//pepD//
BtsR-Phosphorylated_pos	deoC//
CadC_pos	acnB//folA//ndh//
CaiF-L-carnitine_pos	paaK//ynfG//pykF//lldD//gapA//
Cbl_pos	bioB//sdhB//serA//araA//phnP//
CdaR_pos	gabT//glgP//ubiA//katG//recF//rhaB//tnaA//malY//pspE//
CecR_neg	phnI//
ChbR-N-monoacetylchitobiose6-phosphate_neg	gadB//pflB//deoD//
ChbR-N-monoacetylchitobiose6-phosphate_pos	ampC//deoC//murE//
ChbR_neg	ribA//malS//allC//
ChbR_pos	pykF//rutE//puuE//
ComR_neg	
CpxR-Phosphorylated_neg	patD//ubiA//hyaA//
CpxR-Phosphorylated_pos	rffC//garR//fumC//ppc//hcaC//yedX//sucD//dgcZ//yiaK//atoB//pgpC//ddlB//melA//ynfE//citG//trpA//wecE//uidA//
Cra_neg	edd//citC//sdhC//acnB//hypB//waaZ//trpE//phnN//purH//argH//sdhD//ascB//glcD//rffT//napB//pagP//purF//pagP//purA//uxuA//alkB//rbsK//idnD//ulaG//moaE//leuC//patD//katE//cysK//napB//truB//trpE//glyA//glgC//garD//sdhC//pck//fabG//glyA//rhaA//paaC//mhpA//murC//nrfC//cynT//
Cra_pos	dkgB//tam//sucD//rffG//hycC//glpC//metH//trpD//fbaA//torC//katE//aldA//bioA//pdeL//dinB//paaH//prs//
CreB-Phosphorylated_neg	adiA//
CreB-Phosphorylated_pos	fucK//
CsgD_neg	purN//prpD//
CsgD_pos	ybjG//sdhA//narG//
CsiR_neg	fadH//rffH//fadJ//paaE//
CspA_pos	bioC//
CueR-Cu_neg	bioB//aceB//dhaL//
CueR-Cu_pos	tam//tadA//
CusR-Pasp_pos	glnA//bioC//ugpQ//citE//
CynR-cyanate_pos	sdhD//phnN//ascB//
CynR_neg	
CysB-O-acetyl-L-serine_neg	entA//nemA//mhpC//
CysB-O-acetyl-L-serine_pos	lsrG//prpD//glcE//gpmA//lysC//paaH//paaI//dkgA//rsmH//napA//glgB//murF//
CysB_neg	
CysB_pos	waaH//betB//
CytR_neg	rnpB//uidA//ynfF//atoB//ttdB//frdA//pflB//tyrA//betB//fucA//
Dan-L-tartrate_pos	narH//puuE//
DcuR-Phosphorylated_pos	rutE//nrdA//glcF//glpB//
DeoR_neg	fabB//metB//rhaD//udp//truB//citX//
DhaR_neg	
DhaR_pos	leuB//
DicA_neg	
DinJ-YafQ_neg	hyaA//
DnaA-ATP_neg	yiaK//ldtC//gudD//paaF//ycjG//
DnaA-ATP_pos	eno//mdh//sbcC//
DpiA-Pasp_neg	
DpiA-Pasp_pos	pgi//chbF//fabH//aroH//hcaB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	ribA//rnpB//
EbgR_neg	
