# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	epd//alkA//
Ada_neg	cysH//astC//
Ada_pos	nanK//lacA//argG//moeB//
AdiY_pos	feaB//dgcN//aceE//galM//
AgaR_neg	fumB//
AidB_neg	rutA//
AlaS-L-alanine_neg	kbaY//
AllR-allantoin_neg	ogt//ulaG//folA//nagB//eda//umuC//
AllS-allantoin_pos	rutD//lyxK//dapB//
AlsR_neg	mhpB//uvrC//tdcD//
AppY_pos	aceE//wecB//
AraC-arabinose_neg	glgB//fucU//pgm//ldtB//mnmG//
AraC-arabinose_pos	purM//appA//sbcD//paaH//leuB//rimK//
AraC_neg	hycE//glk//pdeH//
AraC_pos	glgC//purB//garD//
ArgP-arginine_neg	
ArgP-arginine_pos	galM//
ArgP_pos	frdA//codA//nfsB//rfe//sbcC//glmS//paaG//uvrC//
ArgR-L-arginine_neg	frdD//tdcE//frdA//gadA//yiaK//frdC//hcaB//fadI//bioF//truB//ynfH//bioC//narH//uxaC//mhpA//allA//recB//alkA//
ArgR-L-arginine_pos	cdd//nirB//ynfE//paaA//paaA//
ArsR_neg	metC//pyrC//
AscG_neg	ddlB//dapD//
AsnC_neg	gutQ//
AsnC_pos	ogt//
AtoC-Phosphorylated_pos	guaB//speG//rimK//
BCCP_neg	glgP//
BaeR-Phosphorylated_pos	uxaC//aceB//
BasR-Phosphorylated_neg	trpA//
BasR-Phosphorylated_pos	bioB//murE//
BetI_neg	uidA//garR//phnJ//
BirA-biotinyl-5-adenylate_neg	leuA//hcaE//sgbE//caiD//fabG//
BluR_neg	
BolA_neg	entH//malP//
BolA_pos	ddlB//fau//
BtsR-Phosphorylated_pos	rtcA//
CadC_pos	hycD//hcp//mhpE//
CaiF-L-carnitine_pos	umuD//fabG//fabA//gpmA//fabH//
Cbl_pos	uxaA//astB//hcaD//truB//prpB//
CdaR_pos	murQ//pagP//allD//metH//mhpA//rffC//entA//purA//allB//
CecR_neg	purB//
ChbR-N-monoacetylchitobiose6-phosphate_neg	entD//garD//fucK//
ChbR-N-monoacetylchitobiose6-phosphate_pos	fabG//alkA//allD//
ChbR_neg	alaS//cynS//tyrB//
ChbR_pos	trpB//edd//glmU//
ComR_neg	
CpxR-Phosphorylated_neg	dapB//pgi//ynfH//
CpxR-Phosphorylated_pos	acnB//ftnA//glmU//mhpC//murC//dhaK//nrfD//rnpB//gatY//alkB//dgcZ//ulaD//pepD//uxaC//aroL//murE//ulaE//citG//
Cra_neg	srlD//grxA//ruvA//ruvB//purL//glpC//phnN//citD//glxK//slt//ynfF//sdhB//pspE//dhaK//hcp//moaE//tyrA//ada//tauD//fruK//ppc//pheS//ddlB//ssuD//nrdF//astB//cysN//glcE//xylB//fau//truB//purE//entF//ulaG//fes//gpmA//fabH//pyrC//luxS//napA//caiD//glsA//phnN//oxc//gltD//
Cra_pos	ycjG//luxS//cynS//gltB//hypF//dacC//ldtC//dhaK//nanM//murD//torA//grxA//hypF//argI//citG//aroG//cysI//
CreB-Phosphorylated_neg	ascB//
