# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	fadA//yiaK//
Ada_neg	ndh//puuA//
Ada_pos	trpA//sdhA//waaY//oxc//
AdiY_pos	metC//deoA//murG//dsdA//
AgaR_neg	phnI//
AidB_neg	betA//
AlaS-L-alanine_neg	patD//
AllR-allantoin_neg	rbsK//aceE//kbaY//ttdB//yeaG//gadB//
AllS-allantoin_pos	rsmH//cynT//metH//
AlsR_neg	ynfG//tauD//dgkA//
AppY_pos	nfsA//xylA//
AraC-arabinose_neg	malY//wrbA//ulaF//cysE//cysE//
AraC-arabinose_pos	uxaC//rfe//atoA//slt//paaK//purD//
AraC_neg	lysC//hycE//pgpC//
AraC_pos	bglB//lhgO//glnA//
ArgP-arginine_neg	
ArgP-arginine_pos	torC//
ArgP_pos	acnA//deoA//srlD//deoA//allB//hcaB//glcB//ubiC//
ArgR-L-arginine_neg	sucA//citD//tdcE//rutA//mpaA//hycB//murQ//rbsD//ynfG//fucO//rutB//galT//fucK//nadB//dgcZ//ldtC//frdC//ttdB//
ArgR-L-arginine_pos	yeaE//uxaA//sodB//ppsA//bglB//
ArsR_neg	eda//frdC//
AscG_neg	paaB//ldtC//
AsnC_neg	nirD//
AsnC_pos	aldA//
AtoC-Phosphorylated_pos	aceE//gntK//gadB//
BCCP_neg	phnI//
BaeR-Phosphorylated_pos	pncB//argB//
BasR-Phosphorylated_neg	cyoE//
BasR-Phosphorylated_pos	allD//tam//
BetI_neg	malY//dkgA//purK//
BirA-biotinyl-5-adenylate_neg	malY//dhaL//ulaD//glgX//xylB//
BluR_neg	
BolA_neg	recD//cynS//
BolA_pos	gabT//mazG//
BtsR-Phosphorylated_pos	galT//
CadC_pos	ssuD//hemL//dsdA//
CaiF-L-carnitine_pos	fdhF//phnN//pgm//nrdA//napB//
Cbl_pos	gcvP//fucO//pyrD//aroH//talA//
CdaR_pos	narG//nfsB//dacC//cadA//hyaC//ldtD//gatY//sufS//gadB//
CecR_neg	torA//
ChbR-N-monoacetylchitobiose6-phosphate_neg	gabT//pgaD//prpB//
ChbR-N-monoacetylchitobiose6-phosphate_pos	narG//mltF//tdcB//
ChbR_neg	hypF//gcl//mltF//
ChbR_pos	sdhD//idnK//paaG//
ComR_neg	
CpxR-Phosphorylated_neg	rutA//moaE//ubiA//
CpxR-Phosphorylated_pos	wzb//rtcA//cynS//metL//alaC//nrdB//sufS//tauD//gor//paaI//entA//nfsB//citX//ampC//fbaA//torC//paaB//aceF//
Cra_neg	cysE//uxaC//aroG//ppc//patA//bioF//gloA//rbsK//relA//patD//uxuB//sdhA//fucK//rutC//puuA//fucK//nfsB//yqjH//sgbH//ssuD//talA//rtcB//ycjG//uxuB//cadA//polA//galT//mhpD//uxuA//glmS//glpA//murG//fruK//nagB//glgC//leuA//ttdA//deoD//glgB//yfdE//hycB//eda//dmsA//metL//lsrG//
Cra_pos	pgpC//paaZ//cysJ//gcvP//gabD//mhpA//metE//patA//mhpE//glsA//dkgB//sucD//galK//tehB//hycE//tam//pnp//
CreB-Phosphorylated_neg	fucA//
CreB-Phosphorylated_pos	deoA//
CsgD_neg	pyrD//gdhA//
CsgD_pos	sdhA//ynfE//hcaC//
CsiR_neg	sgbH//garK//tauD//deoC//
CspA_pos	gadA//
CueR-Cu_neg	lpxC//rhaD//prpE//
CueR-Cu_pos	metH//alaS//
CusR-Pasp_pos	relA//paaF//bioF//rutE//
CynR-cyanate_pos	tauD//pflB//hyaA//
CynR_neg	
CysB-O-acetyl-L-serine_neg	sdhB//frdC//uidA//
CysB-O-acetyl-L-serine_pos	fbaA//asnA//wecC//mnmG//nanE//deoD//rhaB//purL//moaE//phnJ//asnB//gatD//
CysB_neg	
CysB_pos	betB//gadA//
CytR_neg	araA//nanA//hemL//wzb//tdcE//phnG//cysG//prpE//dgcC//idnO//
Dan-L-tartrate_pos	purC//frdC//
DcuR-Phosphorylated_pos	mhpA//dmsC//tyrA//hycG//
DeoR_neg	fabG//napG//phnL//rhaA//glpX//fdhF//
DhaR_neg	
DhaR_pos	fabI//
DicA_neg	
DinJ-YafQ_neg	pepD//
DnaA-ATP_neg	rnpB//phoA//hcaC//folE//paaC//
DnaA-ATP_pos	tyrB//citE//glgB//
DpiA-Pasp_neg	
DpiA-Pasp_pos	glcB//murD//gltD//pgaB//narH//
DsdC-D-serine_neg	
DsdC-D-serine_pos	purC//serA//
EbgR_neg	
EnvR_neg	moeB//metF//
EnvY_pos	rutD//ulaE//
EvgA-Phosphorylated_pos	ilvC//purL//adiA//uvrC//lhgO//glgP//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	metF//wrbA//uxaA//hycG//nemA//sodB//
FabR_neg	serA//sdhC//dsdA//
FadR-acyl-CoA_pos	
FadR_neg	gatD//rsmH//glgB//narI//cyoE//rhaD//uvrC//fau//hemH//
FadR_pos	ccp//katG//yqjH//aldA//uvrA//trpA//glpD//ruvA//melA//ulaG//
FeaR_pos	pgm//phnH//
FhlA-formate_pos	uvrA//tyrA//glmU//rtcA//phnJ//carB//leuB//gpmA//
FlhDC_neg	asnA//alkB//
FlhDC_pos	uxuB//psd//ldtC//ogt//trpC//nanE//tpiA//ychF//grxA//argF//ynfH//nrfA//
FliZ_neg	sucB//citF//pdeH//bioB//trpB//
FucR-L-fuculose-1-P_pos	eno//lpd//ubiX//pck//aspA//garK//
Fur-Fe2_neg	nanM//umpH//ldtC//frdD//ulaD//galE//nadB//trpD//hcp//fadJ//ulaD//ulaE//malY//dapB//folA//yqjH//atoA//tdcB//gnd//astD//truB//adiA//phnL//wzc//betB//nirD//glcE//cdd//nemA//ynfH//hcp//fdhF//moeA//gadB//ulaG//hcaC//pyrC//argH//cysM//paaC//acnA//mhpC//malS//hyaB//speA//fabA//leuA//ycjG//bioC//yeaG//slt//yeaG//phnO//
Fur-Fe2_pos	dhaK//betA//nadA//glnA//gcvT//mngB//appA//pgaC//citD//cueO//rhaA//adhE//mhpB//caiD//fadH//yedX//
GadE-RcsB_pos	deoB//paaA//narI//pgpC//murD//
GadE_pos	bacA//glgB//carA//frdC//truB//melA//moaA//idnD//sucA//pgpC//
GadW_neg	nrdD//accC//dapB//
GadW_pos	betA//allD//ulaG//aroG//
