# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	guaA//deoC//
Ada_neg	sdhD//aceE//
Ada_pos	gpmA//rutC//napB//sbcC//
AdiY_pos	waaH//phnN//alaS//mhpE//
AgaR_neg	alkA//
AidB_neg	nanA//
AlaS-L-alanine_neg	udp//
AllR-allantoin_neg	glxK//sucC//glcF//murD//ynfF//glpB//
AllS-allantoin_pos	dapB//tehB//deoD//
AlsR_neg	pspE//iscS//tdcB//
AppY_pos	gcvP//malQ//
AraC-arabinose_neg	rhaD//gcvP//yiaK//paaJ//deoA//
AraC-arabinose_pos	pgaB//accC//citX//nrfC//glgX//xylA//
AraC_neg	phnP//purL//dacC//
AraC_pos	ruvB//uxuB//lacZ//
ArgP-arginine_neg	
ArgP-arginine_pos	paaE//
ArgP_pos	paaG//torA//hemH//bioD//prpB//phnN//torC//phnP//
ArgR-L-arginine_neg	paaF//deoA//gpmA//ulaE//nrdB//citE//uvrA//glpD//purM//gcvH//lacA//grxA//galK//ftnA//nirB//rutA//patD//pdeL//
ArgR-L-arginine_pos	murE//ydcS//ychF//poxB//torA//
ArsR_neg	uxuB//sdhA//
AscG_neg	cysJ//recD//
AsnC_neg	lsrG//
AsnC_pos	nrfC//
AtoC-Phosphorylated_pos	napH//betB//recB//
BCCP_neg	ynfH//
BaeR-Phosphorylated_pos	nadB//nadA//
BasR-Phosphorylated_neg	tpiA//
BasR-Phosphorylated_pos	metC//waaZ//
BetI_neg	mhpF//atoA//yfdE//
BirA-biotinyl-5-adenylate_neg	moaE//tdcE//hemL//astE//purK//
BluR_neg	
BolA_neg	argG//mtlD//
BolA_pos	aspA//aceA//
BtsR-Phosphorylated_pos	mpl//
CadC_pos	cysI//putA//sufS//
CaiF-L-carnitine_pos	napG//murQ//cysH//lsrF//umuD//
Cbl_pos	hmp//prpD//sgbH//glcD//dapB//
CdaR_pos	ndh//nadB//galK//trpB//appA//wrbA//dkgB//hypF//nirB//
