# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ddlB//uxaA//
Ada_neg	lpxC//relA//
Ada_pos	betA//hycB//galM//mhpF//
AdiY_pos	fadB//chbF//bglB//fucI//
AgaR_neg	lsrG//
AidB_neg	entF//
AlaS-L-alanine_neg	asnA//
AllR-allantoin_neg	pheT//araD//frc//accC//nanK//dhaK//
AllS-allantoin_pos	sbcD//nrdF//grxA//
AlsR_neg	allE//leuD//allB//
AppY_pos	cynS//astB//
AraC-arabinose_neg	entD//dacC//metL//thrS//ogt//
AraC-arabinose_pos	mhpA//paaB//prs//fucU//atoB//ulaF//
AraC_neg	purM//tauD//melA//
AraC_pos	glnA//hypB//araB//
ArgP-arginine_neg	
ArgP-arginine_pos	glpA//
ArgP_pos	hycB//glmS//entC//glgB//purL//recD//wzb//astE//
ArgR-L-arginine_neg	nrfD//aroG//uxuA//patD//sdhA//arsC//purC//amn//luxS//gpmA//puuB//glcF//citG//mpl//yfdE//murD//atoB//yqjH//
ArgR-L-arginine_pos	amn//nanM//recB//fau//phnL//
ArsR_neg	hypB//uvrB//
AscG_neg	ldtB//argA//
AsnC_neg	murC//
AsnC_pos	fadJ//
AtoC-Phosphorylated_pos	tam//nrfD//purC//
BCCP_neg	paaJ//
BaeR-Phosphorylated_pos	chbF//astE//
BasR-Phosphorylated_neg	hyaC//
BasR-Phosphorylated_pos	phnL//sdhA//
BetI_neg	recB//bioC//argA//
BirA-biotinyl-5-adenylate_neg	appA//frdB//uidA//glsA//grxA//
BluR_neg	
BolA_neg	moaC//aroG//
BolA_pos	ttdB//fucK//
BtsR-Phosphorylated_pos	nanA//
CadC_pos	sucB//gpmA//idnD//
CaiF-L-carnitine_pos	wecB//pgm//hycF//fabD//tauD//
Cbl_pos	epd//lldD//fumC//metB//hycG//
CdaR_pos	ttdA//epd//tdcG//phnG//moaD//cueO//tauD//arsC//sdhA//
CecR_neg	dhaM//
ChbR-N-monoacetylchitobiose6-phosphate_neg	cysD//cueO//nrfC//
ChbR-N-monoacetylchitobiose6-phosphate_pos	pykF//sodB//frdD//
ChbR_neg	mraY//sdhC//pck//
ChbR_pos	nagA//hycE//talA//
