# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	hycB//rtcB//
Ada_neg	nanE//uxaB//
Ada_pos	gadA//ulaG//frdA//ubiX//
AdiY_pos	gadB//garK//nrdA//glpQ//
AgaR_neg	dkgA//
AidB_neg	glpX//
AlaS-L-alanine_neg	gntK//
AllR-allantoin_neg	phnN//gabD//gatZ//glpQ//gutQ//phnM//
AllS-allantoin_pos	argD//lsrK//guaB//
AlsR_neg	gapA//araA//citF//
AppY_pos	yfdE//yiaK//
AraC-arabinose_neg	nanK//cadA//dhaL//paaC//puuB//
AraC-arabinose_pos	alkA//fadE//phr//xylA//metK//cysE//
AraC_neg	umuD//ldtD//leuA//
AraC_pos	galT//caiC//paaJ//
ArgP-arginine_neg	
ArgP-arginine_pos	ulaG//
ArgP_pos	talA//dmsA//rffC//paaH//mhpE//napA//aroH//paaH//
ArgR-L-arginine_neg	lacA//mngB//rtcB//fau//sodB//hyaA//speG//xylA//mltF//tdcD//dapD//ulaG//hcaC//prpE//ampC//entA//citC//lacZ//
ArgR-L-arginine_pos	asnB//fruK//allC//ssuE//paaH//
ArsR_neg	argH//nfsB//
AscG_neg	pncB//acnB//
AsnC_neg	galT//
AsnC_pos	mraY//
AtoC-Phosphorylated_pos	pgpC//asnA//dhaK//
BCCP_neg	hcaD//
BaeR-Phosphorylated_pos	asnB//ldtC//
BasR-Phosphorylated_neg	wzc//
BasR-Phosphorylated_pos	lacA//nrdB//
BetI_neg	caiC//hycC//acnB//
BirA-biotinyl-5-adenylate_neg	gabD//hyaB//ttdA//rffM//moaD//
BluR_neg	
BolA_neg	prpD//bioF//
BolA_pos	glxK//nanE//
BtsR-Phosphorylated_pos	prpC//
CadC_pos	puuB//ppiA//ahpC//
CaiF-L-carnitine_pos	ftnA//murG//rffM//moeB//glpC//
Cbl_pos	pspE//paaB//cysE//wecE//gpmA//
CdaR_pos	gatD//hycD//recD//rutD//acnA//pgm//mdh//puuA//dhaK//
CecR_neg	rbsD//
ChbR-N-monoacetylchitobiose6-phosphate_neg	lldD//xapA//paaY//
ChbR-N-monoacetylchitobiose6-phosphate_pos	moaC//uidA//ppiA//
ChbR_neg	araD//phoA//dmsA//
ChbR_pos	deoB//torC//ilvC//
ComR_neg	
CpxR-Phosphorylated_neg	pdeL//wecB//lyxK//
CpxR-Phosphorylated_pos	gudD//nfsB//prpE//lysA//ldtD//ttdB//pgaC//fabA//glpQ//hemH//prpB//betB//hcaB//tadA//recB//yedX//pgaD//yeaE//
Cra_neg	acnA//uvrC//bioB//argA//glpA//metK//rhaD//ybjG//fumC//malP//atoD//uxuB//fadA//pdeR//prpD//fadE//paaF//epd//recB//adhE//hypB//kbaY//metB//prpD//fucI//glmU//fadI//chbG//purF//fau//lysC//putA//gloA//cynS//ugpQ//eno//metL//ppc//narG//fucA//fabD//eno//fucU//kbaY//grxA//
Cra_pos	ribA//leuB//pgpC//metH//zwf//relA//speA//fdhF//paaJ//glgP//garD//nanK//lpxA//fucK//bioC//pgaB//narI//
CreB-Phosphorylated_neg	rffC//
CreB-Phosphorylated_pos	mhpA//
CsgD_neg	mhpA//aroL//
CsgD_pos	eno//bioA//nfsB//
CsiR_neg	accD//aroF//glpB//gcvP//
CspA_pos	alaC//
CueR-Cu_neg	gapA//folA//purE//
CueR-Cu_pos	phnJ//eno//
CusR-Pasp_pos	gor//fabH//cueO//purN//
CynR-cyanate_pos	hyi//katE//nirB//
CynR_neg	
CysB-O-acetyl-L-serine_neg	cadA//lsrK//dkgB//
CysB-O-acetyl-L-serine_pos	garK//metH//ulaD//uxuA//recF//carA//fadA//ruvB//dgcN//entE//ddlB//speG//
CysB_neg	
CysB_pos	caiC//psd//
CytR_neg	fabB//fabD//lpxD//dhaL//rtcA//recB//sufS//slt//idnK//mazG//
Dan-L-tartrate_pos	pncB//paaI//
DcuR-Phosphorylated_pos	glpC//polA//fadM//aspC//
DeoR_neg	lpd//ada//pspE//pfkA//pgi//metF//
DhaR_neg	
DhaR_pos	moaD//
DicA_neg	
DinJ-YafQ_neg	malP//
DnaA-ATP_neg	astC//ynfF//citD//ulaF//gnd//
DnaA-ATP_pos	phnP//hyi//phnH//
DpiA-Pasp_neg	
DpiA-Pasp_pos	moaC//amn//ftsI//rffH//garD//
DsdC-D-serine_neg	
DsdC-D-serine_pos	nrfD//mhpC//
EbgR_neg	
EnvR_neg	glpK//glgA//
EnvY_pos	fucA//rbsD//
EvgA-Phosphorylated_pos	kbaZ//slt//metK//pncB//recF//glgA//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	uxuA//rsmH//pyrC//ccp//edd//frdC//
FabR_neg	phnM//tadA//polA//
FadR-acyl-CoA_pos	
FadR_neg	glpK//glxR//rffG//fadJ//accA//xylA//phnJ//ampC//phnM//
FadR_pos	citG//phnI//napG//metH//fucI//rbsK//mhpD//rutB//ascB//glpC//
FeaR_pos	fadB//alaS//
FhlA-formate_pos	paaI//ulaD//garR//glmS//nanM//putA//uidA//fucA//
FlhDC_neg	speG//prpE//
FlhDC_pos	idnD//dhaK//ssuE//hcaE//uxaB//fdhF//katG//caiC//gloA//gnd//grxA//rtcA//
FliZ_neg	ynfE//pgk//glgX//dgkA//carA//
FucR-L-fuculose-1-P_pos	fabD//ftsI//phnJ//pagP//wzc//prpE//
Fur-Fe2_neg	ulaE//fabH//sdhA//chbG//lhgO//citF//ampC//lpd//tynA//gabD//fabH//tehB//yqhD//tpiA//aspA//hcaC//dmsB//alsE//leuA//entH//entA//tdcE//nfsA//pflB//eno//polA//lsrF//ung//wrbA//ahpC//purB//accD//ddlB//dgkA//gpmA//fucU//rutA//ulaE//nadA//tdcG//ung//guaA//folA//yeaG//sodB//dinB//sdhA//rsmH//paaB//murF//nagA//bioC//pheS//
Fur-Fe2_pos	ulaD//codA//mraY//prpC//entF//udp//paaB//chbF//fabA//rfe//aroH//glgA//alsE//adiA//rffC//dgkA//
GadE-RcsB_pos	hyaA//argH//umuD//narH//nanM//
GadE_pos	relA//lpd//entH//edd//trpA//alaC//ynfE//moeA//astA//rffH//
GadW_neg	lldD//ttdA//gudD//
GadW_pos	cdd//moeB//astC//gatY//
GadX_neg	xylB//mltF//entF//
GadX_pos	paaZ//tpiA//pgi//glgC//yeaG//mtlD//mhpD//uidA//moaC//glpA//wrbA//
GalR-beta-D-galactose_neg	sbcC//uvrC//metC//entE//rfe//
GalR-beta-D-galactose_pos	wzc//guaA//garL//chbG//
GalR_neg	dhaM//glsA//lhgO//mltF//phnP//cysC//
GalR_pos	tauD//ugpQ//mhpA//sufS//
GalS-beta-D-galactose_neg	nrdB//rtcA//fadI//katE//pgk//
GalS-beta-D-galactose_pos	rffH//sufS//ubiA//katE//
GalS_neg	sdhD//cysI//umpH//cyoE//mngB//aceA//
GalS_pos	pagP//yfdE//gnd//folA//
GatR_neg	caiA//lsrK//fes//
GcvA_neg	sucC//hcaC//murF//
GcvA_pos	lacZ//citG//glcB//
GlcC-glycolate_neg	
GlcC-glycolate_pos	nrfA//prpD//gloA//
GlpR_neg	gpmM//uidA//hmp//napG//fabA//feaB//ttdA//
GlrR-Pasp56_pos	
GntR_neg	purK//hemH//nemA//ulaD//torC//allC//wecB//umpH//cysD//
GutM_pos	frdC//lhgO//purM//
HU_neg	bioC//tnaA//fabA//xylA//rhaA//fdhF//srlD//
HU_pos	
HcaR-HCA_pos	yqhD//nfsA//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	rbsD//
HigB-HigA_neg	hyaA//
HipAB_neg	glpQ//lacA//
HipB_neg	cyoE//fadA//xylB//
HprR-Phosphorylated_neg	astC//entE//
HprR-Phosphorylated_pos	metL//hcaC//
HyfR_pos	puuE//
HypT-Met-oxidized_neg	polB//sdhC//
HypT-Met-oxidized_pos	waaY//allC//carB//murE//rimK//
IclR-pyruvate_neg	tdcB//frdD//ttdB//
IdnR-5-ketogluconate_neg	guaB//wecB//
IdnR-5-ketogluconate_pos	mdh//rutC//argB//
IlvY-2-acetolactate_pos	pgm//
IlvY_neg	
IscR-2Fe-2S_neg	glmS//yeaG//
IscR_neg	purD//putA//fabH//murF//
IscR_pos	rbsD//ahpC//
KdgR_neg	entA//idnK//
KdpE-Phosphorylated_pos	garR//
LacI_neg	cysG//tehB//codA//
LeuO_neg	
LeuO_pos	gcvP//phnM//appA//fabB//pheS//gpmA//
LexA_neg	moaA//purF//hycE//ulaF//moeA//dmsB//paaZ//araB//cysH//argH//cynT//katE//gabD//fadE//nrdE//mnmG//fabG//carA//trpD//cyoE//sodB//tauD//argA//
LldR-lactate_neg	phoA//ulaF//
LldR-lactate_pos	ybjG//wzb//
LldR_neg	yfdE//citX//
LldR_pos	cysJ//fabI//
LrhA_neg	
LrhA_pos	
LsrR_neg	pheS//polB//leuA//folA//carA//
LysR_neg	
LysR_pos	garR//
MalI_neg	glk//narH//
MalT-maltotriose-ATP_pos	ahpC//nrfD//lsrF//hypB//glpC//xylB//
MarA_neg	tyrB//
MarA_pos	ldtD//luxS//frdD//ynfF//murC//moaC//pflB//fadD//polB//hypB//torA//patA//moaE//glpQ//slt//adhE//dgcC//gltD//lysC//ppiA//nrfD//glxK//aldA//
MarR_neg	
MatA_neg	bioF//
MatA_pos	
MazE-MazF_neg	ilvC//
MazE_neg	zwf//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	metA//patA//
MelR-melibiose_pos	folE//wecB//
MelR_neg	lhgO//uxaB//
MelR_pos	glmS//ribA//
MetJ-adenosylmethionine_neg	wecE//katG//rnpB//puuB//nanM//rnpB//entE//dmsC//gcvP//bioC//
MetR-L-homocysteine_neg	trpE//
MetR-L-homocysteine_pos	murF//mhpF//
MetR_pos	fabZ//fumC//
MhpR-3HPP_pos	glgB//caiB//rtcB//mdh//napH//xylB//
Mlc_neg	hycE//lyxK//tdcD//pgm//
MlrA_pos	accD//
MngR_neg	mhpE//araA//
MntR-Mn2_neg	tktB//
MntR-Mn2_pos	deoC//
ModE-MoO42-_neg	sucB//amn//gudD//edd//accA//araA//glmS//accA//
ModE-MoO42-_pos	phnH//moeB//uxaB//glpB//polA//uidA//purM//sufS//pgi//
MprA_neg	glmU//acnA//atoD//
MqsA_neg	ada//metL//
MraZ_neg	umuD//argA//pyrD//metE//gcvT//waaH//ruvA//prpE//uxaA//paaA//
MurR_neg	tdcB//pgaC//phr//
MurR_pos	
Nac_neg	hcaD//metA//bioD//
Nac_pos	mpl//codA//mpl//argI//frc//glcD//sdhD//purF//
NadR_neg	allD//aldA//tdcB//cysD//
NagC_neg	deoA//nagA//purK//uxuA//argG//sbcC//glgA//gutQ//polA//ascB//treC//ung//araB//argD//phnI//cysN//glpB//ampC//
NagC_pos	aspC//entH//
NanR_neg	nirD//ribA//mdh//gudD//argD//caiA//
NanR_pos	
NarL-Phosphorylated_neg	rutE//entH//guaB//frdC//idnK//rutB//pncB//uidA//rimK//hycG//narI//lacA//galK//pgaB//fabG//entC//dmsB//paaA//polA//purM//murQ//rffG//frdD//argI//entB//ugpQ//phnJ//sdhD//
NarL-Phosphorylated_pos	cynS//fdhF//glmU//adhE//glpD//fabA//tyrB//nagA//hyaC//lpd//yeaE//entB//allC//metL//kbaY//
NarP-Phosphorylated_neg	alaC//gutQ//cadA//kbaY//ppc//
NarP-Phosphorylated_pos	uvrC//metK//fucA//hcaC//cysH//sucA//katE//hycG//cysM//hyaA//tadA//cysM//argA//glcE//
NemR_neg	metL//hypB//
NhaR-Na_pos	lpxD//allC//dinB//lysC//ygeA//
NikR-Ni2_neg	deoD//
NimR_neg	wecE//
NorR_neg	
NorR_pos	murC//
NrdR-Zn2_neg	glgA//phnJ//tadA//folA//
NsrR_neg	tyrB//puuD//gdhA//nemA//nirB//sbcC//accA//guaA//yqjH//tdcE//katG//katG//hyaC//betA//waaY//allA//caiD//pgaC//mpl//gntK//glxR//pgk//galM//nrdB//folA//uxaA//arsC//wecC//entD//entH//paaY//uvrC//rffM//accD//dsdA//luxS//rffM//glcE//ttdA//tyrA//
NtrC-Phosphorylated_neg	frc//glgB//
NtrC-Phosphorylated_pos	pagP//aldA//asnB//tktB//polA//putA//rtcA//purB//metF//fadI//rhaA//moaE//rtcB//ynfH//yeaE//paaA//moaC//glgP//yeaE//cysN//allC//
OmpR-Phosphorylated_neg	nrdF//lsrK//fadM//xapA//fadB//
OmpR-Phosphorylated_pos	gcvP//pheT//sucD//fabI//
