# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ssuD//cysI//
Ada_neg	hcaB//katE//
Ada_pos	nadB//asnA//murD//cysE//
AdiY_pos	paaF//prpD//leuC//phnG//
AgaR_neg	cadA//
AidB_neg	uxuB//
AlaS-L-alanine_neg	argF//
AllR-allantoin_neg	entF//purN//fes//nrfC//nfsA//malZ//
AllS-allantoin_pos	sucD//entC//narI//
AlsR_neg	argB//lysC//moaA//
AppY_pos	fabH//glpQ//
AraC-arabinose_neg	trpA//paaH//pepD//paaG//paaH//
AraC-arabinose_pos	allD//alkA//srkA//garK//tnaA//chbG//
AraC_neg	astD//glxR//argB//
AraC_pos	dgcC//narH//fadI//
ArgP-arginine_neg	
ArgP-arginine_pos	icd//
ArgP_pos	hyaB//rutB//ynfF//cysG//tktB//astB//ttdB//ruvA//
ArgR-L-arginine_neg	epd//lldD//kbaY//phnI//caiA//aspC//narI//ruvA//trpB//prpB//dkgB//ygeA//cysH//ada//mraY//rfe//fumC//fabZ//
ArgR-L-arginine_pos	torA//uvrB//gcvH//epd//paaE//
ArsR_neg	glmS//hypF//
AscG_neg	gabT//iscS//
AsnC_neg	dapB//
AsnC_pos	tam//
AtoC-Phosphorylated_pos	glxR//moaC//leuA//
BCCP_neg	hycD//
BaeR-Phosphorylated_pos	speG//speA//
BasR-Phosphorylated_neg	ppiA//
BasR-Phosphorylated_pos	bioA//rimK//
BetI_neg	gutQ//deoC//ynfH//
BirA-biotinyl-5-adenylate_neg	rbsK//mhpD//pepD//rffT//dgkA//
BluR_neg	
BolA_neg	argD//waaY//
BolA_pos	yeaG//purE//
BtsR-Phosphorylated_pos	garL//
CadC_pos	fadB//alaS//ttdA//
CaiF-L-carnitine_pos	prs//ada//metB//metE//rutB//
Cbl_pos	argH//tadA//frc//sdhB//purA//
CdaR_pos	glxR//malP//paaB//patD//fucA//pheS//malS//fadA//purL//
CecR_neg	glyA//
ChbR-N-monoacetylchitobiose6-phosphate_neg	napG//rsmH//uxaC//
ChbR-N-monoacetylchitobiose6-phosphate_pos	murD//bioF//phoA//
ChbR_neg	mhpC//pflB//hyi//
