# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	frdA//lpxD//
Ada_neg	kbaY//fadA//
Ada_pos	fucA//sgbE//gcvT//nagA//
AdiY_pos	paaC//fucK//gloA//glpX//
AgaR_neg	glcD//
AidB_neg	allC//
AlaS-L-alanine_neg	ssuD//
AllR-allantoin_neg	glpK//metB//uvrC//fabG//entD//malQ//
AllS-allantoin_pos	hycG//gor//oxc//
AlsR_neg	mhpE//glcE//pagP//
AppY_pos	hyaA//entH//
AraC-arabinose_neg	trpB//entA//nanE//prpC//bioB//
AraC-arabinose_pos	bioA//rffG//fucK//hycD//edd//gutQ//
AraC_neg	tauD//pyrC//paaC//
AraC_pos	phnN//tktB//treC//
ArgP-arginine_neg	
ArgP-arginine_pos	mpaA//
ArgP_pos	garD//aroH//ruvB//ilvC//purB//gutQ//sucB//galK//
ArgR-L-arginine_neg	ldtB//deoB//aceE//grxA//murI//murC//nanE//fdhF//gntK//yqjH//luxS//napB//ssuD//purK//dhaL//idnD//leuC//murD//
ArgR-L-arginine_pos	ldtB//hycF//gltD//fbaB//rtcA//
ArsR_neg	caiC//moaA//
AscG_neg	ftsI//dgcZ//
AsnC_neg	alaC//
AsnC_pos	mnmG//
AtoC-Phosphorylated_pos	gpmM//tnaA//prpD//
BCCP_neg	lsrG//
BaeR-Phosphorylated_pos	rutD//nemA//
BasR-Phosphorylated_neg	ynfE//
BasR-Phosphorylated_pos	fucA//sdhD//
BetI_neg	pyrC//uvrA//iscS//
BirA-biotinyl-5-adenylate_neg	sdhC//arsC//hycG//ynfG//carB//
BluR_neg	
BolA_neg	hycB//rhaA//
BolA_pos	gcvT//sucD//
BtsR-Phosphorylated_pos	pfkA//
CadC_pos	metH//sodB//hmp//
CaiF-L-carnitine_pos	dgcN//nrfC//pgaC//lysC//asnB//
Cbl_pos	prs//entD//yqjH//atoA//pdeL//
CdaR_pos	cysK//fadA//cysH//fruK//melA//mhpD//nanE//nrdD//moaE//
CecR_neg	waaH//
ChbR-N-monoacetylchitobiose6-phosphate_neg	cueO//sucB//ndh//
ChbR-N-monoacetylchitobiose6-phosphate_pos	kbaZ//glpD//serA//
ChbR_neg	ydcS//acnB//gudD//
ChbR_pos	udp//tktB//paaZ//
ComR_neg	
CpxR-Phosphorylated_neg	araD//hemH//astC//
CpxR-Phosphorylated_pos	nirD//hycC//hyaC//gadB//atoD//sdhB//waaH//fucU//cynS//mhpD//ilvC//moeB//pdeR//malQ//astA//citC//nrfD//yfdE//
Cra_neg	nrdD//katG//kbaZ//bacA//hycG//fadH//tynA//gor//patD//tdcB//astC//rutE//citG//entA//paaB//hyaC//phnI//yeaG//gntK//puuE//edd//lhgO//trpA//hycG//galE//dkgA//rnpB//napA//gutQ//nrdE//recB//sgbE//ampC//umpH//accD//argA//atoB//yiaK//frc//umuC//ygeA//ftnA//argF//torA//phoA//
Cra_pos	purK//slt//fabB//glk//sucB//nrdF//puuE//ulaF//argF//glcB//gcl//adhE//aspA//polA//argD//entD//gutQ//
CreB-Phosphorylated_neg	umuD//
CreB-Phosphorylated_pos	slt//
CsgD_neg	ribA//ruvA//
CsgD_pos	gcl//pck//mltF//
CsiR_neg	patD//zwf//prpB//cysE//
CspA_pos	moaE//
CueR-Cu_neg	paaB//nrdF//glpK//
CueR-Cu_pos	yedX//dgkA//
CusR-Pasp_pos	katG//gpmM//glgP//asnB//
CynR-cyanate_pos	nanA//glmU//nagA//
CynR_neg	
CysB-O-acetyl-L-serine_neg	caiC//nagA//fabH//
CysB-O-acetyl-L-serine_pos	gadB//pdeL//puuB//sbcD//chbG//atoB//mnmG//rutA//fbaA//astB//cdd//fadE//
CysB_neg	
CysB_pos	citD//rutA//
CytR_neg	bioD//tnaA//sbcC//glcD//atoA//gntK//carB//wecB//torA//ribA//
Dan-L-tartrate_pos	bioF//garK//
DcuR-Phosphorylated_pos	ilvC//caiB//wecE//rutC//
DeoR_neg	carB//wecB//dgcC//sdhC//ubiX//kbaZ//
DhaR_neg	
DhaR_pos	aceA//
DicA_neg	
DinJ-YafQ_neg	carB//
DnaA-ATP_neg	recB//nfsB//napG//puuC//fadM//
DnaA-ATP_pos	adiA//sbcD//gutQ//
DpiA-Pasp_neg	
DpiA-Pasp_pos	cysG//caiA//ascB//glxR//dgkA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	ftsI//hcaF//
EbgR_neg	
EnvR_neg	glmU//gor//
EnvY_pos	galT//dhaK//
EvgA-Phosphorylated_pos	pgaB//ung//chbG//umpH//allE//tdcB//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	xylB//allC//dsdA//hmp//glmS//yqjH//
FabR_neg	gcvP//aroH//fabG//
FadR-acyl-CoA_pos	
FadR_neg	sgbH//lpxA//uxuA//puuB//prs//sdhB//purB//pflB//cysM//
FadR_pos	allE//trpC//acnA//acnA//murQ//ubiX//cynS//citX//aspA//tdcE//
FeaR_pos	folE//ydcS//
FhlA-formate_pos	cysH//mltF//fucA//rhaB//dhaK//argG//pnp//murI//
FlhDC_neg	citX//glpX//
