# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	frdD//glpD//
Ada_neg	tnaA//cueO//
Ada_pos	trpE//eno//entB//gcl//
AdiY_pos	alaC//puuE//fucK//fadJ//
AgaR_neg	glpA//
AidB_neg	glk//
AlaS-L-alanine_neg	gatZ//
AllR-allantoin_neg	gatD//speG//ydcS//pdeL//pepD//metB//
AllS-allantoin_pos	idnD//tadA//paaJ//
AlsR_neg	eda//nadB//pncB//
AppY_pos	ampC//entB//
AraC-arabinose_neg	mpl//ynfF//ydcS//moeA//argG//
AraC-arabinose_pos	nrdD//tynA//narG//aceA//grxA//metF//
AraC_neg	idnD//pykF//paaJ//
AraC_pos	pspE//recB//paaG//
ArgP-arginine_neg	
ArgP-arginine_pos	lldD//
ArgP_pos	pncB//rffH//uxuA//pepD//sucC//paaB//glxR//rfe//
ArgR-L-arginine_neg	ldtC//prpD//sbcD//oxc//paaB//rimK//hycD//hycB//idnK//glpQ//iscS//allD//nrfC//moaD//argF//purM//argA//gcvP//
ArgR-L-arginine_pos	moeB//gadB//nadB//mhpE//citG//
ArsR_neg	hyaA//hcp//
AscG_neg	glpD//prpC//
AsnC_neg	pgk//
AsnC_pos	nrdD//
AtoC-Phosphorylated_pos	sucD//alsE//metL//
BCCP_neg	pyrD//
BaeR-Phosphorylated_pos	citG//araD//
BasR-Phosphorylated_neg	rhaA//
BasR-Phosphorylated_pos	cyoE//tauD//
BetI_neg	caiA//aceA//melA//
BirA-biotinyl-5-adenylate_neg	nanA//gadA//aldA//arsC//nanE//
BluR_neg	
BolA_neg	gabT//caiD//
BolA_pos	uxaC//allC//
BtsR-Phosphorylated_pos	wzc//
CadC_pos	citX//ppsA//ynfE//
CaiF-L-carnitine_pos	uxaB//lacZ//leuB//hemH//astA//
Cbl_pos	rnpB//frdC//araA//araB//ssuD//
CdaR_pos	frdC//cysG//sbcD//cysM//garR//hcp//ahpF//gnd//gadA//
CecR_neg	nadA//
ChbR-N-monoacetylchitobiose6-phosphate_neg	purB//galT//pgaC//
ChbR-N-monoacetylchitobiose6-phosphate_pos	nrdF//ogt//citG//
ChbR_neg	wrbA//puuD//bioD//
