# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	hypB//entA//
Ada_neg	ldtC//bglB//
Ada_pos	pgm//ftsI//aldA//glpQ//
AdiY_pos	recB//uxuB//wzc//hcaF//
AgaR_neg	phnO//
AidB_neg	fadM//
AlaS-L-alanine_neg	glxK//
AllR-allantoin_neg	hycE//feaB//citE//tdcE//citC//dinB//
AllS-allantoin_pos	kbaY//entA//yqjH//
AlsR_neg	speB//hycC//udp//
AppY_pos	ddlB//putA//
AraC-arabinose_neg	paaB//mhpE//alaC//ulaG//gabD//
AraC-arabinose_pos	tyrB//cysD//nrfA//gnd//accA//prs//
AraC_neg	mpaA//carB//paaZ//
AraC_pos	lldD//entH//fadE//
ArgP-arginine_neg	
ArgP-arginine_pos	argB//
ArgP_pos	murG//gcvP//phnM//pgpC//astE//ahpC//fbaB//zwf//
ArgR-L-arginine_neg	rhaB//pncB//ulaE//metK//umuC//psd//narG//cysC//ppsA//purH//entB//bacA//astC//entA//paaY//tpiA//umuD//prpB//
ArgR-L-arginine_pos	pgm//phr//wecC//idnO//relA//
ArsR_neg	icd//srkA//
AscG_neg	phoA//hyaB//
AsnC_neg	fabZ//
AsnC_pos	frdC//
AtoC-Phosphorylated_pos	ulaG//deoC//hyaB//
BCCP_neg	astC//
BaeR-Phosphorylated_pos	rffT//entB//
BasR-Phosphorylated_neg	metB//
BasR-Phosphorylated_pos	pgi//purK//
BetI_neg	sucB//tdcB//patA//
BirA-biotinyl-5-adenylate_neg	fucA//lsrK//ruvB//mdh//gnd//
BluR_neg	
BolA_neg	araA//gutQ//
BolA_pos	melA//moaC//
BtsR-Phosphorylated_pos	putA//
CadC_pos	betA//aceB//putA//
CaiF-L-carnitine_pos	uxaA//cdd//torC//prpB//malQ//
Cbl_pos	fabZ//pck//glgC//sodA//gabD//
CdaR_pos	yeaG//lacA//rhaB//allD//uxuB//prs//ftnA//nanE//alkB//
CecR_neg	metK//
ChbR-N-monoacetylchitobiose6-phosphate_neg	pagP//sbcC//argF//
ChbR-N-monoacetylchitobiose6-phosphate_pos	aldA//aroF//purE//
ChbR_neg	paaJ//thrS//ynfH//
ChbR_pos	entD//atoB//fadB//
ComR_neg	
CpxR-Phosphorylated_neg	atoD//pgm//fabI//
CpxR-Phosphorylated_pos	malY//relA//paaK//ynfG//argE//codA//citF//phoA//paaC//hmp//nrdE//allC//nfsA//zwf//mpaA//glyA//moaA//aroF//
Cra_neg	bglB//mhpA//galK//rbsK//gcvH//tdcG//rffM//argB//fadM//ppc//bglB//cysI//rhaA//araD//pykF//ynfH//rffM//dsdA//gpmM//paaE//prpE//ldtD//tdcE//hyi//metL//pgaD//rutA//glxK//wrbA//fadI//nanM//ahpC//fucI//fucO//pgpC//bioB//umuC//speB//fadH//frdA//wzb//uxuA//waaZ//aceB//uidA//
Cra_pos	wzb//rfe//rpiB//wzb//astA//fabB//gcvH//waaZ//nfsB//nirB//aceE//argE//ppc//paaI//napG//talA//allC//
CreB-Phosphorylated_neg	gadB//
CreB-Phosphorylated_pos	truB//
CsgD_neg	phnG//psd//
CsgD_pos	tdcB//sucC//fucO//
CsiR_neg	gudD//dsdA//caiB//puuB//
CspA_pos	astE//
CueR-Cu_neg	feaB//ruvB//nagA//
CueR-Cu_pos	bioA//rtcA//
CusR-Pasp_pos	putA//nirB//caiD//phoA//
CynR-cyanate_pos	murI//argA//entF//
CynR_neg	
CysB-O-acetyl-L-serine_neg	gatZ//gpmA//phnM//
CysB-O-acetyl-L-serine_pos	pflB//codA//fdhF//ynfH//narG//ahpF//ahpC//ybjG//aroF//allB//ftsI//hcaD//
CysB_neg	
CysB_pos	hcaE//gcvP//
CytR_neg	astA//astE//lldD//tauD//frc//malS//hyaC//ruvB//uvrA//rutB//
Dan-L-tartrate_pos	chbG//srkA//
DcuR-Phosphorylated_pos	fadI//ynfE//rhaB//gcl//
DeoR_neg	ung//lacA//cynT//xylB//dsdA//phnJ//
DhaR_neg	
DhaR_pos	fbaA//
DicA_neg	
DinJ-YafQ_neg	galK//
DnaA-ATP_neg	aroG//phnM//garL//dhaL//dhaL//
DnaA-ATP_pos	mhpF//cysE//rffC//
DpiA-Pasp_neg	
DpiA-Pasp_pos	gcvH//araB//paaF//rffM//uvrB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	gatD//allA//
EbgR_neg	
EnvR_neg	frdB//tnaA//
EnvY_pos	yiaK//ddlB//
EvgA-Phosphorylated_pos	allC//yiaK//pnp//deoB//astD//gudD//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	gor//ldtD//recB//fabZ//phnG//glgX//
FabR_neg	fadM//pgaB//araB//
FadR-acyl-CoA_pos	
FadR_neg	rffG//zwf//patD//aroL//ychF//glnA//citG//pgk//fadJ//
FadR_pos	caiA//thrS//hcaE//recF//fbaA//fabH//ilvC//purH//murQ//ulaF//
FeaR_pos	gloA//citE//
FhlA-formate_pos	galE//murD//pnp//argH//pspE//paaH//yiaK//ynfG//
FlhDC_neg	rhaA//hypB//
FlhDC_pos	lsrK//dkgB//sdhD//ada//glxK//dinB//uxuB//sbcC//napG//argF//feaB//ddlB//
FliZ_neg	ascB//asnA//araA//ulaG//bioD//
FucR-L-fuculose-1-P_pos	fadJ//glpA//fumB//fau//grxA//rimK//
Fur-Fe2_neg	glxR//phnP//patD//ascB//srkA//aspA//carB//phnP//tadA//chbF//uvrC//hcaE//nanE//aspA//murC//psd//ynfG//fadE//fabG//hypB//fadI//sgbE//aroL//cysC//citX//nrfD//ilvC//cysC//fadA//rbsK//metL//hcaB//frdD//nagB//prs//gltB//glmS//trpE//purK//yedX//purL//bioC//bioA//nemA//pheS//citC//fadD//glgB//sucD//gntK//tauD//astC//umuD//
Fur-Fe2_pos	moeB//argC//zwf//mhpB//metB//paaG//torA//wecE//citC//ugpQ//ynfE//hcp//gor//ppsA//nrdF//moaC//
GadE-RcsB_pos	trpB//citF//nagA//waaH//citE//
GadE_pos	gntK//rutE//yqjH//rpiB//ulaE//puuE//mngB//rffM//trpC//pfkA//
GadW_neg	galT//argA//poxB//
GadW_pos	tyrA//paaG//tauD//mraY//
GadX_neg	alkB//hycC//metK//
GadX_pos	hycF//rutA//tynA//argG//frdB//uvrC//ugpQ//lyxK//purN//argE//hycD//
GalR-beta-D-galactose_neg	dgcZ//katG//dgcN//sgbH//bacA//
GalR-beta-D-galactose_pos	fucA//aceB//sodA//fadH//
GalR_neg	pdeR//cadA//malY//eda//fbaA//galT//
GalR_pos	yiaK//ynfH//glpD//deoC//
GalS-beta-D-galactose_neg	narI//katE//rsmH//talA//cueO//
GalS-beta-D-galactose_pos	narG//alaS//metB//yqhD//
GalS_neg	cysI//fabG//rimK//fabH//paaH//lysA//
