# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	moaE//mngB//
Ada_neg	dhaK//gudD//
Ada_pos	wecC//paaI//ppiA//entB//
AdiY_pos	uxaA//caiC//gatY//pdeR//
AgaR_neg	ulaD//
AidB_neg	hyaB//
AlaS-L-alanine_neg	moeB//
AllR-allantoin_neg	nfsA//nrdB//eno//hycG//sodB//entC//
AllS-allantoin_pos	pyrD//amn//pdeH//
AlsR_neg	guaA//glxK//folE//
AppY_pos	ynfE//ppiA//
AraC-arabinose_neg	sbcD//gloA//rffM//ahpC//deoB//
AraC-arabinose_pos	accA//caiD//metE//murF//cynT//fabA//
AraC_neg	fucI//kbaY//rpiB//
AraC_pos	fadE//fabG//waaH//
ArgP-arginine_neg	
ArgP-arginine_pos	metC//
ArgP_pos	pgaC//bioB//garL//mpaA//xylA//ssuD//dmsC//hyaC//
ArgR-L-arginine_neg	pgaD//sgbE//ydcS//glcB//murE//lpxC//accC//moaA//uidA//pspE//katG//aspC//pdeH//rffM//dgcZ//sgbU//phnI//puuA//
ArgR-L-arginine_pos	deoD//rpiB//phnN//sucB//frdA//
ArsR_neg	chbF//fucK//
AscG_neg	caiB//srkA//
AsnC_neg	dgkA//
AsnC_pos	dgcZ//
AtoC-Phosphorylated_pos	lsrG//pspE//fadJ//
BCCP_neg	murE//
BaeR-Phosphorylated_pos	rffH//galT//
BasR-Phosphorylated_neg	carA//
BasR-Phosphorylated_pos	iscS//phnN//
BetI_neg	dgcN//glgA//fabH//
BirA-biotinyl-5-adenylate_neg	metK//glxK//pheT//hyaC//ribA//
BluR_neg	
BolA_neg	dgcZ//caiC//
BolA_pos	mdh//pgi//
BtsR-Phosphorylated_pos	dhaL//
CadC_pos	aroG//puuC//mdh//
CaiF-L-carnitine_pos	cysE//sgbH//argG//cdd//cysM//
Cbl_pos	fadM//paaC//sucD//mnmG//frdD//
CdaR_pos	astD//tdcD//deoC//pyrC//frdA//gntK//nirD//gadA//rffG//
CecR_neg	prpB//
ChbR-N-monoacetylchitobiose6-phosphate_neg	hyaC//galK//rtcB//
ChbR-N-monoacetylchitobiose6-phosphate_pos	tam//fadM//ubiX//
ChbR_neg	nrdB//ulaG//galT//
ChbR_pos	nfsA//pgm//mdh//
ComR_neg	
CpxR-Phosphorylated_neg	allA//hypB//astD//
CpxR-Phosphorylated_pos	caiC//moaA//glpK//atoD//wecC//phnG//ruvA//hcp//glcF//hemH//mhpB//purH//ruvA//tdcB//pgpC//dkgA//rutA//glcD//
Cra_neg	purF//nemA//allD//glpD//trpD//dapB//puuD//puuD//adiA//pheT//ruvA//cyoE//alkA//lsrK//phnN//fabI//dhaL//argB//fabI//ssuD//fadB//glgC//srlD//rbsK//gadA//glyA//frdA//glk//wecB//betB//ssuD//polB//galM//ynfG//speG//rutA//recB//glk//rimK//aceE//uvrA//xapA//cynT//tadA//garL//
Cra_pos	rutC//betB//rhaD//tehB//hcaE//sgbE//nanA//carA//patA//aldA//pgi//tpiA//puuB//pgaD//sucD//accD//codA//
CreB-Phosphorylated_neg	hycG//
CreB-Phosphorylated_pos	paaZ//
CsgD_neg	nrdA//fadD//
CsgD_pos	lacA//grxA//fucA//
CsiR_neg	entC//glgX//fabI//purL//
CspA_pos	gatZ//
CueR-Cu_neg	pgm//galM//oxc//
CueR-Cu_pos	pgaD//rffG//
CusR-Pasp_pos	metF//ynfH//treC//cysI//
CynR-cyanate_pos	moaE//waaZ//wecC//
CynR_neg	
CysB-O-acetyl-L-serine_neg	lysC//atoB//accC//
CysB-O-acetyl-L-serine_pos	hcaF//nrdA//dmsC//ycjG//allB//napH//argC//eda//hmp//sgbE//eda//nfsA//
CysB_neg	
CysB_pos	malP//gor//
CytR_neg	ycjG//zwf//gatD//gcl//gltD//sdhC//gnd//umuD//sodA//astC//
Dan-L-tartrate_pos	waaY//aldA//
DcuR-Phosphorylated_pos	prpC//putA//fadJ//psd//
DeoR_neg	frdB//sdhD//nemA//fadD//ruvB//entE//
DhaR_neg	
DhaR_pos	garR//
DicA_neg	
DinJ-YafQ_neg	bioA//
DnaA-ATP_neg	wzb//ndh//lldD//rffM//yqhD//
DnaA-ATP_pos	entE//prpD//chbF//
DpiA-Pasp_neg	
DpiA-Pasp_pos	cysC//frc//ascB//moaD//glgX//
DsdC-D-serine_neg	
DsdC-D-serine_pos	aceB//phnI//
EbgR_neg	
EnvR_neg	uxaA//glyA//
EnvY_pos	dhaL//aldA//
EvgA-Phosphorylated_pos	rtcB//aldA//ftnA//metC//aspC//glpK//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	umuD//dsdA//mpaA//entE//tdcD//pyrD//
FabR_neg	nrfC//nadB//dmsA//
FadR-acyl-CoA_pos	
FadR_neg	phnH//purA//alaC//mazG//metC//patD//uxuA//allA//rffH//
FadR_pos	lhgO//mpl//murD//fadB//tdcG//gpmA//paaA//polA//betB//murD//
FeaR_pos	uxaB//kbaY//
FhlA-formate_pos	guaA//slt//hyaA//bacA//purE//aldA//galK//glpK//
FlhDC_neg	aroF//tktB//
